candidate;feature_count;mae;rmse;r2;high_auc;actual_mean;prediction_mean;actual_std;prediction_std;std_ratio;p05;p95;p05_p95_width;width_ratio;boring_4_5_share;min_prediction;max_prediction;confirm_mae;confirm_rmse;confirm_r2;confirm_high_auc;confirm_actual_mean;confirm_prediction_mean;confirm_actual_std;confirm_prediction_std;confirm_std_ratio;confirm_p05;confirm_p95;confirm_p05_p95_width;confirm_width_ratio;confirm_boring_4_5_share;confirm_min_prediction;confirm_max_prediction
d3_base;108;2.253912643591563;2.9257910225937107;0.13673669936491994;0.6582661935930114;5.215277777777778;5.038401081826952;3.1511818531385956;1.2414407265881546;0.39396035660451406;3.5050631523132325;7.272517228126525;3.767454075813293;0.3767454075813293;0.6333333333333333;1.893822431564331;13.270957946777344;2.1018338988224667;2.614811971352091;0.004194559622362259;0.6786737884314747;4.725;4.987145965298017;2.6257893812103412;1.2024969736577913;0.4579563700967927;3.5334362506866457;7.0600389957427945;3.526602745056149;0.3918447494506832;0.6416666666666667;2.9327592849731445;10.213774681091309
d3_wx2_top;117;2.242955531345473;2.918022634788647;0.1413147851815434;0.6598608958512124;5.215277777777778;5.011843458480305;3.1511818531385956;1.2026320893696008;0.38164477501410216;3.4579782843589784;7.048452258110046;3.590473973751068;0.3590473973751068;0.65;2.140665292739868;13.708616256713867;2.101753204067548;2.6016602718399584;0.014186557746828865;0.668186555497655;4.725;4.952686330676078;2.6257893812103412;1.140837737069456;0.4344741985907468;3.5550854563713075;6.837607884407042;3.2825224280357346;0.36472471422619274;0.6708333333333333;2.9257700443267822;10.205582618713379
d3_wx2_hydro;118;2.258544479476081;2.9359951986001;0.13070465413900456;0.6539303966901923;5.215277777777778;5.016109543376499;3.1511818531385956;1.205542081789927;0.3825682356571075;3.4970539093017576;7.205685210227966;3.708631300926208;0.3708631300926208;0.6444444444444445;2.0753467082977295;13.480979919433594;2.119617860515912;2.6231867620785363;-0.002194440815959098;0.660500260552371;4.725;4.9921107163031895;2.6257893812103412;1.1777261065330573;0.4485226861532176;3.531346619129181;7.137704396247863;3.6063577771186823;0.4007064196798536;0.6375;3.092211961746216;9.82239818572998
d3_wx2_cloud;118;2.262106312976943;2.940041490936989;0.12830693434931817;0.6539047789832332;5.215277777777778;5.0036020368337635;3.1511818531385956;1.2151996289191762;0.38563297377104094;3.4624474167823793;7.215766239166259;3.7533188223838794;0.3753318822383879;0.6541666666666667;2.1875174045562744;13.203697204589844;2.108278061946233;2.6098784881632557;0.007948676448367498;0.6864252214695153;4.725;4.949420346816381;2.6257893812103412;1.1820124481761969;0.45015508731753484;3.593125605583191;7.281563568115233;3.6884379625320425;0.4098264402813381;0.6416666666666667;3.029744863510132;10.340578079223633
d3_wx2_wind_pressure;113;2.256337359547615;2.924692909286767;0.13738458092261208;0.6563768877047814;5.215277777777778;4.9927021460400685;3.1511818531385956;1.2157032902392053;0.38579280628579327;3.468543791770935;7.18099536895752;3.712451577186585;0.3712451577186585;0.6458333333333334;2.1970772743225098;13.829076766967773;2.115611884991328;2.6130291126508918;0.005552037834350432;0.6744398124022929;4.725;4.954486896594365;2.6257893812103412;1.1536273760375315;0.43934497728289773;3.535376214981079;6.954416847229;3.419040632247921;0.3798934035831023;0.6583333333333333;2.857055425643921;9.977043151855469
d3_wx2_all;136;2.257329671912723;2.942255903609999;0.1269933371668941;0.6560566663677935;5.215277777777778;5.013799917697907;3.1511818531385956;1.2083480996374691;0.3834587008788298;3.474449110031128;7.045705938339232;3.571256828308104;0.35712568283081036;0.6486111111111111;2.1850199699401855;14.020670890808105;2.1224722653627395;2.632178054686199;-0.009076502580446677;0.6659718603439292;4.725;4.975799118479093;2.6257893812103412;1.1775320673293093;0.44844878867875276;3.5192309856414794;6.93936104774475;3.420130062103271;0.3800144513448079;0.6041666666666666;3.043389320373535;9.51296615600586
d3_history_wx2_top;141;2.2584596385558444;2.932413470374697;0.13282433096473212;0.6451050966427996;5.215277777777778;5.0671136415667;3.1511818531385956;1.1924514799304433;0.37841404765096454;3.5850461959838866;7.179403710365294;3.5943575143814077;0.35943575143814077;0.6736111111111112;2.2682712078094482;14.155661582946777;2.1399279634157815;2.626256872048502;-0.00454169852576114;0.6404377279833247;4.725;4.958143862088521;2.6257893812103412;1.0956029323209704;0.4172470725035681;3.61642781496048;6.964052534103392;3.3476247191429125;0.37195830212699027;0.6666666666666666;3.065345048904419;10.697630882263184
d3_history_wx2_all;160;2.2497575494978164;2.931086559532702;0.13360894368875342;0.6514710968221233;5.215277777777778;5.022909055815803;3.1511818531385956;1.1567404798043996;0.36708147409908426;3.5494763255119324;6.982726073265073;3.4332497477531403;0.34332497477531404;0.6736111111111112;2.4613027572631836;13.449042320251465;2.1296306947867074;2.619384572067456;0.0007087242574249641;0.6397863470557582;4.725;4.937385416030883;2.6257893812103412;1.0867247732020995;0.4138659334135857;3.5367302298545837;6.725535798072815;3.188805568218231;0.3543117298020257;0.6666666666666666;2.990208625793457;9.846270561218262
d2_base;108;2.2448996447854572;2.9170441677771475;0.14189055473141066;0.6540072498110693;5.215277777777778;4.9810965402258764;3.1511818531385956;1.1980800257411421;0.38020021743519733;3.3942230463027956;7.155799651145931;3.7615766048431354;0.37615766048431354;0.6583333333333333;2.40927791595459;14.19432258605957;2.0944588512182234;2.60567919616379;0.011138527416338806;0.6650599270453361;4.725;4.924629146854083;2.6257893812103412;1.125354674777462;0.42857766233281697;3.4633931517601013;6.793148589134214;3.3297554373741125;0.36997282637490136;0.6291666666666667;2.9628214836120605;10.20828914642334
d2_wx2_top;117;2.24388972653283;2.9167923800271627;0.14203868558528343;0.6542506180271803;5.215277777777778;4.981009072727627;3.1511818531385956;1.1902801405910053;0.3777249921027183;3.480979859828949;7.036212229728697;3.5552323698997483;0.35552323698997484;0.6680555555555555;2.3484530448913574;14.086328506469727;2.1072269936402637;2.6143804039258027;0.004523242319690146;0.66323606044815;4.725;4.914264661073685;2.6257893812103412;1.1191285315600643;0.42620651129459936;3.539409387111664;6.801963186264035;3.262553799152371;0.36250597768359677;0.6375;2.8807053565979004;9.970562934875488
d2_wx2_hydro;118;2.234542358252737;2.906394817625685;0.14814457535223968;0.6612954874409191;5.215277777777778;4.984197934799724;3.1511818531385956;1.1891830033266688;0.37737682518774207;3.4276934623718263;7.040070295333862;3.612376832962036;0.3612376832962036;0.6777777777777778;2.4942467212677;14.482873916625977;2.095099148154259;2.6036488395363975;0.01267897738955892;0.6670140698280355;4.725;4.898843660950661;2.6257893812103412;1.112180258110007;0.423560345726341;3.4562661170959474;6.785023498535154;3.328757381439207;0.36986193127102296;0.6375;2.8777554035186768;9.650113105773926
d2_wx2_cloud;118;2.252426410383648;2.922548377958437;0.13864914279360352;0.6480511329430902;5.215277777777778;4.97662398815155;3.1511818531385956;1.1982755654143822;0.3802622702402569;3.426991367340088;7.14848630428314;3.7214949369430523;0.3721494936943052;0.6861111111111111;2.391601800918579;13.997227668762207;2.0986725350220996;2.5924302435594604;0.021168980032634677;0.6736581552892131;4.725;4.899135382970174;2.6257893812103412;1.0733848748321972;0.40878559511023205;3.5816054821014403;6.828690481185911;3.2470849990844703;0.3607872221204967;0.6791666666666667;2.8905444145202637;9.825944900512695
d2_wx2_wind_pressure;113;2.243123409152031;2.909293243436513;0.14644468869549743;0.6552112820381447;5.215277777777778;4.970362378822433;3.1511818531385956;1.2243645978641104;0.3885413965064048;3.4306394696235656;7.160262513160704;3.729623043537138;0.3729623043537138;0.65;2.4690053462982178;14.180657386779785;2.083175097902616;2.5900400352798565;0.02297310298595412;0.6720948410630536;4.725;4.905361110965411;2.6257893812103412;1.1325594260798146;0.43132150437662614;3.5288334131240844;6.836782026290889;3.3079486131668046;0.36754984590742273;0.6333333333333333;2.7273051738739014;10.195953369140625
d2_wx2_all;136;2.24542505244414;2.9242394268161434;0.13765206243720352;0.6594766302468266;5.215277777777778;4.975489274329609;3.1511818531385956;1.1640031989738102;0.36938623450577956;3.4720189571380615;6.9743622303008985;3.502343273162837;0.3502343273162837;0.6805555555555556;2.4574334621429443;13.984672546386719;2.1052943249543508;2.5985313236483605;0.016556355496186947;0.6739187076602396;4.725;4.944268618027369;2.6257893812103412;1.0992620181694064;0.4186405909154482;3.5074466347694395;6.9432419538497925;3.435795319080353;0.3817550354533725;0.6541666666666667;3.0095973014831543;9.402374267578125
d2_history_wx2_top;141;2.2413522448804644;2.9027098246720056;0.15030332626338605;0.6603220145764752;5.215277777777778;5.038652542564604;3.1511818531385956;1.1752154575488325;0.3729443466990999;3.6027223110198974;7.175652694702149;3.5729303836822512;0.3572930383682251;0.6805555555555556;2.5346932411193848;13.99491024017334;2.1190437217553457;2.6160479656224775;0.0032529234912154203;0.651380927566441;4.725;4.914822794993719;2.6257893812103412;1.0485446006173642;0.3993254783192261;3.627939569950104;6.616143870353698;2.9882043004035936;0.33202270004484374;0.675;3.144529342651367;10.081609725952148
d2_history_wx2_all;160;2.242427403728167;2.9130292401636817;0.14425107870313247;0.6575681110783773;5.215277777777778;5.0285910550091;3.1511818531385956;1.182735751258474;0.3753308461333205;3.5425902724266054;7.108931374549865;3.5663411021232596;0.35663411021232594;0.6875;2.65059232711792;14.216094017028809;2.1210837642351787;2.6265975103201877;-0.004802303299966892;0.646951537258989;4.725;4.907140411933264;2.6257893812103412;1.0559348362285153;0.4021399598096435;3.519946825504303;6.707585644721984;3.187638819217681;0.3541820910241868;0.6791666666666667;3.0605688095092773;9.409197807312012
