Fecha;Texto
2023-06-20T00:00:01.000Z;ESTADO DE UNIDADES A LAS 20:00  DISPONIBLES: BR-01, F-1, BM-2, Q-2, RH-2, B-3, RB-3, B-4, H-4, RB-5, B-9, Z-9, B-11, H-11
2023-06-20T00:21:27.000Z;EMERGENCIA: 20:21 10-0 (LLAMADO ESTRUCTURAL), CORCOLEN ALTURA DEL 3633, RB-5 H-8 B-9
2023-06-20T01:37:24.000Z;EMERGENCIA: 21:37 10-12 (APOYO A OTRO CUERPO), ÑIQUEN / COIHUECO, HUALPEN, Q-2 B-9
2023-06-20T03:27:30.000Z;EMERGENCIA: 23:27 10-0 (LLAMADO ESTRUCTURAL), ISLA NUEVA / AVENIDA ALTO HORNO, BR-01 B-3 B-7 B-8
2023-06-20T03:31:30.000Z;23:31, SALE B-11  A 10-0 (LLAMADO ESTRUCTURAL) ISLA NUEVA / AVENIDA ALTO HORNO
2023-06-20T13:00:03.000Z;ESTADO DE UNIDADES A LAS 09:00  DISPONIBLES: BR-01, F-1, BM-2, Q-2, RH-2, B-3, RB-3, B-4, H-4, RB-5, RB-6, Z-6, B-7, F-7, B-8, H-8, B-9, Z-9, B-11, H-11, B-5
2023-06-20T19:38:26.000Z;EMERGENCIA: 15:38 10-6 (ESCAPE DE GAS), JAIME REPULLO ALTURA DEL 3545, B-9
2023-06-20T22:23:55.000Z;EMERGENCIA: 18:23 10-6 (ESCAPE DE GAS), ORELLA ALTURA DEL 511, H-11
