Fecha;Texto
2023-05-09T00:00:01.000Z;ESTADO DE UNIDADES A LAS 20:00  DISPONIBLES: BR-01, F-1, BM-2, Q-2, RH-2, B-3, RB-3, B-4, H-4, X-4, B-5, RB-5, B-8, H-8
2023-05-09T01:27:59.000Z;EMERGENCIA: 21:27 10-3 (RESCATE DE PERSONA), RIO MAULE ALTURA DEL 5250, RB-5
2023-05-09T02:40:59.000Z;EMERGENCIA: 22:40 10-3 (RESCATE DE PERSONA), EJERCITO / AVENIDA COLON, RB-5
2023-05-09T02:55:00.000Z;EMERGENCIA: 22:54 10-2 (LLAMADO DE PASTIZALES), ACCESO A RUTA INTERPORTUARIA / AVENIDA CRISTOBAL COLON, B-3
2023-05-09T02:57:20.000Z;22:57, SALE B-11  A 10-2 (LLAMADO DE PASTIZALES) ACCESO A RUTA INTERPORTUARIA / AVENIDA CRISTOBAL COLON
2023-05-09T04:12:19.000Z;EMERGENCIA: 0:12 10-9 (OTROS SERVICIOS), AVENIDA GRAN BRETAÑA / ROTONDA, H-8
2023-05-09T04:25:43.000Z;0:25, SALE H-11  A 10-9 (OTROS SERVICIOS) AVENIDA GRAN BRETAÑA / ROTONDA
2023-05-09T11:22:44.000Z;EMERGENCIA: 7:22 10-3 (RESCATE DE PERSONA), RIO MAPOCHO / LAS HORTENSIAS, RB-5
2023-05-09T13:00:04.000Z;ESTADO DE UNIDADES A LAS 09:00  DISPONIBLES: BR-01, F-1, BM-2, Q-2, RH-2, B-3, RB-3, B-4, H-4, X-4, B-5, RB-5, RB-6, Z-6, B-7, F-7, B-8, H-8, B-11, H-11
2023-05-09T21:22:38.000Z;EMERGENCIA: 17:22 10-12 (APOYO A OTRO CUERPO), AVENIDA LOS CARRERA / SALAS, BM-2
