Fecha;Texto
2023-04-07T00:00:02.000Z;ESTADO DE UNIDADES A LAS 20:00  DISPONIBLES: BR-01, F-1, BM-2, Q-2, RB-3, B-4, H-4, RH-4, X-4, B-5, RB-5, B-8, H-8, K-2, B-9, Z-9, H-11
2023-04-07T13:00:03.000Z;ESTADO DE UNIDADES A LAS 09:00  DISPONIBLES: BR-01, F-1, BM-2, Q-2, RB-3, B-4, H-4, RH-4, X-4, B-5, RB-5, F-6, Z-6, B-7, F-7, B-8, H-8, K-2, B-9, Z-9, H-11
2023-04-07T13:18:22.000Z;EMERGENCIA: 9:18 10-9 (OTROS SERVICIOS), PLAYA PINGUERAL / BAHIA INGLESA, F-6
2023-04-07T19:43:14.000Z;EMERGENCIA: 15:43 10-0 (LLAMADO ESTRUCTURAL), HONDURAS / MEXICO, B-4 B-7 B-8
2023-04-07T19:50:34.000Z;15:50, SALE Q-2 B-5  A ALARMA DE INCENDIO HONDURAS / MEXICO
2023-04-07T21:53:06.000Z;EMERGENCIA: 17:53 10-6 (ESCAPE DE GAS), SUNICO  / PASAJE 3,  TALCAHUANO, H-8
