Fecha;Texto
2023-03-08T04:32:16.000Z;EMERGENCIA: 1:32 ALARMA DE INCENDIO, CABILDO 7341 TALCAHUANO / ,  4300510 CONCEPCIÓN, Q-2 H-4 RB-5 H-8 H-9
2023-03-08T12:00:04.000Z;ESTADO DE UNIDADES A LAS 09:00  DISPONIBLES: BR-01, F-1, BM-2, Q-2, B-4, H-4, RH-4, X-4, RB-5, B-7, F-7, B-8, H-8, K-2, B-11
2023-03-08T13:48:36.000Z;EMERGENCIA: 10:48 10-4 (RESCATE VEHICULAR), SALIDA A CONCEPCION / AVENIDA OHIGGINS, RB-5 B-9
2023-03-08T19:49:06.000Z;EMERGENCIA: 16:49 10-7 (ACCIDENTE ELECTRICO), AVENIDA JUAN ANTONIO RIOS / JUAN ANTONIO RIOS, B-11
2023-03-08T23:19:03.000Z;EMERGENCIA: 20:19 10-3 (RESCATE DE PERSONA), AUTOPISTA CONCEPCION - TALCAHUANO / PASARELA PEATONAL MALL PLAZA TREBOL, RB-5
