Fecha;Texto
2022-06-04T00:01:12.000Z;ESTADO DE UNIDADES A LAS 20:00  DISPONIBLES: B-1, F-1, Q-2, RH-2, B-3, B-4, H-4, X-4, B-5, B-7, F-7, B-8, H-8, B-9, H-9 EN EMERGENCIA: Z-6
2022-06-04T03:50:40.000Z;EMERGENCIA: 23:49 10-0 (LLAMADO ESTRUCTURAL), RUCAMANQUE / RUCAMANQUE BAJO, B-3 RB-6 B-7
2022-06-04T03:58:46.000Z;23:57, SALE F-1 B-8  A ALARMA DE INCENDIO RUCAMANQUE / RUCAMANQUE BAJO
2022-06-04T13:01:14.000Z;ESTADO DE UNIDADES A LAS 09:00  DISPONIBLES: B-1, F-1, B-3, B-4, H-4, X-4, B-5, RB-6, Z-6, B-7, F-7, B-8, H-8, B-9, H-9
2022-06-04T16:52:48.000Z;EMERGENCIA: 12:51 10-17 (INUNDACION), ARTURO PRAT / AVENIDA BLANCO ENCALADA, B-1
2022-06-04T17:26:16.000Z;EMERGENCIA: 13:25 10-7 (ACCIDENTE ELECTRICO), ISLA NAVARINO / ISLA MOCHA, B-4
2022-06-04T17:28:12.000Z;13:26, SALE B-5  A 10-7 (ACCIDENTE ELECTRICO) ISLA NAVARINO / ISLA MOCHA
2022-06-04T23:34:33.000Z;EMERGENCIA: 19:33 10-0 (LLAMADO ESTRUCTURAL), BAHIA MANSA / PASAJE PUNTA TUCAPEL, B-1 RB-6 B-7 B-11
