Fecha;Texto
2022-08-20T00:00:04.000Z;ESTADO DE UNIDADES A LAS 20:00  DISPONIBLES: B-1, F-1, Q-2, B-3, B-4, H-4, X-4, B-5, B-8, H-8, B-9, Z-9, B-11, H-11
2022-08-20T05:26:16.000Z;EMERGENCIA: 1:26 10-4 (RESCATE VEHICULAR), LA SERENA / PORTEZUELO, B-5 B-8
2022-08-20T13:00:02.000Z;ESTADO DE UNIDADES A LAS 09:00  DISPONIBLES: B-1, F-1, Q-2, B-4, H-4, X-4, B-5, RB-6, Z-6, F-7, B-8, B-9, Z-9, B-11, H-11
2022-08-20T13:29:40.000Z;EMERGENCIA: 9:29 10-0 (LLAMADO ESTRUCTURAL), MANUEL RODRIGUEZ / AVENIDA JORDAN VALDIVIESO, B-1 RH-2 B-8 B-11
2022-08-20T19:57:05.000Z;EMERGENCIA: 15:57 10-0 (LLAMADO ESTRUCTURAL), CINCO PONIENTE / TRES SUR, B-4 B-5 B-9
