Fecha;Texto
2023-07-15T18:10:52.000Z;10-0-1: Estamos respondiendo a un Incendio estructural en las esquinas de LAGO PALENA y LAGO LLANQUIHUE, en la comuna de TALCAHUANO. Concurren 3 carros de Bomberos de Talcahuano #Talcahuano #B5 #B4 #Q2 https://t.co/NUtbyDlAf7
2023-07-15T23:01:12.000Z;10-8: Estamos respondiendo a una emergencia en las esquinas de LAGO LLANQUIHUE y LAGO LANALHUE, en la comuna de TALCAHUANO. Concurre un carro de Bomberos de Talcahuano #Talcahuano #B5 https://t.co/Fad6V8he9C
2023-07-15T23:10:55.000Z;10-4-1: Estamos respondiendo a un rescate vehicular en las esquinas de AVENIDA CLAUDIO GAY ORIENTE y PASAJE 21, en la comuna de TALCAHUANO. Concurren 2 carros de Bomberos de Talcahuano #Talcahuano #RB3 #B4 https://t.co/zmxET0F4KB
