Fecha;Texto
2022-02-28T00:15:10.000Z;EMERGENCIA: 21:14 10-2 (LLAMADO DE PASTIZALES), BAHIA INGLESA / BAHIA SAN VICENTE, F-1
2022-02-28T00:17:37.000Z;21:16, SALE F-6  A 10-2 (LLAMADO DE PASTIZALES) BAHIA INGLESA / BAHIA SAN VICENTE
2022-02-28T09:14:54.000Z;EMERGENCIA: 6:14 10-12 (APOYO A OTRO CUERPO), YUGOSLAVIA / HUNGRÍA, Q-2 B-9 Z-9
2022-02-28T11:40:15.000Z;EMERGENCIA: 8:39 10-4 (RESCATE VEHICULAR), AVENIDA JORGE ALESSANDRI / EL TREBOL A ALESSANDRI, B-5 B-9
2022-02-28T15:24:07.000Z;EMERGENCIA: 12:23 10-8 (LLAMADO NO CLASIFICADO),  / 1 ORIENTE, H-11
2022-02-28T15:25:54.000Z;EMERGENCIA: 12:25 10-8 (LLAMADO NO CLASIFICADO),  / 1 ORIENTE, H-11
2022-02-28T15:29:00.000Z;EMERGENCIA: 12:28 10-8 (LLAMADO NO CLASIFICADO),  / 1 ORIENTE, H-11
2022-02-28T17:03:34.000Z;EMERGENCIA: 14:02 10-9 (OTROS SERVICIOS), AEROPUERTO CARRIEL SUR TERMINAL / AVENIDA JORGE ALESSANDRI, H-8 Z-9
2022-02-28T17:31:31.000Z;EMERGENCIA: 14:30 10-12 (APOYO A OTRO CUERPO), CUERPO DE BOMBEROS DE PENCO / , Z-9
2022-02-28T17:32:31.000Z;14:31, SALE RH-2  A 10-9 (OTROS SERVICIOS) AEROPUERTO CARRIEL SUR TERMINAL / AVENIDA JORGE ALESSANDRI
2022-02-28T18:43:00.000Z;EMERGENCIA: 15:42 10-2 (LLAMADO DE PASTIZALES), CERRO LA U  / , F-8
2022-02-28T19:20:11.000Z;EMERGENCIA: 16:19 10-2 (LLAMADO DE PASTIZALES), FUERTE BORGOÑO - CALETA TUMBES / MICHIMALONGO, F-6 B-7
2022-02-28T22:50:09.000Z;EMERGENCIA: 19:49 10-3 (RESCATE DE PERSONA), ISLA TENQUEHUEN / ISLA ATILIO, RB-3
