Fecha;Texto
2022-09-18T05:12:11.000Z;EMERGENCIA: 2:11 10-6 (ESCAPE DE GAS), CALLE J  ALTURA DEL 1141, B-9
2022-09-18T12:01:06.000Z;ESTADO DE UNIDADES A LAS 09:00  DISPONIBLES: B-1, F-1, Q-2, RH-2, B-4, H-4, B-5, K-2, RB-6, B-7, B-9, Z-9, B-11, H-11
2022-09-18T20:51:54.000Z;EMERGENCIA: 17:50 10-3 (RESCATE DE PERSONA), TAL-TAL ALTURA DEL 98, H-8
2022-09-18T21:00:58.000Z;EMERGENCIA: 17:59 10-3 (RESCATE DE PERSONA), BILBAO ALTURA DEL 345, B-1
2022-09-18T23:01:07.000Z;ESTADO DE UNIDADES A LAS 20:00  DISPONIBLES: B-1, F-1, Q-2, RH-2, B-4, H-4, B-5, K-2, RB-6, Z-6, B-7, F-8, H-8, B-9, Z-9, B-11
