Fecha;Texto
2022-04-27T00:00:41.000Z;ESTADO DE UNIDADES A LAS 20:00  DISPONIBLES: B-1, F-1, Q-2, RH-2, B-4, X-4, B-5, F-6, RB-6, Z-6, B-8, F-8, H-8
2022-04-27T13:00:42.000Z;ESTADO DE UNIDADES A LAS 09:00  DISPONIBLES: B-1, F-1, Q-2, RH-2, B-4, X-4, B-5, B-7, F-7, B-8, F-8, H-8, B-11, H-11
2022-04-27T15:42:44.000Z;EMERGENCIA: 11:42 10-3 (RESCATE DE PERSONA), SIMON BOLIVAR / AVENIDA CRISTOBAL COLON, B-5
2022-04-27T17:11:07.000Z;EMERGENCIA: 13:10 10-17 (INUNDACION), ISLA MOCHA ALTURA DEL 394, B-11
2022-04-27T17:45:14.000Z;EMERGENCIA: 13:44 10-4 (RESCATE VEHICULAR), AVENIDA GRAN BRETAÑA ALTURA DEL 394, B-5 B-8
2022-04-27T20:13:41.000Z;EMERGENCIA: 16:12 10-0 (LLAMADO ESTRUCTURAL), LOS ALBATROS / LAS GAVIOTAS, RB-6 B-7 B-11
