Fecha;Texto
2023-12-12T00:04:41.000Z;10-4-1 AVENIDA COLON / MANUEL MONTT RB-5, H-8 https://t.co/RtOtQ9Ht3a
2023-12-12T00:15:33.000Z;SALE RB-3 A 10-4-1 AVENIDA COLON / MANUEL MONTT https://t.co/RtOtQ9Ht3a
2023-12-12T02:11:20.000Z;10-0-1 ACHAO / CALDERA H-9, B-5, B-4 https://t.co/ZQJlaTjE69
2023-12-12T02:18:44.000Z;INCENDIO ACHAO / CALDERA H-9, B-5, B-4, F-1, BM-2, B-3 https://t.co/ZQJlaTjE69
2023-12-12T02:22:28.000Z;SEGUNDA ALARMA DE INCENDIO ACHAO / CALDERA H-9, B-5, B-4, F-1, BM-2, B-3, H-8, F-7, RB-6, RB-5, X-4 https://t.co/ZQJlaTjE69
2023-12-12T15:04:46.000Z;10-6-3 HUALPÉN / ANTONIO DE LA FUENTE H-11, RB-3, B-4 https://t.co/7WWz9LoIID
2023-12-12T18:14:10.000Z;10-6-3 BALMACEDA / THOMSON H-11, RB-3 https://t.co/Y9218z7viV
2023-12-12T18:16:05.000Z;10-6-3 GABRIEL TORO / THOMSON RB-5, F-1 https://t.co/DpzAyGORS4
2023-12-12T18:21:33.000Z;SALE B-4, H-8 A 10-6-3 GABRIEL TORO / THOMSON https://t.co/DpzAyGPpHC
2023-12-12T18:22:47.000Z;SALE H-9 A 10-6-3 BALMACEDA / THOMSON https://t.co/Y9218z7viV
2023-12-12T18:40:56.000Z;10-6-3 BLANCO ENCALADA / CONSTITUCION H-9 https://t.co/xYc68fRSeF
2023-12-12T18:42:22.000Z;SALE F-1 A 10-6-3 BLANCO ENCALADA / CONSTITUCION https://t.co/xYc68fRkp7
2023-12-12T19:08:37.000Z;SALE X-4 A 10-6-3 BALMACEDA / THOMSON https://t.co/Y9218z7viV
