Fecha;Texto
2024-03-11T05:53:32.000Z;10-8 SERRANO / GABRIEL TORO BR-01 https://t.co/B7HRzv4FlV
2024-03-11T09:57:51.000Z;10-8 AVENIDA DESIDERIO GARCIA / GERMAN RIESCO B-4 https://t.co/2ElgU5pk9H
2024-03-11T10:40:06.000Z;10-8 1 ORIENTE / 1 NORTE B-5 https://t.co/iHDqgmahVG
2024-03-11T15:24:35.000Z;10-9 ROMERAL / PUERTO EDEN RB-5 https://t.co/TsCVitUFxL
2024-03-11T20:38:53.000Z;10-2-1 ALCATRAZ / LOS PITIGUES B-3 https://t.co/ROLiMeKDIU
2024-03-11T20:51:54.000Z;SALE BR-01 A 10-2-1 ALCATRAZ / LOS PITIGUES https://t.co/ROLiMeKDIU
2024-03-11T20:55:01.000Z;SALE B-5 A 10-0-1 ALCATRAZ / LOS PITIGUES https://t.co/ROLiMeKDIU
