Fecha;Texto
2022-08-19T00:00:03.000Z;ESTADO DE UNIDADES A LAS 20:00  DISPONIBLES: Q-2, B-5, B-8, H-8, B-9, Z-9
2022-08-19T13:00:02.000Z;ESTADO DE UNIDADES A LAS 09:00  DISPONIBLES: B-1, F-1, Q-2, B-3, B-4, H-4, X-4, B-5, RB-6, Z-6, B-8, H-8, B-9, Z-9, B-11, H-11
2022-08-19T19:02:59.000Z;EMERGENCIA: 15:02 10-6 (ESCAPE DE GAS), AVENIDA LOS LOBOS ALTURA DEL 196, B-3 H-8 H-11
2022-08-19T21:40:22.000Z;EMERGENCIA: 17:40 10-3 (RESCATE DE PERSONA), COPEC / VALDIVIA, B-3
2022-08-19T21:42:53.000Z;17:42, SALE B-5  A 10-3 (RESCATE DE PERSONA) COPEC / VALDIVIA
