Fecha;Texto
2023-03-25T08:19:01.000Z;EMERGENCIA: 5:18 10-2 (LLAMADO DE PASTIZALES), 1 ORIENTE / 2 NORTE, B-9
2023-03-25T12:00:03.000Z;ESTADO DE UNIDADES A LAS 09:00  DISPONIBLES: BR-01, F-1, BM-2, Q-2, B-3, RB-3, B-4, H-4, RH-4, X-4, B-5, RB-5, F-6, RB-6, Z-6, B-7, F-7, H-8, B-9, Z-9, B-11, H-11, K-1
2023-03-25T16:41:10.000Z;EMERGENCIA: 13:41 10-4 (RESCATE VEHICULAR), AVENIDA GRAN BRETAÑA / ALGARROBO, H-8 RB-3
2023-03-25T19:43:21.000Z;EMERGENCIA: 16:43 10-4 (RESCATE VEHICULAR), AVENIDA DESIDERIO GARCIA / AVENIDA CRISTOBAL COLON, RB-3 RB-5 H-8
2023-03-25T20:31:32.000Z;EMERGENCIA: 17:31 10-4 (RESCATE VEHICULAR), ACCESO BASE NAVAL / ALMIRANTE VILLAROEL, B-7 RB-3
2023-03-25T23:00:01.000Z;ESTADO DE UNIDADES A LAS 20:00  DISPONIBLES: BR-01, B-3, RB-3, B-4, H-4, RH-4, X-4, B-5, RB-5, F-6, RB-6, Z-6, B-7, H-8, B-9, Z-9, B-11
2023-03-25T23:28:22.000Z;EMERGENCIA: 20:28 10-0 (LLAMADO ESTRUCTURAL), 6WQG J5 TALCAHUANO / ,  CHILE, Q-2 B-5 B-9
