Fecha;Texto
2025-03-04T00:01:22.000Z;10-6-1 CASTELLÓN / SAN MARTIN H-8 https://t.co/d6M49RtFqV
2025-03-04T12:31:30.000Z;10-8 JAIME REPULLO / CARRIEL NORTE B-4 https://t.co/b5Cdugx1BJ
2025-03-04T15:47:40.000Z;10-6-1 ARCE / LA VEGA H-9 https://t.co/lnNvGLYifo
2025-03-04T16:17:00.000Z;10-1-1 AVENIDA CLAUDIO GAY ORIENTE / TOROMIRO B-5 https://t.co/tjlEHPW7k4
2025-03-04T16:36:40.000Z;10-4-1 AVENIDA COLON / LAS ROSAS RB-3, B-5 https://t.co/jK62zMsUHg
2025-03-04T20:31:57.000Z;10-6-1 LAGO NELTUME / LAGO LLANQUIHUE H-4 https://t.co/tx7HO5k5vL
2025-03-04T20:44:01.000Z;SALE H-9 A 10-6-1 LAGO NELTUME / LAGO LLANQUIHUE https://t.co/tx7HO5k5vL
