Fecha;Texto
2022-12-13T08:42:54.000Z;EMERGENCIA: 5:42 10-8 (LLAMADO NO CLASIFICADO), BENJAMIN VICUÑA MACKENNA / HUALPEN, B-8
2022-12-13T12:00:03.000Z;ESTADO DE UNIDADES A LAS 09:00  DISPONIBLES: F-1, BM-2, Q-2, RH-2, B-3, RB-3, B-4, H-4, X-4, B-5, F-6, RB-6, Z-6, B-7, B-8, F-8, H-8, K-1, B-9, H-9, Z-9, H-11
2022-12-13T12:18:39.000Z;EMERGENCIA: 9:18 10-6 (ESCAPE DE GAS), GUACOLDA ALTURA DEL 3414, H-11
2022-12-13T16:27:36.000Z;EMERGENCIA: 13:27 10-9 (OTROS SERVICIOS), LA VEGA ALTURA DEL 689, B-9
2022-12-13T23:00:01.000Z;ESTADO DE UNIDADES A LAS 20:00  DISPONIBLES: BM-2, Q-2, RH-2, B-3, RB-3, B-4, H-4, X-4, B-5, F-6, RB-6, Z-6, B-7, H-8, K-1, B-9, H-9, Z-9
