Fecha;Texto
2025-04-03T13:10:21.000Z;10-4-1 GOMEZ CARRENO / MONSENOR ALARCON B-5, H-8 https://t.co/fAXEEXfExZ
2025-04-03T17:39:00.000Z;10-6-2 GABRIELA MISTRAL / AVENIDA ALTO HORNO H-11, B-5 https://t.co/KOAq5eO7BE
2025-04-03T17:46:22.000Z;SALE H-8 A 10-6-2 GABRIELA MISTRAL / AVENIDA ALTO HORNO https://t.co/KOAq5eO7BE
2025-04-03T18:38:58.000Z;10-12 A INCENDIO AUTOPISTA / RIO COLORADO BM-2 https://t.co/z5CnTWSQlx
2025-04-03T23:51:23.000Z;10-4-1 HUALPÉN / AVENIDA ALTO HORNO RB-3, H-8 https://t.co/qk7PyjKCjj
