Fecha;Texto
2021-07-16T01:14:34.000Z;EMERGENCIA: 21:13 10-0 (LLAMADO ESTRUCTURAL), DOS NORTE / PASAJE 2, Q-2 B-5 B-9
2021-07-16T01:17:25.000Z;21:16, SALE H-8  A 10-0 (LLAMADO ESTRUCTURAL) DOS NORTE / PASAJE 2
2021-07-16T01:20:38.000Z;EMERGENCIA: 21:19 10-4 (RESCATE VEHICULAR), AUTOPISTA CONCEPCION - TALCAHUANO / SALIDA A OHIGGINS, RB-5
2021-07-16T01:22:17.000Z;21:21, SALE B-4  A 10-4 (RESCATE VEHICULAR) AUTOPISTA CONCEPCION - TALCAHUANO / SALIDA A OHIGGINS
2021-07-16T02:35:56.000Z;EMERGENCIA: 22:34 10-8 (LLAMADO NO CLASIFICADO), RIO COLORADO / ARTEAGA ALEMPARTE, B-9
2021-07-16T02:38:40.000Z;22:37, SALE B-5  A 10-8 (LLAMADO NO CLASIFICADO) RIO COLORADO / ARTEAGA ALEMPARTE
2021-07-16T02:39:00.000Z;22:37, SALE H-4  A 10-8 (LLAMADO NO CLASIFICADO) RIO COLORADO / ARTEAGA ALEMPARTE
2021-07-16T08:56:49.000Z;EMERGENCIA: 4:55 10-0 (LLAMADO ESTRUCTURAL), AVENIDA GRAN BRETAÑA / ROTONDA, BR-01 B-3 H-4 H-8
2021-07-16T09:01:08.000Z;4:59, SALE Q-2  A 10-0 (LLAMADO ESTRUCTURAL) AVENIDA GRAN BRETAÑA / ROTONDA
2021-07-16T14:41:52.000Z;EMERGENCIA: 10:40 10-12 (APOYO A OTRO CUERPO), PASAJE ESTORIL / ATENAS, Q-2
2021-07-16T20:44:17.000Z;EMERGENCIA: 16:43 10-7 (ACCIDENTE ELECTRICO), RICARDO DONOSO ALTURA DEL 680, B-4
2021-07-16T20:46:36.000Z;16:45, SALE BR-01  A 10-7 (ACCIDENTE ELECTRICO) RICARDO DONOSO ALTURA DEL 680
