Fecha;Texto
2023-06-06T00:00:01.000Z;ESTADO DE UNIDADES A LAS 20:00  DISPONIBLES: BR-01, F-1, BM-2, Q-2, RH-2, B-3, RB-3, B-4, H-4, X-4, B-5, RB-5, Z-6, B-7, F-7, B-8, K-2, B-9, Z-9
2023-06-06T09:17:28.000Z;EMERGENCIA: 5:17 10-3 (RESCATE DE PERSONA), CALLE TRES / PASAJE 12, RH-2 RB-5
2023-06-06T13:00:03.000Z;ESTADO DE UNIDADES A LAS 09:00  DISPONIBLES: BR-01, F-1, BM-2, Q-2, RH-2, B-3, RB-3, B-4, H-4, X-4, B-5, RB-5, F-6, Z-6, B-7, F-7, B-9, Z-9, B-11, H-11
2023-06-06T13:35:29.000Z;EMERGENCIA: 9:35 10-4 (RESCATE VEHICULAR), LA VEGA / CALLE DE SERVICIO OHIGGINS, RB-5 B-9
2023-06-06T17:16:11.000Z;EMERGENCIA: 13:16 10-3 (RESCATE DE PERSONA), AVENIDA DESIDERIO GARCIA / AVENIDA CRISTOBAL COLON, RB-5
2023-06-06T21:57:10.000Z;EMERGENCIA: 17:57 10-0 (LLAMADO ESTRUCTURAL), ISLA QUIRIQUINA / ISLA ATILIO, B-3 B-7 B-8 B-11
