Fecha;Texto
2023-10-25T16:56:23.000Z;10-3-4: Estamos respondiendo a una emergencia por rescate de persona (s) en las esquinas de VALDIVIA y ANIBAL PINTO, en la comuna de TALCAHUANO. Concurre un carro de Bomberos de Talcahuano #Talcahuano #RB3 https://t.co/looVSMF5Nm
2023-10-25T23:24:28.000Z;10-4-1: Estamos respondiendo a un Rescate en accidente de tránsito en las esquinas de ALMIRANTE LATORRE y SUBIDA LA GLORIA, en la comuna de TALCAHUANO. Concurren 2 carros de Bomberos de Talcahuano #Talcahuano #RB5 #F1 https://t.co/qjbJsfgv9e
2023-10-25T23:27:45.000Z;10-4-1: Estamos respondiendo a un Rescate en accidente de tránsito en las esquinas de ALMIRANTE LATORRE y SUBIDA LA GLORIA, en la comuna de TALCAHUANO. Concurren 3 carros de Bomberos de Talcahuano #Talcahuano #RB5 #F1 #RB3 https://t.co/qjbJsfgv9e
