Fecha;Texto
2022-08-06T00:00:04.000Z;ESTADO DE UNIDADES A LAS 20:00  DISPONIBLES: B-1, F-1, Q-2, B-4, H-4, X-4, B-5, B-9, Z-9
2022-08-06T01:08:48.000Z;EMERGENCIA: 21:08 10-0 (LLAMADO ESTRUCTURAL), TARAPACA / 968, B-5 B-9
2022-08-06T01:10:49.000Z;21:10, SALE B-4  A 10-0 (LLAMADO ESTRUCTURAL) TARAPACA / 968
2022-08-06T04:57:09.000Z;EMERGENCIA: 0:57 10-17 (INUNDACION), PRINCIPAL 129 / ,  TALCAHUANO, RB-6
2022-08-06T13:00:02.000Z;ESTADO DE UNIDADES A LAS 09:00  DISPONIBLES: B-1, F-1, B-3, B-4, H-4, X-4, B-5, RB-6, Z-6, F-7, RH-2, B-8, H-8, B-9, Z-9
2022-08-06T20:37:05.000Z;EMERGENCIA: 16:37 10-0 (LLAMADO ESTRUCTURAL), PLAYA EL CHALET / BAHIA DICHATO, B-1 B-3 RB-6 RH-2
2022-08-06T20:40:46.000Z;16:40, SALE B-8  A 10-0 (LLAMADO ESTRUCTURAL) PLAYA EL CHALET / BAHIA DICHATO
2022-08-06T21:33:28.000Z;EMERGENCIA: 17:33 10-17 (INUNDACION), AVENIDA JUAN ANTONIO RIOS ALTURA DEL 901, B-8
