Fecha;Texto
2022-07-19T13:00:02.000Z;ESTADO DE UNIDADES A LAS 09:00  DISPONIBLES: Q-2, RH-2, B-3, B-5, RB-6, Z-6, B-7, F-7, B-8, H-8, B-11, H-11
2022-07-19T14:02:39.000Z;EMERGENCIA: 10:02 10-15 (SIMULACRO), CALLE ESTE MALL PLAZA TREBOL / ESTACIONAMIENTO MALL PLAZA TREBOL, Q-2 B-5
2022-07-19T17:48:41.000Z;EMERGENCIA: 13:48 10-12 (APOYO A OTRO CUERPO), MANUEL GUTIERREZ / COLO COLO, H-8
2022-07-19T19:52:30.000Z;EMERGENCIA: 15:52 10-0 (LLAMADO ESTRUCTURAL), RIO MAULE / RIO DIGUILLIN, Q-2 B-5 B-8
2022-07-19T21:13:48.000Z;EMERGENCIA: 17:13 10-0 (LLAMADO ESTRUCTURAL), ALMTE. LATORRE 802 ALTURA DEL 765,  TALCAHUANO, B-3 B-7 B-11
2022-07-19T21:16:12.000Z;17:16, SALE B-1  A 10-0 (LLAMADO ESTRUCTURAL) ALMTE. LATORRE 802 ALTURA DEL 765,  TALCAHUANO
