Fecha;Texto
2022-06-23T00:01:38.000Z;ESTADO DE UNIDADES A LAS 20:00  DISPONIBLES: B-1, Q-2, RH-2, B-3, B-4, H-4, X-4, B-5, B-8, H-8, B-9, H-9
2022-06-23T00:22:49.000Z;EMERGENCIA: 20:21 10-6 (ESCAPE DE GAS), LAGO LLANQUIHUE ALTURA DEL 823, H-4
2022-06-23T01:43:29.000Z;EMERGENCIA: 21:41 10-4 (RESCATE VEHICULAR), LAS GOLONDRINAS ALTURA DEL 823, B-5 B-9
2022-06-23T13:01:39.000Z;ESTADO DE UNIDADES A LAS 09:00  DISPONIBLES: B-1, F-1, Q-2, RH-2, B-3, B-5, RB-6, Z-6, H-8, B-9, H-9, B-11
2022-06-23T13:07:35.000Z;EMERGENCIA: 9:05 10-3 (RESCATE DE PERSONA), BAHIA INGLESA / PUNTA DE REYES, RB-6
2022-06-23T20:23:31.000Z;EMERGENCIA: 16:21 10-4 (RESCATE VEHICULAR), RETORNO / AVENIDA GRAN BRETAÑA, B-5 B-9
2022-06-23T20:26:09.000Z;16:24, SALE H-8  A 10-4 (RESCATE VEHICULAR) RETORNO / AVENIDA GRAN BRETAÑA
2022-06-23T22:05:19.000Z;EMERGENCIA: 18:03 10-0 (LLAMADO ESTRUCTURAL), COLCHAGUA / AISEN, Q-2 B-5 H-8
2022-06-23T22:11:08.000Z;18:09, SALE B-1 B-8  A ALARMA DE INCENDIO COLCHAGUA / AISEN
