Fecha;Texto
2023-09-16T00:33:22.000Z;10-9: Estamos respondiendo a prestar apoyo en un incidente que no es una emergencia en las esquinas de AVENIDA GRAN BRETANA y ROTONDA, en la comuna de TALCAHUANO. Concurre un carro de Bomberos de Talcahuano #Talcahuano #B8 https://t.co/KlmAdUxo1c
2023-09-16T00:56:48.000Z;10-9: Estamos respondiendo a Otros servicios (no es una emergencia) en las esquinas de AVENIDA GRAN BRETANA y ROTONDA, en la comuna de TALCAHUANO. Concurren 2 carros de Bomberos de Talcahuano #Talcahuano #RB3 #H4 https://t.co/KlmAdUxo1c
2023-09-16T06:10:04.000Z;10-0-2: Estamos respondiendo a un Incendio en edificio en las esquinas de PUNTA GALERA y PUNTA PEÑA BLANCA, en la comuna de TALCAHUANO. Concurren 4 carros de Bomberos de Talcahuano #Talcahuano #RB6 #B7 #BR01 #B11 https://t.co/zsar6UprGl
2023-09-16T06:16:13.000Z;10-0-2: Estamos respondiendo a un incendio dentro de un edificio en las esquinas de PUNTA GALERA y PUNTA PEÑA BLANCA, en la comuna de TALCAHUANO. Concurren 5 carros de Bomberos de Talcahuano #Talcahuano #RB6 #B7 #BR01 #B11 #B3 https://t.co/zsar6UprGl
2023-09-16T18:24:59.000Z;10-3-4: Estamos respondiendo a un rescate de persona (s) en las esquinas de AVENIDA GRAN BRETANA y AVENIDA ROCOTO, en la comuna de TALCAHUANO. Concurre un carro de Bomberos de Talcahuano #Talcahuano #RB3 https://t.co/SkRcOVxJ6v
2023-09-16T20:23:20.000Z;10-8: Estamos respondiendo a una emergencia en las esquinas de LOS CAPULIES y EL CARDON, en la comuna de TALCAHUANO. Concurre un carro de Bomberos de Talcahuano #Talcahuano #B5 https://t.co/wYlXYg1YS6
2023-09-16T23:10:07.000Z;10-6-1: Estamos respondiendo a una emergencia por presunta emanación de gas en las esquinas de MANUEL GAETE y RICARDO LATCHMAN, en la comuna de TALCAHUANO. Concurre un carro de Bomberos de Talcahuano #Talcahuano #H9 https://t.co/zUnUGBa10c
