Fecha;Texto
2022-05-28T00:01:07.000Z;ESTADO DE UNIDADES A LAS 20:00  DISPONIBLES: B-1, F-1, Q-2, RH-2, B-3, B-4, X-4, B-5, F-6, RB-6, Z-6, B-8, H-8, B-9, H-9
2022-05-28T13:01:10.000Z;ESTADO DE UNIDADES A LAS 09:00  DISPONIBLES: B-1, F-1, Q-2, B-5, F-6, RB-6, Z-6, B-7, F-7, B-8, H-8, B-9, H-9
2022-05-28T14:51:47.000Z;EMERGENCIA: 10:50 10-4 (RESCATE VEHICULAR), AVENIDA GRAN BRETAÑA / ROTONDA, B-3 B-8
2022-05-28T15:30:23.000Z;EMERGENCIA: 11:29 10-3 (RESCATE DE PERSONA), SAN MARTIN / ANIBAL PINTO, B-3
2022-05-28T21:07:21.000Z;EMERGENCIA: 17:06 10-4 (RESCATE VEHICULAR), EJERCITO / SIETE PONIENTE, B-5 B-9
2022-05-28T21:09:55.000Z;17:08, SALE B-4  A 10-4 (RESCATE VEHICULAR) EJERCITO , OCHO PONIENTE ,
2022-05-28T22:08:28.000Z;EMERGENCIA: 18:07 10-8 (LLAMADO NO CLASIFICADO), LAGO BUDI / LAGO LLANQUIHUE, B-4
2022-05-28T23:24:31.000Z;EMERGENCIA: 19:23 10-4 (RESCATE VEHICULAR), HIGUERAS / AVENIDA CRISTOBAL COLON, B-5 RB-6 B-8
