fold,task,model,mae,rmse,r2,poisson_deviance,mase_vs_train_mean,average_precision,brier,log_loss,ece_10,accuracy,precision,recall,f1,alert_rate,roc_auc
1,count,gradient_boosting_absolute,2.060877163682123,2.7230527545440073,-0.11925067705133152,1.6600394393795592,1.071498035240652,,,,,,,,,,
1,count,hist_gradient_boosting_poisson,2.1034030265445525,2.8130711652055087,-0.19447398006130778,1.8390286280020092,1.093608221770447,,,,,,,,,,
1,count,poisson_regressor,2.003039111204354,2.67168204555029,-0.07741942003230884,1.5133820916204863,1.041426684708848,,,,,,,,,,
1,count,tweedie_regressor,1.9816878292887077,2.6358717915528054,-0.048730310736188054,1.4863851658483456,1.0303256559694112,,,,,,,,,,
1,count,negative_binomial,2.087355567448508,2.769757533862999,-0.15797387171379484,1.5644536688934991,1.0852647740409884,,,,,,,,,,
1,classification,rf_raw,,,,,,0.07947889588024501,0.09728325292582225,0.37237071283017975,0.09943834834393338,0.9041666666666667,0.0,0.0,0.0,0.0,0.38549388900020043
1,classification,rf_sigmoid,,,,,,0.15850112233341498,0.09687536672144731,0.43658813936759155,0.08212226915894098,0.9,0.0,0.0,0.0,0.004166666666666667,0.6145061109997997
1,classification,rf_isotonic,,,,,,0.09787234042553192,0.09299719899934528,0.4099413905447199,0.07997970792643572,0.9041666666666667,0.0,0.0,0.0,0.0,0.511520737327189
1,classification,negative_binomial_derived_risk,,,,,,0.13660259699346922,0.10245467797815574,0.3630892158850365,0.07379734552273531,0.875,0.1111111111111111,0.043478260869565216,0.0625,0.0375,0.6187136846323382
2,count,gradient_boosting_absolute,1.7648055338574813,2.2109083443456115,-0.05562186835929128,1.296924911005913,1.0216480484654584,,,,,,,,,,
2,count,hist_gradient_boosting_poisson,1.8618721519688286,2.3384098126086768,-0.1808864802721275,1.4929990708706293,1.0778400305632483,,,,,,,,,,
2,count,poisson_regressor,1.9123603476941566,2.3404263607234883,-0.18292405398259204,1.4222166196217996,1.1070677078589888,,,,,,,,,,
2,count,tweedie_regressor,1.8908937391426226,2.3104840613982174,-0.1528501351356164,1.3869294553820206,1.0946406623216203,,,,,,,,,,
2,count,negative_binomial,1.9701756559058263,2.4326078978429484,-0.2779419474944449,1.559695189519968,1.1405370593952875,,,,,,,,,,
2,classification,rf_raw,,,,,,0.10524338132319239,0.06174397503331898,0.2388882152612838,0.04349651435813463,0.9333333333333333,0.0,0.0,0.0,0.004166666666666667,0.6376296296296297
2,classification,rf_sigmoid,,,,,,0.10524338132319239,0.05825381432888057,0.2310132728485598,0.03192509354296446,0.9375,0.0,0.0,0.0,0.0,0.6376296296296297
2,classification,rf_isotonic,,,,,,0.09485847330137188,0.058192562878173974,0.22974360326732984,0.06484977670994155,0.9375,0.0,0.0,0.0,0.0,0.6451851851851852
2,classification,negative_binomial_derived_risk,,,,,,0.07672786359904733,0.06559523728745119,0.2646460383893146,0.06749195340738182,0.9375,0.0,0.0,0.0,0.0,0.5617777777777777
3,count,gradient_boosting_absolute,2.096074959157313,3.1356545946936887,-0.050979163592180354,1.9205160947372382,1.0258508571051237,,,,,,,,,,
3,count,hist_gradient_boosting_poisson,2.1224110297094616,3.175938524694247,-0.07815660061108365,2.0300938714006582,1.0387401292328553,,,,,,,,,,
3,count,poisson_regressor,2.0320722074115247,2.9168054159903063,0.09060494834269761,1.6163284235213022,0.9945269402534574,,,,,,,,,,
3,count,tweedie_regressor,2.0392079961216276,2.9392347979673126,0.07656520952005141,1.6374017556612965,0.9980193034117498,,,,,,,,,,
3,count,negative_binomial,2.0296442971365996,2.877353585776441,0.11503898581174477,1.5859843614807683,0.9933386841628892,,,,,,,,,,
3,classification,rf_raw,,,,,,0.1693709467340347,0.10951506271887951,0.37724931763792763,0.07807983687044828,0.8791666666666667,0.0,0.0,0.0,0.0,0.6254289916653049
3,classification,rf_sigmoid,,,,,,0.1693709467340347,0.10829618936860935,0.38185121047004306,0.07156107334917777,0.8791666666666667,0.0,0.0,0.0,0.0,0.6254289916653049
3,classification,rf_isotonic,,,,,,0.1479271716830322,0.10838183309414434,0.5158715255449758,0.053387364749280936,0.8791666666666667,0.0,0.0,0.0,0.0,0.5999346298414774
3,classification,negative_binomial_derived_risk,,,,,,0.3909948304892253,0.09791718725885377,0.3494552439320672,0.07688979035534603,0.8875,1.0,0.06896551724137931,0.12903225806451613,0.008333333333333333,0.6942310835103775
4,count,gradient_boosting_absolute,1.984038532000191,2.7241362482967952,-0.11779522499683415,1.5341400117745139,1.066032398880533,,,,,,,,,,
