fold,category_family,weight_direct,inner_mae,outer_direct_mae,outer_category_mae,outer_blend_mae
1,gradient_boosting,0.75,2.291002195306912,2.795070103580988,4.526984029946765,2.9411852374837832
2,gradient_boosting,1.0,2.5392912818187976,2.7353102051026537,2.197838508325566,2.7353102051026537
3,gradient_boosting,0.75,2.595475606402639,2.4608144268990184,2.7707579188795846,2.3866653017231454
4,gradient_boosting,0.75,2.5168533927438532,2.3997234069621007,3.0887895080593095,2.4397406065163274
5,gradient_boosting,0.75,2.5514924275868633,2.3705300771323765,2.375772526747501,2.2750224135154578
