group;candidate;oof_mae;oof_rmse;oof_prediction_mean;oof_actual_mean;oof_mean_ratio;fold_mae_std
incendios;baseline;1.20758198665587;1.5665974168382253;1.3375616153121412;1.134375;1.1791176774101522;0.22018736110350026
incendios;huber_signal;1.1702634218772319;1.585329108296227;1.2025594014085839;1.134375;1.0601074612968233;0.1864390622751473
incendios;poisson_signal;1.250944033683621;1.6671683246158369;1.3255475392745495;1.134375;1.168526756385278;0.21515158911989868
rescates;baseline;1.206580355278299;1.5903989797705071;1.6390825842099068;1.8364583333333333;0.892523698718951;0.0883318420016574
rescates;huber_signal;1.2379959159911778;1.6393507642305107;1.5465067924304534;1.8364583333333333;0.8421137383625839;0.07739257544680958
rescates;poisson_signal;1.262947376166104;1.6546568083998716;1.6800336360690429;1.8364583333333333;0.9148226265605679;0.06420504206084669
climaticas;baseline;0.24526459961263625;1.2735465531123338;0.10724562781505755;0.14270833333333333;0.7515022095069727;0.20984856298626872
climaticas;huber_signal;0.14270833333333333;1.2776117041834998;0.0;0.14270833333333333;0.0;0.23003151203210787
climaticas;poisson_signal;0.17516232935950765;1.1605223761117518;0.07920654773198198;0.14270833333333333;0.555023984107319;0.20431830050182231
otros;baseline;1.335881642250122;1.8308515060832748;1.6875021448531953;1.871875;0.901503650005046;0.09503462169815124
otros;huber_signal;1.3404834088397086;1.8375690984933102;1.6128772033826047;1.871875;0.8616372371993881;0.08050578825454019
otros;poisson_signal;1.381554550102837;1.8716632618599767;1.7989357695531487;1.871875;0.9610341339849876;0.06971730176898863
