Fecha;Texto
2025-03-17T00:00:13.000Z;SALE Z-9 A INCENDIO FORESTAL GRAN BRETAÑA / ROTONDA https://t.co/16246DAhlc
2025-03-17T00:16:37.000Z;SEGUNDA ALARMA DE INCENDIO FORESTAL GRAN BRETAÑA / ROTONDA F-6, B-4, B-5, Z-6, F-8, F-1, Z-9, B-11, B-3, X-4 https://t.co/16246DAPaK
2025-03-17T00:23:01.000Z;SALE F-7 A SEGUNDA ALARMA DE INCENDIO FORESTAL GRAN BRETAÑA / ROTONDA https://t.co/16246DAhlc
2025-03-17T01:45:59.000Z;SALE H-8 A SEGUNDA ALARMA DE INCENDIO FORESTAL GRAN BRETAÑA / ROTONDA https://t.co/16246DAPaK
2025-03-17T06:41:32.000Z;10-2-2 GRAN BRETAÑA / ROTONDA F-8, B-11 https://t.co/16246DAhlc
2025-03-17T07:02:10.000Z;SALE Z-9 A 10-2-2 GRAN BRETAÑA / ROTONDA https://t.co/16246DAPaK
2025-03-17T15:58:17.000Z;10-8 HEROES DE LA CONCEPCIÓN / ANIBAL PINTO RH-1 https://t.co/th8itvsmli
