Fecha;Texto
2024-01-01T22:22:03.000Z;SALE F-1 A 10-2-1 VALDIVIA / AVENIDA TUMBES https://t.co/i9jFe2loJp
2024-01-01T22:21:35.000Z;10-2-1 VALDIVIA / AVENIDA TUMBES F-7 https://t.co/i9jFe2loJp
2024-01-01T17:57:02.000Z;10-3-4 SAN JUAN / TUMBES RB-6 https://t.co/mUuXv2eBog
2024-01-01T16:52:20.000Z;10-9 BLANCO ENCALADA / ARTURO PRAT BR-01 https://t.co/kc7bNTdgG9
2024-01-01T15:31:12.000Z;10-3-9 LOS EUCALIPTUS / LAS MAGNOLIAS RB-5 https://t.co/PkcuwuZ2XW
2024-01-01T02:33:59.000Z;10-0-1 8 PONIENTE / EJERCITO Q-2, B-9, B-5 https://t.co/fbXRyMcIdW
