Fecha;Texto
2025-11-14T02:21:07.000Z;10-0-1 COLÓN / RIQUELME B-3, H-11, H-8 https://t.co/ezzUncojVX
2025-11-14T02:26:27.000Z;SALE RH-1 A 10-0-1 COLÓN / RIQUELME https://t.co/ezzUncojVX
2025-11-14T05:33:40.000Z;10-2-1 AVENIDA COLON / HUALPEN B-3 https://t.co/zpjhD9bUU4
2025-11-14T05:56:16.000Z;SALE F-7, F-6, Z-9 A 10-2-1 AVENIDA COLON / HUALPEN https://t.co/zpjhD9bUU4
2025-11-14T10:16:25.000Z;10-3-4 AVENIDA LAS GOLONDRINAS / CHIMBARONGO RX-5 https://t.co/tE0kDPx9UT
2025-11-14T11:57:24.000Z;10-3-4 ARTEAGA ALEMPARTE / O'HIGGINS RX-5 https://t.co/q8YdYEYnk3
2025-11-14T15:50:09.000Z;10-0-1 SEIS PONIENTE - AVIACIÓN / 4 SUR B-5, B-4, Q-2 https://t.co/PK4perDSGk
2025-11-14T23:16:55.000Z;10-3-4 AUTOPISTA CONCEPCIÓN-TALCAHUANO ALTURA MALL PLAZA EL TRÉBOL /  RX-5 https://t.co/sqQMPuTfOI
