Fecha;Texto
2024-08-02T01:06:32.000Z;10-7 BEAUCHEFF / BARROS ARANA RB-3 https://t.co/5IpKAmfl1n
2024-08-02T02:07:14.000Z;10-17-2 LAGUNA LA POSADA / LAGUNA SAN PEDRO B-5 https://t.co/d9AQ9lNmnJ
2024-08-02T03:02:44.000Z;10-17-1 MARTÍNEZ DE ROZAS / SENORET F-1 https://t.co/NpOXJ0HkVL
2024-08-02T04:44:53.000Z;10-17-2 PASAJE ARTURO TORRES RIOSECO / VASCO NUNEZ DE BALBOA B-8 https://t.co/TDcUU0k9DO
2024-08-02T04:48:20.000Z;SALE H-8 A 10-17-2 PASAJE ARTURO TORRES RIOSECO / VASCO NUNEZ DE BALBOA https://t.co/TDcUU0k9DO
2024-08-02T12:29:26.000Z;10-4-1 AVENIDA COSTANERA / AVENIDA GRAN BRETANA RX-5, B-8, RB-3 https://t.co/n99InE1UTg
2024-08-02T13:14:08.000Z;10-17-2 BOLDO / LOS CASTANOS B-8 https://t.co/Xpeojhc0m1
2024-08-02T13:23:04.000Z;10-17-2 LOS CAPULIES / RIO MAULE B-5 https://t.co/jdrpV2xcEj
2024-08-02T14:43:42.000Z;10-17-2 CATORCE NORTE / UNO OTE. B-9 https://t.co/NCLWD2kUr4
2024-08-02T15:49:40.000Z;10-17-2 RÍO MAPOCHO / RIO ANDALIEN B-5 https://t.co/We35joYKMV
2024-08-02T15:52:59.000Z;10-17-2 LOS EUCALIPTUS / LAS ACACIAS B-8 https://t.co/p9c9RG72sJ
2024-08-02T18:35:08.000Z;10-9 PÉREZ ROSALES / SAN MARTÍN B-1 https://t.co/Vqfypr5ZUo
2024-08-02T18:41:24.000Z;SALE F-1 A 10-9 PÉREZ ROSALES / SAN MARTÍN https://t.co/Vqfypr5ZUo
2024-08-02T19:05:14.000Z;10-17-2 CALETA COLIUMO / AVENIDA SAN VICENTE RB-6 https://t.co/WTPNb0dBP6
2024-08-02T19:16:37.000Z;10-17-2 MARYLAND / TUMBES B-7 https://t.co/QFLmTBBHMk
2024-08-02T19:34:32.000Z;10-6-1 PASAJE TRECE / CALLE 2 H-8 https://t.co/mtqUm0BkXb
2024-08-02T19:46:03.000Z;10-17-2 MERINO JARPA / WENCESLAO VARGAS B-1 https://t.co/4SuejrNfhR
2024-08-02T19:50:24.000Z;SALE F-1 A 10-17-2 MERINO JARPA / WENCESLAO VARGAS https://t.co/4SuejrNfhR
2024-08-02T21:06:26.000Z;10-7 PLAYA BLANCA / CALLE VIA LOCAL 1 B-1 https://t.co/dH13Zctbp9
2024-08-02T23:24:18.000Z;10-17-2 AVENIDA CRISTÓBAL COLÓN / AVENIDA TALCAHUANO B-9 https://t.co/UvoYrw2gFF
