Fecha;Texto
2025-06-21T00:30:28.000Z;10-4-1 JAIME REPULLO / GUINDO RX-5, B-4 https://t.co/crp4TbaHXk
2025-06-21T02:35:17.000Z;10-3-9 AVENIDA LAS GOLONDRINAS / PANQUEHUE RX-5 https://t.co/HGK0CAfmcm
2025-06-21T02:38:31.000Z;SALE B-9 A 10-3-9 AVENIDA LAS GOLONDRINAS / PANQUEHUE https://t.co/HGK0CAfmcm
2025-06-21T14:57:57.000Z;10-0-1 AVENIDA PARQUES DE CARRIEL / VALLE DE CHOAPA B-9, B-4, Q-2 https://t.co/EoSyNjeCQv
2025-06-21T14:59:57.000Z;SALE B-5 A 10-0-4 AVENIDA PARQUES DE CARRIEL / VALLE DE CHOAPA https://t.co/EoSyNjeCQv
2025-06-21T21:46:26.000Z;10-8 ITALIA / AVENIDA BRASIL RB-3 https://t.co/wy1qYmD2Gz
