Fecha;Texto
2024-12-09T00:26:50.000Z;10-3-9 CUATRO PONIENTE / CONCEPCION L-01, B-4 https://t.co/AnNqwud9gz
2024-12-09T00:46:22.000Z;10-3-9 LA VEGA / LOURDES L-01, B-4 https://t.co/cTstGLb91a
2024-12-09T00:49:30.000Z;SALE B-9 A 10-3-9 LA VEGA / LOURDES https://t.co/cTstGLb91a
2024-12-09T23:40:09.000Z;10-3-5 AUTOPISTA CONCEPCIÓN TALCAHUANO ALTURA PUENTE O\'HIGGINS /  RH-2, RB-6 https://t.co/xdSegGgPKK
2024-12-09T23:40:34.000Z;SALE L-01 A 10-3-5 AUTOPISTA CONCEPCIÓN TALCAHUANO ALTURA PUENTE O\'HIGGINS /  https://t.co/xdSegGgPKK
