Fecha;Texto
2024-05-13T00:05:04.000Z;10-4-2 AVENIDA DEL PESCADOR / LA CANCHA RB-6, RB-3, RX-5 https://t.co/PnMMjTePSM
2024-05-13T00:15:29.000Z;SALE H-4 A 10-4-2 AVENIDA DEL PESCADOR / LA CANCHA https://t.co/PnMMjTePSM
2024-05-13T01:22:39.000Z;10-7 BALMACEDA / ORELLA RB-3 https://t.co/1nRvTVdcvs
2024-05-13T02:49:35.000Z;10-8 SUNICO / PASAJE DANIEL SUNICO H-8 https://t.co/YcQ2rLHcdv
2024-05-13T05:49:42.000Z;10-12 A 10-0 GRECIA / LEBU Z-9, B-5, Q-2 https://t.co/KIwjOnMSdd
2024-05-13T13:09:10.000Z;10-4-1 AVENIDA GRAN BRETANA / ISLA SANTA MARIA RB-3, H-8 https://t.co/EsTdZZOmNH
2024-05-13T16:50:49.000Z;10-5-1 TERMINAR PORTUARIO SAN VICENTE SVTI /  H-11, B-9, RB-3 https://t.co/D1ClviPJiY
2024-05-13T17:10:37.000Z;SALE H-8 A 10-5-1 TERMINAR PORTUARIO SAN VICENTE SVTI /  https://t.co/D1ClviPJiY
2024-05-13T22:18:24.000Z;10-0-1 JAIME REPULLO / VOLCAN OSORNO Q-2, B-4, B-5 https://t.co/BgEevjKxTB
