horizon,n_pairs,candidate_mae,persistence_mae,rolling_28d_mae,candidate_brier,risk_90d_brier
1,269,2.04839318304884,2.680297397769517,2.1274561869357407,0.123903130245301,0.123903130245301
2,269,2.0611233330268144,2.684014869888476,2.1359532660647904,0.1242299409810337,0.1242299409810337
3,269,2.075113682238797,2.762081784386617,2.147902283590016,0.1265993188150956,0.1265993188150956
4,269,2.0771075667864816,2.8104089219330857,2.145778013807754,0.1270078322347614,0.1270078322347614
5,269,2.1033187272022578,2.929368029739777,2.1725969198088158,0.1294589127527564,0.1294589127527564
6,269,2.111768022376429,2.7806691449814127,2.1625066383430696,0.1296223181206227,0.1296223181206227
