candidate;fold;mae;rmse;r2;high_auc;actual_mean;prediction_mean;actual_std;prediction_std;std_ratio;p05;p95;p05_p95_width;width_ratio;boring_4_5_share;min_prediction;max_prediction
d3_base;1;2.500011744101842;3.4466377105561476;0.09074820893125024;0.5651041666666666;5.541666666666667;5.061733784278234;3.6296996966629598;1.2790963563718387;0.3523972954423207;3.4826544284820558;7.100969266891479;3.618314838409423;0.40203498204549143;0.5666666666666667;1.893822431564331;8.896055221557617
d3_base;2;2.3354183197021485;3.014878835232442;0.2825617371707344;0.76953125;5.075;4.539768465360006;3.5743307536005187;1.2622925705396828;0.35315494215753307;3.1607296586036684;6.439754915237425;3.2790252566337568;0.3279025256633757;0.6;2.466719627380371;13.270957946777344
d3_base;3;2.4570095241069794;3.1317056855285252;-0.01604442629883951;0.6005799202609641;5.925;5.695327947537105;3.1199076155251397;0.9853383344950969;0.31582292039414944;4.3839000225067135;7.403458571434021;3.019558548927307;0.33550650543636745;0.6416666666666667;3.8279974460601807;8.651556015014648
d3_base;4;2.0273684759934745;2.6288113200751715;0.25370961592274655;0.6508413461538461;5.3;4.959284363190333;3.055783880782543;1.2285081376500566;0.40202716735826655;3.619249904155731;7.275016093254089;3.6557661890983577;0.4541324458507278;0.7083333333333334;2.641599178314209;13.02396297454834
d3_base;5;1.8859864473342896;2.348697581857439;-0.02472783145720303;0.5786363636363636;4.241666666666666;4.348352877298991;2.329914462069418;0.8961527710591294;0.3846290435328562;3.3592490553855896;5.876932525634765;2.5176834702491755;0.31471043378114694;0.6083333333333333;2.9327592849731445;9.234739303588867
d3_base;6;2.3176813503106435;2.8562393037050375;-0.03508244966231011;0.5978260869565217;5.208333333333333;5.625939053297043;2.8191894458607534;1.1305255827595393;0.4010108594934697;4.1965516090393065;7.937350940704346;3.7407993316650394;0.4646955691509365;0.675;3.5877420902252197;10.213774681091309
d3_history_core5;1;2.5187056879202525;3.4997710307321794;0.06249809629919256;0.5399305555555556;5.541666666666667;5.090325035651525;3.6296996966629598;1.2261911581083929;0.33782165484260784;3.650533950328827;7.453701138496399;3.803167188167572;0.4225741320186191;0.5666666666666667;2.2254104614257812;8.216647148132324
d3_history_core5;2;2.337163104613622;3.002182380098309;0.2885916595433674;0.795138888888889;5.075;4.613913267850876;3.5743307536005187;1.3508352780819604;0.3779267704090417;3.1317041635513307;6.455635404586789;3.3239312410354582;0.3323931241035458;0.6083333333333333;2.562227964401245;14.082874298095703
d3_history_core5;3;2.4662959933280946;3.154422176405786;-0.03083807397757443;0.5835447625951431;5.925;5.82219895919164;3.1199076155251397;1.1222179517865571;0.35969589169955807;4.323136949539185;7.733850836753843;3.4107138872146585;0.3789682096905176;0.6333333333333333;4.078836441040039;9.092289924621582
d3_history_core5;4;2.013994191090266;2.6360135115733616;0.24961476963311824;0.6568509615384616;5.3;5.010397857427597;3.055783880782543;1.265161369067956;0.4140218740678631;3.580607032775879;7.316968321800232;3.736361289024353;0.464144259506131;0.7416666666666667;3.1516823768615723;13.074929237365723
d3_history_core5;5;1.9439190765221914;2.4115918989852707;-0.08034374819618328;0.5490909090909091;4.241666666666666;4.373145447174708;2.329914462069418;0.8941463774818078;0.3837678987955771;3.395459568500519;5.645175647735595;2.249716079235076;0.2812145099043845;0.6166666666666667;3.1180624961853027;9.190489768981934
d3_history_core5;6;2.3220138271649677;2.844676790588417;-0.026719053860864372;0.5648291925465838;5.208333333333333;5.647768211364746;2.8191894458607534;1.039568834673901;0.36874742000763283;4.186535739898682;7.385654711723327;3.199118971824645;0.3974060834564776;0.6666666666666666;3.5113933086395264;9.891204833984375
d3_history_core10;1;2.5293406655391055;3.4773081463303335;0.07449397506413835;0.5577256944444444;5.541666666666667;5.1520815322796505;3.6296996966629598;1.4008197854233886;0.38593269484835385;3.5238876223564146;7.918566036224365;4.39467841386795;0.48829760154088336;0.475;1.9505802392959595;8.832059860229492
d3_history_core10;2;2.3440073827902475;3.044952321796146;0.26817742453659;0.7751736111111112;5.075;4.650112909078598;3.5743307536005187;1.2432671770810892;0.34783215734266143;3.2183937430381775;6.61687090396881;3.398477160930632;0.3398477160930632;0.675;2.4009628295898438;12.948161125183105
d3_history_core10;3;2.392577280600866;3.126516284066676;-0.012679937793012908;0.598042769119246;5.925;5.619789582490921;3.1199076155251397;1.0696876922870482;0.3428587715110915;4.139062547683716;7.4467128038406365;3.3076502561569203;0.3675166951285467;0.6666666666666666;3.6903510093688965;9.171316146850586
d3_history_core10;4;1.9889666577180227;2.6381476590263135;0.2483992364118769;0.6760817307692308;5.3;4.950878578424454;3.055783880782543;1.2029356848820976;0.3936586263338894;3.5642956614494326;6.893486213684081;3.3291905522346488;0.41356404375585715;0.75;3.121511936187744;12.916252136230469
d3_history_core10;5;1.9514189501603445;2.3988829203859274;-0.06898702803645773;0.5318181818181819;4.241666666666666;4.346984094381332;2.329914462069418;0.8576501479262161;0.36810370590363034;3.407103085517883;5.683886480331421;2.276783394813538;0.28459792435169223;0.6166666666666667;3.0279924869537354;9.132543563842773
d3_history_core10;6;2.3182586034139;2.8406430447692412;-0.023809347303938244;0.5733695652173912;5.208333333333333;5.529355935255686;2.8191894458607534;1.052624639285138;0.37337846905983685;3.9945220708847047;7.549773025512695;3.5552509546279905;0.44164608132024724;0.6333333333333333;3.4994571208953857;9.948633193969727
d3_history_core15;1;2.5011656105518343;3.456599894384618;0.08548439817162956;0.5651041666666667;5.541666666666667;5.184371469418208;3.6296996966629598;1.3227817602851795;0.36443283765356854;3.5639074087142943;7.718974280357361;4.155066871643067;0.46167409684922966;0.5333333333333333;2.1361584663391113;8.883857727050781
d3_history_core15;2;2.383731367190679;3.0402822702580505;0.27042049960274717;0.7803819444444444;5.075;4.743360469738643;3.5743307536005187;1.2817336556615921;0.3585940261321557;3.3557079911231993;6.857954955101013;3.5022469639778135;0.35022469639778137;0.6666666666666666;2.5395071506500244;13.409309387207031
d3_history_core15;3;2.3765342513720196;3.0938185451536286;0.008390924101282393;0.5690467560710402;5.925;5.621485873063405;3.1199076155251397;1.013469497802827;0.32483958587736605;4.069643092155457;7.509999656677246;3.440356564521789;0.38226184050242096;0.65;3.6780827045440674;9.154160499572754
d3_history_core15;4;1.9783488134543101;2.6096717199797164;0.2645370965375926;0.6556490384615384;5.3;4.9475501318772634;3.055783880782543;1.2246561925701043;0.40076662498019566;3.5334861993789675;6.852684521675109;3.319198322296142;0.41232277295604264;0.7666666666666667;2.8113317489624023;13.523837089538574
d3_history_core15;5;1.9354981303215026;2.378292525865692;-0.05071485539901199;0.5654545454545454;4.241666666666666;4.438849353790284;2.329914462069418;0.9215507365318215;0.39552985808470625;3.4425835371017457;5.893274259567261;2.4506907224655152;0.3063363403081894;0.6583333333333333;3.1500701904296875;9.265522956848145
d3_history_core15;6;2.328568740685781;2.828073227115259;-0.01476870137130315;0.5710403726708074;5.208333333333333;5.527745421727499;2.8191894458607534;1.035922954230507;0.36745418288632237;4.043252193927765;7.450604724884033;3.4073525309562678;0.42327360632997113;0.6666666666666666;3.409759283065796;10.255653381347656
