candidate;feature_count;mae;rmse;r2;high_auc;actual_mean;prediction_mean;actual_std;prediction_std;std_ratio;p05;p95;p05_p95_width;width_ratio;boring_4_5_share;min_prediction;max_prediction;confirm_mae;confirm_rmse;confirm_r2;confirm_high_auc;confirm_actual_mean;confirm_prediction_mean;confirm_actual_std;confirm_prediction_std;confirm_std_ratio;confirm_p05;confirm_p95;confirm_p05_p95_width;confirm_width_ratio;confirm_boring_4_5_share;confirm_min_prediction;confirm_max_prediction
d3_base;108;2.253912643591563;2.9257910225937107;0.13673669936491994;0.6582661935930114;5.215277777777778;5.038401081826952;3.1511818531385956;1.2414407265881546;0.39396035660451406;3.5050631523132325;7.272517228126525;3.767454075813293;0.3767454075813293;0.6333333333333333;1.893822431564331;13.270957946777344;2.1018338988224667;2.614811971352091;0.004194559622362259;0.6786737884314747;4.725;4.987145965298017;2.6257893812103412;1.2024969736577913;0.4579563700967927;3.5334362506866457;7.0600389957427945;3.526602745056149;0.3918447494506832;0.6416666666666667;2.9327592849731445;10.213774681091309
d3_history_core5;113;2.267015313439899;2.945855969020625;0.12485565508508978;0.651970642107825;5.215277777777778;5.092958129776848;3.1511818531385956;1.2654814530420084;0.4015894708779125;3.5249802231788636;7.3725879907608;3.8476077675819362;0.38476077675819365;0.6388888888888888;2.2254104614257812;14.082874298095703;2.1329664518435796;2.6370401523454094;-0.012807830579030899;0.6520323084940074;4.725;5.010456829269727;2.6257893812103412;1.159324076481094;0.44151449646989993;3.526776170730591;6.965208387374878;3.4384322166442867;0.3820480240715874;0.6416666666666667;3.1180624961853027;9.891204833984375
d3_history_core10;118;2.254094923370414;2.941717919442717;0.12731256216940656;0.6478333824339384;5.215277777777778;5.041533771985107;3.1511818531385956;1.2327306835983327;0.391196300642099;3.49270179271698;7.342902469635009;3.850200676918029;0.38502006769180286;0.6361111111111111;1.9505802392959595;12.948161125183105;2.134838776787122;2.629058022706534;-0.006685718252160022;0.6508598228243877;4.725;4.9381700148185095;2.6257893812103412;1.1264534946939293;0.42899613455466773;3.5383697032928465;6.871542167663574;3.333172464370728;0.37035249604119197;0.625;3.0279924869537354;9.948633193969727
d3_history_core15;123;2.2506411522626877;2.92197913252925;0.13898465291931217;0.6491270766353704;5.215277777777778;5.077227119935883;3.1511818531385956;1.2134855942936889;0.3850890398740555;3.541676902770996;7.206764936447142;3.6650880336761458;0.3665088033676146;0.6569444444444444;2.1361584663391113;13.523837089538574;2.132033435503642;2.6128790171489693;0.005666279102001126;0.6569828035435122;4.725;4.983297387758891;2.6257893812103412;1.1201956305750864;0.4266129029963322;3.5617134809494018;6.838281512260436;3.2765680313110344;0.3640631145901149;0.6625;3.1500701904296875;10.255653381347656
d3_history_core10_calendar;125;2.268072185582585;2.9483949448374496;0.12334646530269999;0.6455277888076238;5.215277777777778;5.049718954496914;3.1511818531385956;1.2064154712361839;0.3828453981589755;3.5081802725791933;7.277176022529601;3.768995749950408;0.3768995749950408;0.6430555555555556;2.1155734062194824;13.465431213378906;2.132141716281573;2.616176607669113;0.0031548926154585377;0.6571130797290256;4.725;4.965080892046292;2.6257893812103412;1.1248655605107298;0.42839138910380925;3.552018070220947;6.992685914039611;3.4406678438186638;0.3822964270909626;0.6375;3.1462419033050537;9.482513427734375
d3_weekly;119;2.2467860768238705;2.9262545913017326;0.1364631230549853;0.65614632834215;5.215277777777778;5.000267266233762;3.1511818531385956;1.1397124286141556;0.3616777709858272;3.514404320716858;7.164254689216613;3.6498503684997554;0.3649850368499755;0.6722222222222223;1.970777988433838;13.638856887817383;2.094909209012985;2.5794448834277355;0.0309502578548011;0.6707920792079208;4.725;4.902072989940644;2.6257893812103412;1.0301168252713053;0.39230748385328584;3.508511209487915;6.805660390853879;3.2971491813659637;0.3663499090406626;0.6958333333333333;3.0188839435577393;8.799413681030273
d3_regime;121;2.2630220399962533;2.9454706716906656;0.12508456561695158;0.6471160866390849;5.215277777777778;5.063820337586932;3.1511818531385956;1.2282495538038876;0.3897742532950118;3.4962485671043395;7.356309962272643;3.860061395168304;0.3860061395168304;0.6458333333333334;2.3210208415985107;13.2691068649292;2.1175055623054506;2.608371089541071;0.009094312115252134;0.6581552892131318;4.725;4.959716230630875;2.6257893812103412;1.1329897151865542;0.43148537475778415;3.502222311496735;6.961486673355102;3.4592643618583674;0.38436270687315194;0.6666666666666666;3.0713112354278564;10.150771141052246
d3_history_all;132;2.240199914574623;2.9172527844369243;0.1417678124503956;0.6559157689795186;5.215277777777778;5.054688022202916;3.1511818531385956;1.1804132617668424;0.374593824406276;3.553175759315491;7.224733543395995;3.6715577840805045;0.36715577840805047;0.675;2.1738150119781494;13.8831148147583;2.118003299832344;2.6062414905332885;0.010711697257321684;0.6495570609692548;4.725;4.899762524167697;2.6257893812103412;1.0650842529316062;0.405624404056605;3.5498162508010864;6.8640028715133665;3.31418662071228;0.36824295785692;0.6875;2.8008182048797607;9.656549453735352
d3_calendar_v2;115;2.2489250123500826;2.927564171784296;0.13569003646741584;0.6541609560528239;5.215277777777778;5.008991842799716;3.1511818531385956;1.2104926752833498;0.3841392632030081;3.514189863204956;7.257630181312561;3.7434403181076052;0.37434403181076054;0.6375;2.108424663543701;13.604859352111816;2.088589210311572;2.5878854822048565;0.02459792786867787;0.6720948410630537;4.725;4.9554468303918835;2.6257893812103412;1.1368537813481971;0.43295695743280505;3.544454574584961;6.9064448833465555;3.3619903087615945;0.3735544787512883;0.6375;2.9836530685424805;9.751808166503906
d3_soil;110;2.2558986534674963;2.9443531843206636;0.12574831113657037;0.6457071127563372;5.215277777777778;5.055985119276577;3.1511818531385956;1.188388419804433;0.3771246710566041;3.6141276597976684;7.356694388389586;3.742566728591918;0.3742566728591918;0.6638888888888889;2.3707878589630127;13.423942565917969;2.103262558579445;2.6164775674248206;0.0029255292648278086;0.6701406982803544;4.725;5.064220276474953;2.6257893812103412;1.1445562199265948;0.4358903376321138;3.76140878200531;7.114658880233762;3.3532500982284517;0.37258334424760575;0.6625;3.219668388366699;10.02368450164795
