candidate;family;feature_set;calibration;feature_count;mae;rmse;r2;high_auc;actual_mean;prediction_mean;actual_std;prediction_std;std_ratio;p05;p95;p05_p95_width;width_ratio;boring_4_5_share;min_prediction;max_prediction;mae_vs_official_pct;rmse_vs_official_pct;passes_accuracy_gate;resolution_score
xgb_squared__all_operational;xgb_squared;all_operational;raw;108;2.249420020315382;2.9297296690927994;0.13441091634115632;0.6528800707048712;5.215277777777778;4.953501584132512;3.1511818531385956;1.1705219803907037;0.37145491277339543;3.496789789199829;7.0282772302627565;3.5314874410629273;0.3531487441062927;0.6763888888888889;2.354330539703369;14.091686248779297;-0.7923014409635831;-2.8992191024448166;True;0.35547899340745265
xgb_squared__official_plus_forecast;xgb_squared;official_plus_forecast;raw;70;2.2629199071062938;2.971494497202137;0.10955616154460612;0.6572222720344301;5.215277777777778;5.036971603830655;3.1511818531385956;1.1238059945628216;0.35663000326163474;3.5294390082359315;6.96157443523407;3.4321354269981383;0.34321354269981386;0.6472222222222223;2.659437656402588;13.690787315368652;-0.19690676711955346;-1.514996706006233;True;0.351163796968226
gradient_huber__all_operational;gradient_huber;all_operational;round;108;2.2402777777777776;2.9765285522269433;0.1065365764458368;0.6510355958038195;5.215277777777778;4.758333333333334;3.1511818531385956;1.0872570788427829;0.3450315245246378;3.0;7.0;4.0;0.4;0.7388888888888889;2.0;13.0;-1.1955079713727335;-1.3481517308036817;True;0.34748640825830923
xgb_squared__official_plus_forecast;xgb_squared;official_plus_forecast;round;70;2.261111111111111;2.9907264074877267;0.09799271865671566;0.6528096220107338;5.215277777777778;5.020833333333333;3.1511818531385956;1.1619174479161183;0.36872433965016704;4.0;7.0;3.0;0.3;0.6472222222222223;3.0;14.0;-0.2766813251052769;-0.8775885769959135;True;0.3414815083981307
xgb_squared__official_50;xgb_squared;official_50;raw;50;2.276677842934926;3.020433219601232;0.07998449056718182;0.6551344289172676;5.215277777777778;5.060063727034462;3.1511818531385956;1.089169220744037;0.3456383260328877;3.552273952960968;6.858790516853328;3.30651656389236;0.330651656389236;0.6666666666666666;2.712630271911621;11.533140182495117;0.4098688186557231;0.10699190653093993;True;0.3379319931176987
xgb_squared__official_50;xgb_squared;official_50;round;50;2.2597222222222224;3.0228298000383678;0.07852392795691499;0.6512853684466704;5.215277777777778;5.063888888888889;3.1511818531385956;1.1256653795631388;0.35722006282879853;4.0;7.0;3.0;0.3;0.6472222222222223;3.0;12.0;-0.3379364348564229;0.18642238586308313;True;0.33630458382851486
gradient_huber__official_plus_forecast;gradient_huber;official_plus_forecast;raw;70;2.247418560994105;3.004140377950703;0.08988322842488583;0.6621280629170883;5.215277777777778;4.8194147046605105;3.1511818531385956;1.0436809470928052;0.3312030202424823;3.3566654258038726;6.650133525304167;3.293468099500294;0.3293468099500294;0.6583333333333333;2.6244585172200123;10.10158683222879;-0.8805731604424438;-0.433005917840501;True;0.3326460759249607
gradient_huber__all_operational;gradient_huber;all_operational;raw;108;2.227098106013697;2.956833258065601;0.11832131564985537;0.6624482842540763;5.215277777777778;4.7408505588295915;3.1511818531385956;1.0532937991609677;0.334253574769695;3.3504018949439214;6.537973762581338;3.1875718676374163;0.31875718676374165;0.6736111111111112;2.4257332867141614;13.085449430282653;-1.7767799844557453;-2.0009179103077535;True;0.3272569017914501
poisson_glm__official_plus_forecast;poisson_glm;official_plus_forecast;raw;70;2.281594458036367;2.947487104294836;0.12388624311985208;0.6449385815475658;5.215277777777778;4.9987238974639725;3.1511818531385956;1.07449390848167;0.3409812440406979;3.5932703165547095;6.651587163696734;3.058316847142024;0.3058316847142024;0.6777777777777778;2.9977814321499063;16.36331846531795;0.6267096329586996;-2.310679878827837;True;0.32492709391272934
extra_trees__all_operational;extra_trees;all_operational;round;108;2.2402777777777776;2.992815471164977;0.0967321494747142;0.6433054527289263;5.215277777777778;4.894444444444445;3.1511818531385956;1.0561284019284365;0.3351531111657445;4.0;7.0;3.0;0.3;0.7319444444444444;3.0;13.0;-1.1955079713727335;-0.8083502044096247;True;0.3094300111356961
extra_trees__all_operational;extra_trees;all_operational;raw;108;2.2563260778150758;2.9761928445565013;0.10673810356360502;0.6535717487927657;5.215277777777778;4.901434221728103;3.1511818531385956;1.020459008450938;0.3238337411198769;3.63400660098111;6.599755109296306;2.965748508315196;0.29657485083151963;0.7125;2.976397869642991;13.249448979591847;-0.487718897697631;-1.3592781761194828;True;0.3070263812949765
xgb_poisson__official_plus_forecast;xgb_poisson;official_plus_forecast;round;70;2.2291666666666665;2.9713913688147287;0.1096179677796183;0.6473786681354152;5.215277777777778;5.008333333333334;3.1511818531385956;1.008965374314041;0.3201863368529828;4.0;7.0;3.0;0.3;0.7138888888888889;3.0;12.0;-1.6855488493820459;-1.5184147165673068;True;0.3063060738060645
xgb_poisson__official_plus_forecast;xgb_poisson;official_plus_forecast;raw;70;2.2422715054617988;2.9604132687912537;0.11618502340649217;0.6536229842066836;5.215277777777778;4.997426372104221;3.1511818531385956;0.9690638472239292;0.307523936220544;3.74249107837677;6.73690502643585;2.99441394805908;0.299441394805908;0.7194444444444444;3.3235483169555664;11.753573417663574;-1.1075772455417021;-1.8822646977776802;True;0.29930137059242373
xgb_poisson__official_50;xgb_poisson;official_50;round;50;2.238888888888889;3.03589635308366;0.07054032313757219;0.6434591589706804;5.215277777777778;5.0125;3.1511818531385956;0.9845026560822989;0.3124233071797264;4.0;7.0;3.0;0.3;0.7319444444444444;3.0;10.0;-1.2567630811238906;0.6194905005503015;True;0.299201599341988
official_temporal;official_xgb;official_50;raw;50;2.2673845407035618;3.017205054389593;0.08195001983697014;0.652534231660924;5.215277777777778;5.0294021642870375;3.1511818531385956;0.9538906849102964;0.302708865868917;3.770619547367096;6.654313540458678;2.883693993091582;0.28836939930915817;0.7388888888888889;2.857672691345215;10.50148868560791;0.0;0.0;True;0.28937050162144023
xgb_poisson__all_operational;xgb_poisson;all_operational;raw;108;2.2390999717844857;2.96292174653848;0.11468660457797586;0.6527327688898567;5.215277777777778;4.902577312456237;3.1511818531385956;0.9066586878421393;0.2877202047032297;3.7209147930145265;6.489946675300597;2.769031882286071;0.2769031882286071;0.7375;3.164128541946411;11.468465805053711;-1.2474535488496974;-1.7991255772337622;True;0.2788902079964658
rf_absolute__official_plus_forecast;rf_absolute;official_plus_forecast;raw;70;2.2286435185185183;3.026698176536909;0.07616395569721823;0.6613403184280975;5.215277777777778;4.643189814814814;3.1511818531385956;0.8476209095973352;0.26898508213770644;3.5761666666666665;6.015666666666665;2.439499999999999;0.2439499999999999;0.7291666666666666;3.12;10.388333333333334;-1.7086216073883165;0.3146329790713054;True;0.26059245362863453
rf_absolute__all_operational;rf_absolute;all_operational;raw;108;2.226627314814815;3.004755680814813;0.08951037314209509;0.6633577128511227;5.215277777777778;4.655664351851852;3.1511818531385956;0.8142784865825793;0.2584041558158737;3.6246666666666667;5.940166666666667;2.3155000000000006;0.23155000000000006;0.7486111111111111;3.205;10.898333333333333;-1.7975436083770835;-0.4126127774003341;True;0.247602147894921
rf_absolute__weather_calendar;rf_absolute;weather_calendar;isotonic;90;2.5977976768500026;3.5060937386044784;-0.23966322741352486;0.6106428763561375;5.215277777777778;5.8399643435359545;3.1511818531385956;2.3808565464167724;0.7555440013864719;3.8251666666666666;10.292571428571403;6.467404761904737;0.6467404761904737;0.7263888888888889;3.223333333333333;23.0;14.572434900871055;16.203362893868412;False;0.6210761895128004
rf_absolute__all_operational;rf_absolute;all_operational;isotonic;108;2.546960584037201;3.4289539768220005;-0.18571410066942717;0.6259046252769914;5.215277777777778;5.843019484560536;3.1511818531385956;2.3589358596330077;0.7485876631599327;4.0729999999999995;10.3;6.227000000000001;0.6227000000000001;0.7236111111111111;3.4066666666666667;20.81387478849408;12.330332077102724;13.646700009115165;False;0.6100872261997475
extra_trees__all_operational;extra_trees;all_operational;isotonic;108;2.4874820502919635;3.25320904770456;-0.06728551515004444;0.6328342150094145;5.215277777777778;5.69696125985874;3.1511818531385956;1.949428105863352;0.6186339591673233;4.111111111111112;9.655425040556757;5.544313929445646;0.5544313929445646;0.6916666666666667;3.256224479510973;17.711216174033645;9.707109916172673;7.821940804839089;False;0.5341029358225597
rf_absolute__official_plus_forecast;rf_absolute;official_plus_forecast;spread;70;2.3785325167181073;3.0951826935495452;0.033884056444910216;0.6528160264374735;5.215277777777778;5.583868904320988;3.1511818531385956;1.7318637228811131;0.5495918051051756;3.4896850694444446;8.486311574074074;4.99662650462963;0.499662650462963;0.5041666666666667;2.683701388888888;17.711916666666674;4.902034657961307;2.5844328693042096;False;0.5213649066260326
xgb_poisson__all_operational;xgb_poisson;all_operational;isotonic;108;2.375501236319542;3.124187787235372;0.015692185224751576;0.5960728055231775;5.215277777777778;5.495124590065744;3.1511818531385956;1.8700813473272673;0.5934539593342274;4.2084331750869755;9.898010826110834;5.689577651023859;0.5689577651023858;0.8347222222222223;3.192499876022339;23.0;4.768344040240824;3.5457561192314246;False;0.49924505504179295
extra_trees__official_plus_forecast;extra_trees;official_plus_forecast;isotonic;70;2.51425097838744;3.272596426263152;-0.08004431682466495;0.6144471058395563;5.215277777777778;5.726935135661271;3.1511818531385956;1.7771981145065032;0.5639782777805742;4.078735533910921;9.527664001221735;5.4489284673108145;0.5448928467310814;0.7333333333333333;2.9699172804903955;20.2997962801678;10.887718128627455;8.464501658646029;False;0.4978360546904702
extra_trees__official_50;extra_trees;official_50;isotonic;50;2.596908662710149;3.5643236551327786;-0.28118232375631425;0.6110655685209615;5.215277777777778;5.799783782383697;3.1511818531385956;2.151553637976508;0.6827767289385561;3.9847018777367587;8.0;4.015298122263241;0.4015298122263241;0.7625;2.916116750996628;22.623817866765776;14.53322610660197;18.133291933447083;False;0.4952849623015637
rf_absolute__official_50;rf_absolute;official_50;isotonic;50;2.5213355546956295;3.4191574084446703;-0.17894857630996075;0.6170857296563385;5.215277777777778;5.671299324636216;3.1511818531385956;2.0435460980130946;0.6485014807944869;3.7575833333333333;7.846370335189894;4.088787001856561;0.4088787001856561;0.7069444444444445;3.0;23.0;11.200174008122477;13.322009833912185;False;0.49354432253360986
rf_absolute__official_plus_forecast;rf_absolute;official_plus_forecast;isotonic;70;2.427916434231921;3.2347717025604865;-0.055222257303657596;0.643042871232596;5.215277777777778;5.629319494351005;3.1511818531385956;1.804861219238083;0.5727569221181034;3.944;8.75;4.806;0.4806;0.6666666666666666;2.0;23.0;7.080047104782072;7.2108671518485545;False;0.4926172816198132
xgb_absolute__official_50;xgb_absolute;official_50;isotonic;50;2.5588368601269194;3.6211443882065733;-0.32235589778814755;0.6029831819753814;5.215277777777778;5.62121217250824;3.1511818531385956;2.2047062601133622;0.6996442486863974;3.8126304149627686;7.333333492279053;3.520703077316284;0.3520703077316284;0.7277777777777777;2.5404226779937744;23.0;12.854119545726505;20.01651604481891;False;0.4925089640593932
rf_absolute__all_operational;rf_absolute;all_operational;spread;108;2.3481183333333333;3.0388687614971985;0.06871938729442295;0.6550511713696507;5.215277777777778;5.557539081790124;3.1511818531385956;1.6336111188749431;0.5184122005678146;3.5279993055555545;8.290194444444445;4.762195138888891;0.47621951388888906;0.5430555555555555;3.0614027777777775;17.629926388888894;3.560657276278345;0.7180057940075368;False;0.4913512090055166
rf_absolute__official_plus_forecast;rf_absolute;official_plus_forecast;affine;70;2.387629609118247;3.0967615629596192;0.03289816313204441;0.6468471007160148;5.215277777777778;5.616235424834259;3.1511818531385956;1.585101715900902;0.5030181658104343;3.7509447368362423;8.548838079715768;4.797893342879526;0.47978933428795256;0.5680555555555555;3.1603829496256894;15.33864330852341;5.303249901199969;2.636761742602922;False;0.4806733305043677
hist_poisson__official_plus_forecast;hist_poisson;official_plus_forecast;spread;70;2.4430003102741744;3.1930641947642315;-0.028186677195538135;0.6237399290389516;5.215277777777778;5.580890538716026;3.1511818531385956;1.547149087488032;0.4909742311276204;3.4479709161969496;8.360598489447549;4.9126275732505995;0.49126275732506;0.575;1.9176102404735293;14.824694891260737;7.745301532139748;5.828544537229563;False;0.4778803690712002
extra_trees__all_operational;extra_trees;all_operational;spread;108;2.407320177755587;3.084851608234783;0.04032268699674002;0.6519834509613045;5.215277777777778;5.639300981774078;3.1511818531385956;1.553799377654411;0.4930846425466743;3.8564068049041564;8.875381230277236;5.01897442537308;0.501897442537308;0.5986111111111111;3.1391538841031874;15.428693585161081;6.171676420118999;2.2420270623229266;False;0.477829971811839
hist_absolute__all_operational;hist_absolute;all_operational;isotonic;108;2.4138109901219074;3.328356569181905;-0.11716254104250057;0.6418900744194387;5.215277777777778;5.501928736785799;3.1511818531385956;1.952274743988087;0.6195373148787366;3.833204115159592;8.2;4.366795884840407;0.4366795884840407;0.7916666666666666;2.4877540572256938;23.0;6.457945125307685;10.312574358830261;False;0.4732963143315124
hist_poisson__official_plus_forecast;hist_poisson;official_plus_forecast;isotonic;70;2.443729195818001;3.256481860686364;-0.06943402935587062;0.5985641275249453;5.215277777777778;5.508056081006702;3.1511818531385956;1.7679465434322983;0.561042372616932;3.495401727129035;8.144290821220544;4.648889094091508;0.46488890940915084;0.7125;1.9176102404735293;23.0;7.777448066207615;7.930412483853488;False;0.4726801859708222
gradient_huber__all_operational;gradient_huber;all_operational;spread;108;2.3221081403819244;2.9901620554797934;0.09833310525318006;0.6630759180745731;5.215277777777778;5.423332555799307;3.1511818531385956;1.567463257377013;0.4974207552686337;3.5148827773536513;8.075663579324054;4.560780801970402;0.4560780801970402;0.5625;2.206802576965659;18.82480705139391;2.413512075079338;-0.8962930401583358;False;0.47096666793984926
rf_absolute__all_operational;rf_absolute;all_operational;affine;108;2.367564281072154;3.0566252470875335;0.05780441608756515;0.6501709981939516;5.215277777777778;5.599597173632552;3.1511818531385956;1.5564695194981781;0.493931988707007;3.732559837575087;8.35545535473442;4.622895517159334;0.4622895517159334;0.5666666666666667;3.387190232692756;16.28602321390425;4.418295113607296;1.3065135444006337;False;0.4707374046853965
extra_trees__weather_calendar;extra_trees;weather_calendar;isotonic;90;2.473743144010617;3.2865973929127708;-0.0893054719276436;0.6272303416121223;5.215277777777778;5.649245417061154;3.1511818531385956;1.789628739953725;0.5679230280446189;4.140334497956999;9.11111111111111;4.970776613154111;0.49707766131541115;0.8166666666666667;2.9055632678595114;20.4876963304133;9.101173603442803;8.928539282779324;False;0.4662092107471391
gradient_huber__official_plus_forecast;gradient_huber;official_plus_forecast;spread;70;2.362887081600078;3.0522141298405465;0.06052188121740809;0.6625763727888716;5.215277777777778;5.4346384892610775;3.1511818531385956;1.4993546945931724;0.4758070985651959;3.4666189907376332;8.06821589523068;4.6015969044930465;0.46015969044930466;0.55;2.454199026052128;12.859676659242183;4.212013409374404;1.1603147555390825;False;0.4651690860115948
xgb_poisson__weather_calendar;xgb_poisson;weather_calendar;isotonic;90;2.3963163177172344;3.152464290777499;-0.0022060592212254093;0.6095541238103777;5.215277777777778;5.519407846530279;3.1511818531385956;1.6412505825948605;0.5208365175625028;4.101984930038452;9.423076629638672;5.3210916996002195;0.532109169960022;0.7777777777777778;3.0744705200195312;23.0;5.686365708997276;4.482931519391564;False;0.4650590868335784
extra_trees__official_plus_forecast;extra_trees;official_plus_forecast;spread;70;2.456064179929935;3.1500929435542675;-0.0006988670811411968;0.6365744002254359;5.215277777777778;5.6801008528776356;3.1511818531385956;1.4967270479197985;0.47497323787551315;3.907993946052046;8.71622612482163;4.808232178769583;0.48082321787695836;0.6055555555555555;2.9699172804903955;12.81267961803718;8.321466246207464;4.404337350931531;False;0.46091497218980526
rf_absolute__official_50;rf_absolute;official_50;spread;50;2.4029789854038066;3.1302269813439465;0.011883085528273551;0.6352807060240038;5.215277777777778;5.579461500771605;3.1511818531385956;1.4512469089598872;0.46054051355825015;3.755499999999999;8.33974738888889;4.58424738888889;0.458424738888889;0.5472222222222223;3.1;12.810517129629634;5.980213866068351;3.745914676562112;False;0.45824744526787925
xgb_squared__official_plus_forecast;xgb_squared;official_plus_forecast;spread;70;2.355176347985312;3.0322844621167007;0.07275061597939503;0.6562487991699864;5.215277777777778;5.449292600491533;3.1511818531385956;1.4568615278841892;0.4623222637668932;3.556066350009706;8.112907873392105;4.556841523382399;0.4556841523382399;0.5569444444444445;2.109557776980929;14.615168062845868;3.8719416890135694;0.49978067301621465;False;0.45614558312459696
hist_poisson__official_50;hist_poisson;official_50;spread;50;2.437873622405935;3.219542309619204;-0.04530961681793011;0.6112897234568533;5.215277777777778;5.5071799482230315;3.1511818531385956;1.4428913153274896;0.4578889389993032;3.4955612533230016;8.185271663811244;4.689710410488242;0.46897104104882426;0.5708333333333333;2.0090859036608655;11.376529312413172;7.519195735958895;6.706115480458985;False;0.4560232202501082
gradient_huber__official_plus_forecast;gradient_huber;official_plus_forecast;isotonic;70;2.3698151394428204;3.12199955291166;0.017070554246881642;0.6285432490937736;5.215277777777778;5.437592392092749;3.1511818531385956;1.764404631880205;0.5599183779643969;4.0;8.35;4.35;0.43499999999999994;0.7416666666666667;2.6244585172200123;23.0;4.5175662487085155;3.4732309085060864;False;0.4558799367506452
xgb_poisson__official_50;xgb_poisson;official_50;spread;50;2.42704857615593;3.169210836989642;-0.012882195239460215;0.6389312292656683;5.215277777777778;5.5711560868940975;3.1511818531385956;1.529308328900671;0.48531262243004825;3.9018261671066283;8.584988828897478;4.683162661790849;0.4683162661790849;0.6458333333333334;3.278984308242798;13.611694272359216;7.041771370762939;5.037966590268805;False;0.4531347065895347
xgb_absolute__official_plus_forecast;xgb_absolute;official_plus_forecast;isotonic;70;2.33714903526836;3.0861607956782438;0.03950795471765811;0.6381178670697185;5.215277777777778;5.461156400044759;3.1511818531385956;1.7240888556119827;0.5471245189784207;3.948435664176941;8.470588684082031;4.52215301990509;0.452215301990509;0.7569444444444444;2.0914318561553955;23.0;3.0768708753368568;2.285417797120881;False;0.4530925003480786
xgb_absolute__all_operational;xgb_absolute;all_operational;isotonic;108;2.354315976301829;3.171625690790022;-0.014426361546660438;0.637727197038593;5.215277777777778;5.404680238167445;3.1511818531385956;1.8916099480596724;0.6002858724816589;3.8745822310447693;7.767389822006224;3.8928075909614543;0.38928075909614546;0.7708333333333334;2.7317895889282227;23.0;3.8339961324466154;5.118002708359826;False;0.45221024163373075
xgb_squared__all_operational;xgb_squared;all_operational;spread;108;2.3389293548336;2.9792131046264525;0.10492420756047627;0.6537510727414789;5.215277777777778;5.4599145728404865;3.1511818531385956;1.475578928032079;0.4682620669963537;3.683255822526084;8.192849683761597;4.509593861235514;0.45095938612355135;0.5916666666666667;2.354330539703369;16.21713576846653;3.1553895179967206;-1.2591769229561511;False;0.45022038195826874
official_temporal;official_xgb;official_50;spread;50;2.3977580154475606;3.113888359090114;0.0221713713542665;0.652534231660924;5.215277777777778;5.514494218301994;3.1511818531385956;1.479174347564031;0.46940304193830157;3.798305938045184;8.284562290906898;4.486256352861714;0.4486256352861714;0.5958333333333333;2.857672691345215;13.045303588443335;5.7499498829406415;3.2043995339282816;False;0.44908367455572895
poisson_glm__official_plus_forecast;poisson_glm;official_plus_forecast;spread;70;2.3822207704556466;3.007483857131146;0.08785625935260433;0.6457583481702553;5.215277777777778;5.499717781986248;3.1511818531385956;1.4619558556623191;0.4639389041309065;3.707127502206343;8.052215464733251;4.345087962526908;0.43450879625269084;0.5625;2.9019831312881434;18.580303359303972;5.064700216949158;-0.32219213090286525;False;0.44835058554734974
poisson_glm__all_operational;poisson_glm;all_operational;spread;108;2.3313638008731945;3.0619767425955517;0.054502363075741966;0.6375222553829207;5.215277777777778;5.363518275892489;3.1511818531385956;1.8854929961166211;0.5983447112830569;3.7690219474223174;6.990736813365215;3.221714865942898;0.3221714865942898;0.6736111111111112;2.942895189240753;47.22615203379019;2.821720754512169;1.483879530853316;False;0.4472929181631548
xgb_squared__official_50;xgb_squared;official_50;spread;50;2.38224167217443;3.103149686964246;0.028904094869552477;0.6511764931920943;5.215277777777778;5.488595157983126;3.1511818531385956;1.4408506418151898;0.4572413491084604;3.6859206655290393;8.164589589304397;4.478668923775357;0.44786689237753574;0.5833333333333334;2.565195828013949;13.793776040607032;5.065622059645358;2.848484972859766;False;0.445845352764278
rf_absolute__weather_calendar;rf_absolute;weather_calendar;spread;90;2.4233948775077163;3.140665314493687;0.005281972519031952;0.624489246967504;5.215277777777778;5.579211197916667;3.1511818531385956;1.4819733318558248;0.4702912751226245;3.8251666666666666;8.206827604166667;4.381660937500001;0.43816609375000015;0.5958333333333333;3.223333333333333;15.093044270833339;6.8806298183432535;4.091875026010494;False;0.4458225399510144
