candidate;family;mae;rmse;r2;high_auc;actual_mean;prediction_mean;actual_std;prediction_std;std_ratio;p05;p95;p05_p95_width;width_ratio;boring_4_5_share;min_prediction;max_prediction;confirm_mae;confirm_rmse;confirm_r2;confirm_high_auc;confirm_actual_mean;confirm_prediction_mean;confirm_actual_std;confirm_prediction_std;confirm_std_ratio;confirm_p05;confirm_p95;confirm_p05_p95_width;confirm_width_ratio;confirm_boring_4_5_share;confirm_min_prediction;confirm_max_prediction
active_d3_flexible;xgb;2.253912643591563;2.9257910225937107;0.13673669936491994;0.6582661935930114;5.215277777777778;5.038401081826952;3.1511818531385956;1.2414407265881546;0.39396035660451406;3.5050631523132325;7.272517228126525;3.767454075813293;0.3767454075813293;0.6333333333333333;1.893822431564331;13.270957946777344;2.1018338988224667;2.614811971352091;0.004194559622362259;0.6786737884314747;4.725;4.987145965298017;2.6257893812103412;1.2024969736577913;0.4579563700967927;3.5334362506866457;7.0600389957427945;3.526602745056149;0.3918447494506832;0.6416666666666667;2.9327592849731445;10.213774681091309
xgb_half_life_180;xgb;2.3146195398436653;3.002847593248475;0.09066636884382706;0.6012732000358647;5.215277777777778;5.131802613867654;3.1511818531385956;1.1561175826723902;0.36688380314226876;3.5559392094612123;7.0384691715240475;3.482529962062835;0.3482529962062835;0.6875;2.527829647064209;15.409439086914062;2.1615581035614015;2.6307864135088317;-0.008009780526527788;0.6306670140698281;4.725;5.257887617746989;2.6257893812103412;1.0913567740478887;0.41562997468777735;3.9356638669967654;7.206697607040405;3.2710337400436393;0.3634481933381821;0.7;2.791794776916504;10.195530891418457
xgb_half_life_365;xgb;2.271746129128668;2.9887545808644203;0.09918173791242202;0.6225615145188353;5.215277777777778;5.011393077837097;3.1511818531385956;1.1078107552093999;0.3515540539515401;3.5330585718154905;6.914282655715941;3.3812240839004506;0.33812240839004504;0.6819444444444445;2.4890198707580566;15.523765563964844;2.101874812444051;2.6079288196073946;0.009430315408977319;0.6401771756122981;4.725;4.994182902574539;2.6257893812103412;1.0141474774011658;0.3862257516380468;3.667039322853088;6.848270177841186;3.1812308549880974;0.3534700949986775;0.6875;2.6349029541015625;9.763647079467773
xgb_half_life_540;xgb;2.2751263234350416;2.965570314306306;0.11310312668491784;0.6376375350642364;5.215277777777778;5.009144839313295;3.1511818531385956;1.1593985087062613;0.36792497632324633;3.4868679881095885;7.051002645492551;3.564134657382963;0.3564134657382963;0.6847222222222222;2.275928258895874;16.254987716674805;2.1065672586361566;2.6083116391969257;0.009139481311504771;0.6547681083897863;4.725;4.953910157084465;2.6257893812103412;1.046407400483194;0.39851155160085955;3.575578272342682;6.978290867805479;3.4027125954627975;0.37807917727364415;0.6791666666666667;2.7973358631134033;9.326613426208496
xgb_half_life_730;xgb;2.2680764221482805;2.943852618476728;0.126045546765173;0.6344609394013142;5.215277777777778;5.006394538945622;3.1511818531385956;1.2028343433791222;0.3817089585550552;3.479811894893646;6.979411435127258;3.4995995402336115;0.34995995402336116;0.6625;2.4388177394866943;15.864487648010254;2.109203412135442;2.618884368197326;0.0010903418653435137;0.6486451276706618;4.725;4.955217162768046;2.6257893812103412;1.045129415567571;0.3980248465647405;3.5329381942749025;6.928536415100097;3.3955982208251942;0.37728869120279934;0.6791666666666667;3.0772202014923096;8.84390640258789
xgb_half_life_1095;xgb;2.2552458504835764;2.9369238014502788;0.1301546819916135;0.6474234991225936;5.215277777777778;5.0054241498311365;3.1511818531385956;1.205530840177544;0.38256466822973995;3.492209589481354;7.002885103225705;3.5106755137443515;0.3510675513744351;0.6555555555555556;2.4369635581970215;13.920903205871582;2.1149368862311047;2.6285259454851686;-0.006278286895826657;0.6588066701406983;4.725;4.960276661316554;2.6257893812103412;1.141831528533814;0.4348526720020072;3.5295039892196653;6.878028106689452;3.348524117469787;0.3720582352744208;0.6625;3.0624053478240967;10.810844421386719
xgb_window_730;xgb;2.2947734428776636;2.9836507935484495;0.1022557000807417;0.6227280296140693;5.215277777777778;5.087197112374835;3.1511818531385956;1.2459017033458846;0.39537600856166366;3.4897136449813844;7.303185367584228;3.8134717226028436;0.38134717226028436;0.675;1.9114339351654053;14.747357368469238;2.1380869348843894;2.629655341006086;-0.007143205386194396;0.6529442417926004;4.725;5.170414529244105;2.6257893812103412;1.1124853081842832;0.4236765203428045;3.808820641040802;6.83961863517761;3.0307979941368077;0.3367553326818675;0.7083333333333334;3.2154712677001953;11.190982818603516
xgb_window_1095;xgb;2.246176251106792;2.9171930299423408;0.1418029706688777;0.651804127012591;5.215277777777778;4.998507915271653;3.1511818531385956;1.2229003447419602;0.38807672858484643;3.4832011699676513;7.139962768554685;3.656761598587034;0.3656761598587034;0.6708333333333333;1.893822431564331;14.82701301574707;2.0986143400271735;2.614501135383106;0.004431298443006493;0.6655810317873891;4.725;4.855976989865303;2.6257893812103412;1.0920131015369774;0.4158799290419938;3.4342908382415773;6.663519310951233;3.2292284727096554;0.3588031636344062;0.7166666666666667;2.7085683345794678;9.884578704833984
xgb_d2_long_flexible;xgb;2.2448996447854572;2.9170441677771475;0.14189055473141066;0.6540072498110693;5.215277777777778;4.9810965402258764;3.1511818531385956;1.1980800257411421;0.38020021743519733;3.3942230463027956;7.155799651145931;3.7615766048431354;0.37615766048431354;0.6583333333333333;2.40927791595459;14.19432258605957;2.0944588512182234;2.60567919616379;0.011138527416338806;0.6650599270453361;4.725;4.924629146854083;2.6257893812103412;1.125354674777462;0.42857766233281697;3.4633931517601013;6.793148589134214;3.3297554373741125;0.36997282637490136;0.6291666666666667;2.9628214836120605;10.20828914642334
xgb_d3_slow;xgb;2.2681501812405056;2.9445291649175664;0.1256438019814683;0.6501774026206913;5.215277777777778;5.014836878246731;3.1511818531385956;1.2022815864891698;0.3815335459905909;3.51720507144928;7.111612510681148;3.594407439231868;0.3594407439231868;0.6458333333333334;2.286372423171997;13.25415325164795;2.105453286568324;2.619074253734867;0.000945482186822777;0.6608910891089108;4.725;4.973022826512655;2.6257893812103412;1.1494361552796852;0.4377488017526599;3.5621493339538572;7.068632388114929;3.5064830541610714;0.38960922824011907;0.6541666666666667;3.0058813095092773;9.643818855285645
xgb_high_weight_025;xgb;2.2769879904058246;2.952885334718722;0.12067415451535823;0.6523805254191697;5.215277777777778;5.117778986030155;3.1511818531385956;1.247763721781766;0.395966903826571;3.533274531364441;7.322183012962341;3.7889084815979004;0.37889084815979;0.6277777777777778;2.028970956802368;13.57741641998291;2.164553815126419;2.695320697239467;-0.05807013904917757;0.6524231370505472;4.725;5.105738999446233;2.6257893812103412;1.2383448953093719;0.47160861574455926;3.60095990896225;7.200172352790831;3.5992124438285806;0.39991249375873117;0.6166666666666667;2.874969720840454;10.447023391723633
xgb_high_weight_050;xgb;2.2847676071855756;2.9623712549701695;0.11501554494646904;0.6486275313496689;5.215277777777778;5.210563224554062;3.1511818531385956;1.239863080934435;0.39345970455482415;3.603356432914734;7.41844117641449;3.8150847434997557;0.3815084743499756;0.6166666666666667;2.1814000606536865;14.148348808288574;2.143766310811043;2.664139861947567;-0.03373115815415262;0.6664929650859822;4.725;5.193922679622968;2.6257893812103412;1.2251560508105823;0.46658580447372144;3.6785685777664185;7.545630860328672;3.867062282562254;0.42967358695136154;0.6333333333333333;2.76922869682312;10.209224700927734
xgb_residual_mean7;xgb;2.288408972592175;2.938367691056312;0.1292991818598408;0.6602451614555982;5.215277777777778;5.075898254449324;3.1511818531385956;1.3524110293629101;0.42917581161363344;3.4116490304470064;7.549133108343396;4.1374840778963895;0.41374840778963895;0.6555555555555556;2.4946956762245724;13.459556238991874;2.147676200855945;2.640802588098026;-0.0156999691921329;0.6533350703491402;4.725;4.964151092066008;2.6257893812103412;1.1630910134774113;0.44294908868177835;3.5395408072641916;6.898758002689905;3.3592171954257135;0.3732463550473015;0.6583333333333333;2.754186745200838;10.58415583201817
xgb_residual_mean14;xgb;2.2750570009436206;2.9436143573782387;0.12618700827735319;0.6461554226281205;5.215277777777778;5.095128394187463;3.1511818531385956;1.2948026328672646;0.4108942908444442;3.5052215109978406;7.439031722715923;3.933810211718082;0.3933810211718082;0.6486111111111111;2.2277166162218363;13.006299563816615;2.1422691099369247;2.6304969906172966;-0.007788002691505369;0.620244919228765;4.725;4.894126088728911;2.6257893812103412;1.1224945020901829;0.4274884002968951;3.442383584167276;6.841537960938043;3.399154376770767;0.3776838196411963;0.65;3.0446708372661044;9.698955740247454
xgb_residual_mean30;xgb;2.2642362257898183;2.9411694842678546;0.12763792842540989;0.6559413866864777;5.215277777777778;5.17759039928132;3.1511818531385956;1.3200023298328656;0.41889119427307425;3.4285191648205124;7.692345822652181;4.263826657831668;0.4263826657831668;0.6236111111111111;2.520637051264445;13.798198000590006;2.117596822433665;2.6555843537370243;-0.027102456142909404;0.633793642522147;4.725;4.998712769816501;2.6257893812103412;1.1760489841155974;0.44788397444638345;3.503373399575551;7.009034938414891;3.50566153883934;0.3895179487599267;0.6583333333333333;2.8427856524785358;10.313183720906576
xgb_pseudohuber;xgb;2.3684293400910166;3.119827001672337;0.018438089078938957;0.6060509023837277;5.215277777777778;4.683454750809404;3.1511818531385956;1.249741730409332;0.3965946075643276;2.951950693130493;6.8866211652755736;3.9346704721450805;0.39346704721450804;0.5708333333333333;1.1467314958572388;10.504524230957031;2.2048155903816222;2.711880602013834;-0.07111153072120646;0.5952318916102136;4.725;4.679581876595815;2.6257893812103412;1.2084803056110232;0.4602350494135907;3.0242171049118043;6.405815935134885;3.3815988302230804;0.37573320335812005;0.6416666666666667;1.5159902572631836;10.504524230957031
cat_rmse_d4;cat;2.256630051827098;2.944345842229618;0.12575267123000478;0.6534692779649294;5.215277777777778;4.967766489010539;3.1511818531385956;1.1244165671577318;0.3568237631343955;3.484968015138615;6.902837167106109;3.417869151967494;0.3417869151967494;0.6666666666666666;2.1697237489514127;13.557545430213965;2.1122242894264134;2.6143056599737653;0.00458016196558686;0.6675351745700886;4.725;4.930075347866409;2.6257893812103412;1.0724476049980927;0.40842864727549266;3.559054086150434;6.964138955291795;3.405084869141361;0.37834276323792904;0.6458333333333334;3.040240879013904;8.444652223006518
cat_rmse_d5;cat;2.264727576287911;2.985751040210487;0.10099137780352163;0.661730988459223;5.215277777777778;4.948754412812336;3.1511818531385956;1.0456342905232094;0.3318228966956482;3.5578366739317233;6.663386870245446;3.105550196313723;0.31055501963137233;0.6722222222222223;2.7344597002514783;11.381407300176821;2.1249314806163415;2.6257053115862483;-0.004119799733068641;0.6737884314747264;4.725;4.980638927821036;2.6257893812103412;1.1128918193123172;0.4238313351695164;3.536974091599758;6.9584307663152645;3.4214566747155066;0.38016185274616743;0.6166666666666667;2.9608850815164542;8.716991453495258
cat_rmse_d6;cat;2.2421811023619833;2.9775862299997664;0.10590149817626748;0.65992494011861;5.215277777777778;4.907085705110138;3.1511818531385956;1.008160874429986;0.31993103585115273;3.5751090223349173;6.679164611830005;3.104055589495088;0.31040555894950883;0.6930555555555555;2.664021934737414;11.398527515235319;2.08385969735573;2.572890781772934;0.03586851110009193;0.6717040125065138;4.725;4.931164605486375;2.6257893812103412;1.0440137847898177;0.3975999721305088;3.611461357629704;6.795969145303216;3.184507787673512;0.35383419863039023;0.6416666666666667;3.1723841764219403;8.579094992828047
cat_rmse_d4_hl365;cat;2.2854909723471546;2.9546357838111885;0.11963132950084654;0.6402121146136209;5.215277777777778;5.068070752356964;3.1511818531385956;1.1319717259996227;0.3592213267133956;3.640781284538112;7.002349866726073;3.361568582187961;0.3361568582187961;0.6861111111111111;2.3607645332348475;13.931671803081409;2.1286642164680045;2.620458685931611;-0.0001109894237110165;0.6410891089108911;4.725;5.04701889230468;2.6257893812103412;1.0645399925880756;0.40541712911390576;3.7523841785560927;7.163450453801777;3.411066275245684;0.3790073639161871;0.6916666666666667;3.0368611248802697;9.895376965262308
cat_rmse_d5_hl730;cat;2.253876921735809;2.96956863255029;0.11071000423100896;0.6534948956718885;5.215277777777778;4.97648795981418;3.1511818531385956;1.0496696657662639;0.3331034877345421;3.6295098653733318;6.822764034423495;3.1932541690501637;0.31932541690501637;0.6847222222222222;2.431976288982141;11.572388431279187;2.097039123468504;2.592583806671239;0.021053014104837287;0.6615424700364774;4.725;4.977353561279559;2.6257893812103412;1.058578705768525;0.4031468454185688;3.648346108669917;6.9579159554935615;3.3095698468236443;0.36772998298040493;0.6416666666666667;3.237759928220492;9.337766037017015
cat_poisson_d4;cat;2.2549975078823556;3.0607204687845946;0.05527804516098522;0.6533924248440521;5.215277777777778;4.708253965197702;3.1511818531385956;0.9567652010625441;0.30362106842853276;3.4049155124038233;6.411201503291221;3.006285990887398;0.3006285990887398;0.675;2.6408276929031747;9.398098270125953;2.0526621540432686;2.5634545819717696;0.04292753920581682;0.6847316310578425;4.725;4.782429768676024;2.6257893812103412;0.9970949899503209;0.3797315188664203;3.5281376222160064;6.787985598556093;3.2598479763400863;0.36220533070445404;0.6708333333333333;2.8273269211391665;8.073870996249608
cat_poisson_d5;cat;2.2938278003873647;3.1493548657912664;-0.0002299875484037539;0.6117124156216777;5.215277777777778;4.568312666042008;3.1511818531385956;0.9425612855296776;0.2991135800654859;3.2608077266231263;6.141309851499495;2.8805021248763683;0.28805021248763685;0.65;2.1701492540041407;9.55819890801252;2.0577463894757235;2.57182448689886;0.036667484334726885;0.6788692027097446;4.725;4.703573327522076;2.6257893812103412;0.9694221202763769;0.36919264249196093;3.412854242748393;6.351405082919092;2.9385508401706986;0.3265056489078554;0.625;2.773433821632733;8.247807198832946
hist_squared_leaf7;hist;2.290255451656852;3.009037739035457;0.08691345807689344;0.6462322757489978;5.215277777777778;4.941017021724137;3.1511818531385956;1.2875586809917163;0.4085954860743122;3.2219222550271853;7.229619793267583;4.007697538240397;0.40076975382403973;0.6027777777777777;2.1677506213787945;13.262183504462389;2.139896540079793;2.6786088889070383;-0.04499010172990969;0.6391349661281918;4.725;4.929053411804813;2.6257893812103412;1.311773303434556;0.4995729333134489;3.329689748069364;7.520824515576526;4.191134767507162;0.4656816408341291;0.625;2.732767219530107;12.92972831866758
hist_squared_leaf15;hist;2.359989546640417;3.0687859604345165;0.05029249576830741;0.6275569673758501;5.215277777777778;5.030680257999473;3.1511818531385956;1.4333767368073103;0.45486957072301576;3.10494150259055;7.448267075441159;4.343325572850609;0.43433255728506087;0.5416666666666666;1.4794684549013024;14.350772955640707;2.2255264939750976;2.7932721262247653;-0.1363707868280566;0.604872329338197;4.725;5.110936692346875;2.6257893812103412;1.452120867296363;0.5530225987230617;3.3095057902537897;7.748052344788337;4.438546554534547;0.4931718393927274;0.5666666666666667;2.380045798892229;14.020049591464836
rf_poisson;rf;2.2388909724666406;2.967459931296224;0.11197253179073585;0.6490374146610137;5.215277777777778;4.96831930684491;3.1511818531385956;0.9872505705435317;0.31329533379999136;3.7167254622351655;6.604012948085789;2.887287485850624;0.28872874858506237;0.7083333333333334;3.050633331614087;11.753309058115958;2.094393436372808;2.5898393671625093;0.023124491034299588;0.6507295466388744;4.725;4.938460722300225;2.6257893812103412;1.011223019436565;0.3851120073348945;3.691948345218932;6.681431909387281;2.989483564168349;0.33216484046314987;0.6333333333333333;3.164557179729736;8.232652559687086
