fold,task,model,mae,rmse,r2,poisson_deviance,mase_vs_train_mean,average_precision,brier,log_loss,ece_10,accuracy,precision,recall,f1,alert_rate,roc_auc
1,count,gradient_boosting_absolute,2.8721865875775316,3.948192438782425,-0.2595110133455245,2.244022493642594,1.058680780984096,,,,,,,,,,
1,count,hist_gradient_boosting_poisson,3.242652992506915,4.443987198405524,-0.5956988899134434,3.2428242033765597,1.1952337697750524,,,,,,,,,,
1,count,poisson_regressor,2.736189710408847,3.7517811193402886,-0.13731385928839002,1.9433593140510164,1.0085526727493956,,,,,,,,,,
1,count,tweedie_regressor,2.716412131640129,3.7366850329537447,-0.12817982604280176,1.9273790691281165,1.001262706760626,,,,,,,,,,
1,count,negative_binomial,2.765954417591422,3.789182478585853,-0.16010256051103955,1.9606517305505773,1.0195238692524713,,,,,,,,,,
1,classification,rf_raw,,,,,,0.36900435717629015,0.25011576648510425,0.6979542188659489,0.11306365560487217,0.5803921568627451,0.37254901960784315,0.20212765957446807,0.2620689655172414,0.2,0.5183692348354698
1,classification,rf_sigmoid,,,,,,0.36900435717629015,0.25134514108757966,0.7060367008254321,0.14205162076599148,0.6313725490196078,0.0,0.0,0.0,0.0,0.5183692348354698
1,classification,rf_isotonic,,,,,,0.3849016046944617,0.258632407260259,1.1133066210007798,0.13720912805494512,0.592156862745098,0.391304347826087,0.19148936170212766,0.2571428571428571,0.1803921568627451,0.5309898242368178
1,classification,negative_binomial_derived_risk,,,,,,0.4321084656801082,0.2420801665957848,0.6981362391276041,0.10525046277076482,0.615686274509804,0.42857142857142855,0.1276595744680851,0.19672131147540983,0.10980392156862745,0.5784326681643981
2,count,gradient_boosting_absolute,2.815172239818329,3.448798477922372,-0.4065628106835333,2.517164058966962,0.9432148545620525,,,,,,,,,,
2,count,hist_gradient_boosting_poisson,2.9590137182902976,3.6861905648970357,-0.6068637763925282,2.704833902268684,0.9914085022820526,,,,,,,,,,
2,count,poisson_regressor,3.140415912440816,3.789744136449826,-0.6984128756817543,2.87271998476279,1.05218675298829,,,,,,,,,,
2,count,tweedie_regressor,3.105781972817052,3.7415964410578226,-0.6555312456145139,2.832454226821672,1.0405827573737099,,,,,,,,,,
2,count,negative_binomial,3.1821911711846718,3.859636961124416,-0.7616369362641875,2.923428472033103,1.066183425747084,,,,,,,,,,
2,classification,rf_raw,,,,,,0.22173454355041533,0.18695054516753853,0.5610582421598567,0.28866195968103886,0.7607843137254902,0.25396825396825395,0.5333333333333333,0.34408602150537637,0.24705882352941178,0.6376296296296297
2,classification,rf_sigmoid,,,,,,0.22173454355041533,0.1476578974495175,0.48074081248152717,0.21431142257002295,0.8823529411764706,0.0,0.0,0.0,0.0,0.6376296296296297
2,classification,rf_isotonic,,,,,,0.16533825748337294,0.15130080877788635,0.48789780685401524,0.2167771043852503,0.8823529411764706,0.0,0.0,0.0,0.0,0.6238518518518518
2,classification,negative_binomial_derived_risk,,,,,,0.14209808603886417,0.173572723783085,0.5219739119657015,0.22816753596822847,0.7529411764705882,0.16326530612244897,0.26666666666666666,0.20253164556962025,0.19215686274509805,0.5958518518518517
3,count,gradient_boosting_absolute,2.5369676631948415,3.574493600184907,0.0889140794478489,2.105464354203535,0.9114178455841153,,,,,,,,,,
3,count,hist_gradient_boosting_poisson,2.5953700668003363,3.7250977399209946,0.010523162467412583,2.3982798215326415,0.9323991902197903,,,,,,,,,,
3,count,poisson_regressor,2.729690061538427,3.5422384480104143,0.10528262145750322,2.1717382697655174,0.980654294925734,,,,,,,,,,
3,count,tweedie_regressor,2.718752206685483,3.5534292825812783,0.09962041065465743,2.172585937271505,0.9767248179166229,,,,,,,,,,
3,count,negative_binomial,2.8009081508436178,3.568501672466393,0.09196602805512422,2.195531473128045,1.0062397363418112,,,,,,,,,,
3,classification,rf_raw,,,,,,0.3809513292977587,0.16675355743945589,0.5159588194478854,0.11487731240912358,0.792156862745098,0.5,0.03773584905660377,0.07017543859649122,0.01568627450980392,0.6536521576685971
3,classification,rf_sigmoid,,,,,,0.3809513292977587,0.16336403408668962,0.507524635318658,0.08308490363241208,0.792156862745098,0.0,0.0,0.0,0.0,0.6536521576685971
3,classification,rf_isotonic,,,,,,0.27058292112200466,0.16217185488744745,0.5034309184638575,0.28401553756804787,0.792156862745098,0.0,0.0,0.0,0.0,0.6140481972725574
3,classification,negative_binomial_derived_risk,,,,,,0.4092226117954916,0.1667491566190173,0.5258158473694472,0.13894185838235032,0.792156862745098,0.5,0.24528301886792453,0.3291139240506329,0.10196078431372549,0.5825705212030636
4,count,gradient_boosting_absolute,2.4809728449796,3.280142109269108,-0.06403048407579126,1.9077101914570218,1.0333268701402964,,,,,,,,,,
4,count,hist_gradient_boosting_poisson,2.566742320250461,3.339263556810438,-0.10273243052313741,2.077396012374773,1.0690499146768613,,,,,,,,,,
4,count,poisson_regressor,2.4642068677539446,3.1597824334361664,0.012622759993502819,1.710680179543994,1.0263438292712728,,,,,,,,,,
4,count,tweedie_regressor,2.445472207940875,3.133442253386417,0.02901584641190247,1.6867761416254214,1.0185408307713268,,,,,,,,,,
4,count,negative_binomial,2.4807892912466296,3.1913291476032017,-0.007191261285404371,1.7434364217560927,1.033250419886205,,,,,,,,,,
4,classification,rf_raw,,,,,,0.32849539694329444,0.1917587149240856,0.5712981987654893,0.1644669489679973,0.7607843137254902,0.42424242424242425,0.25,0.3146067415730337,0.12941176470588237,0.6104630294328787
4,classification,rf_sigmoid,,,,,,0.32849539694329444,0.16804200627258167,0.5172167153364579,0.09660459251008538,0.7803921568627451,0.0,0.0,0.0,0.0,0.6104630294328787
4,classification,rf_isotonic,,,,,,0.2997119159218439,0.16958636635075408,0.6533168685574907,0.06956165890299172,0.7803921568627451,0.0,0.0,0.0,0.0,0.6013101220387652
4,classification,negative_binomial_derived_risk,,,,,,0.2759873357185324,0.17398586152653892,0.5301927822675744,0.0804276707367905,0.7607843137254902,0.0,0.0,0.0,0.0196078431372549,0.5903625269203159
5,count,gradient_boosting_absolute,2.482094062601636,2.983644866909831,-0.012675359658802066,2.071385683795284,0.9369945850178734,,,,,,,,,,
5,count,hist_gradient_boosting_poisson,2.52827418461676,3.065352652295521,-0.06889950082373564,2.1135993378800975,0.954427656920991,,,,,,,,,,
5,count,poisson_regressor,2.5044796242013034,3.0150025274504553,-0.034073349312535806,2.106492558478413,0.9454451712859405,,,,,,,,,,
5,count,tweedie_regressor,2.5179809796855794,3.02824214574106,-0.04317503065534978,2.122091462806225,0.9505419551547629,,,,,,,,,,
5,count,negative_binomial,2.4745016733952734,2.9860219673124284,-0.014289620098872025,2.071275097563779,0.9341284456233602,,,,,,,,,,
5,classification,rf_raw,,,,,,0.23127395473275802,0.1748387433435436,0.5343901809645034,0.2022019330230292,0.7843137254901961,0.18181818181818182,0.0975609756097561,0.12698412698412698,0.08627450980392157,0.6128333713243674
5,classification,rf_sigmoid,,,,,,0.23127395473275802,0.13706345945817153,0.44771119939109894,0.0900514504006854,0.8392156862745098,0.0,0.0,0.0,0.0,0.6128333713243674
5,classification,rf_isotonic,,,,,,0.19396272886496838,0.13767935653575616,0.4487631006239326,0.065745466200166,0.8392156862745098,0.0,0.0,0.0,0.0,0.5866195577843628
5,classification,negative_binomial_derived_risk,,,,,,0.28084335682712763,0.13255311585622487,0.4315012389346657,0.0735310189015502,0.8392156862745098,0.0,0.0,0.0,0.0,0.6393891041714155
