model,mae,rmse,r2,poisson_deviance,mase_vs_train_mean
gradient_boosting_absolute,1.9056553577665314,2.6148781769677174,-0.04938320995122436,1.5187684669641748,1.005749764330824
tweedie_regressor,1.9092881689336783,2.555370534483655,-0.002164363810331471,1.4200553251117358,1.0076670569621098
poisson_regressor,1.919305096895187,2.560578421986371,-0.006253381478804387,1.4337136142719342,1.0129537017352832
negative_binomial,1.9519694718911076,2.6015243705518687,-0.038692479871725194,1.491428397538028,1.0301930138282442
hist_gradient_boosting_poisson,2.000310944417955,2.7185653954373517,-0.13425514790112714,1.6908977189746603,1.0557062444358318
