model,average_precision,brier,log_loss,ece_10,accuracy,precision,recall,f1,alert_rate,roc_auc
rf_sigmoid,0.2794747849220707,0.1936578089110716,0.5796595667074932,0.05461116496565237,0.7283333333333334,0.359375,0.07467532467532467,0.12365591397849462,0.05333333333333334,0.5196734319492168
rf_isotonic,0.26484340901777165,0.1962869593390574,0.5879302007669519,0.08305428169737566,0.7091666666666666,0.2696629213483146,0.07792207792207792,0.12090680100755667,0.07416666666666667,0.5094963892609633
negative_binomial_derived_risk,0.3189844640103441,0.1987675674334045,0.6093964004957076,0.09486108244398035,0.6383333333333333,0.3090909090909091,0.33116883116883117,0.31974921630094044,0.275,0.5735906470211403
rf_raw,0.3064357581673841,0.201914264335837,0.592596960837492,0.10492264053005076,0.5033333333333333,0.28885630498533726,0.6396103896103896,0.397979797979798,0.5683333333333334,0.5590020965581504
