model,average_precision,brier,log_loss,ece_10,accuracy,precision,recall,f1,alert_rate,roc_auc
negative_binomial_derived_risk,0.13851177200673073,0.056476107571293385,0.2283767736807312,0.025423211114861483,0.9383966244725739,0.0,0.0,0.0,0.0008438818565400844,0.6520540081860837
rf_isotonic,0.11409269968754007,0.056700552429008115,0.3341357076109005,0.026808280665048777,0.9324894514767933,0.0,0.0,0.0,0.006751054852320675,0.6103187081960667
rf_sigmoid,0.10077771873196675,0.05697618945134683,0.23411420491504592,0.028507961829463035,0.9392405063291139,0.0,0.0,0.0,0.0,0.5831399121493461
rf_raw,0.10675288003941007,0.06366163770209783,0.25066085345931666,0.05859428585815141,0.9021097046413502,0.14516129032258066,0.125,0.13432835820895522,0.05232067510548523,0.6431254367575122
