fold,task,model,mae,rmse,r2,poisson_deviance,mase_vs_train_mean,average_precision,brier,log_loss,ece_10,accuracy,precision,recall,f1,alert_rate,roc_auc
1,count,gradient_boosting_absolute,2.060877163682123,2.7230527545440073,-0.11925067705133152,1.6600394393795592,1.071498035240652,,,,,,,,,,
1,count,hist_gradient_boosting_poisson,2.1034030265445525,2.8130711652055087,-0.19447398006130778,1.8390286280020092,1.093608221770447,,,,,,,,,,
1,count,poisson_regressor,2.003039111204354,2.67168204555029,-0.07741942003230884,1.5133820916204863,1.041426684708848,,,,,,,,,,
1,count,tweedie_regressor,1.9816878292887077,2.6358717915528054,-0.048730310736188054,1.4863851658483456,1.0303256559694112,,,,,,,,,,
1,count,negative_binomial,2.087355567448508,2.769757533862999,-0.15797387171379484,1.5644536688934991,1.0852647740409884,,,,,,,,,,
1,classification,rf_raw,,,,,,0.3092763356349737,0.2091883746326694,0.6080072448570308,0.10397563356115525,0.6625,0.275,0.1746031746031746,0.21359223300970873,0.16666666666666666,0.5652407855797686
1,classification,rf_sigmoid,,,,,,0.3092763356349737,0.2080390212827228,0.6258029036561978,0.12484344424811056,0.7375,0.0,0.0,0.0,0.0,0.5652407855797686
1,classification,rf_isotonic,,,,,,0.2708451856194674,0.21519922490254348,0.7887323207488475,0.1789431944589061,0.7291666666666666,0.3333333333333333,0.031746031746031744,0.057971014492753624,0.025,0.5229127432517263
1,classification,negative_binomial_derived_risk,,,,,,0.3263565481986545,0.21205656640020598,0.6393150084399016,0.12484135620028343,0.7041666666666667,0.3888888888888889,0.2222222222222222,0.2828282828282828,0.15,0.5962693928795624
2,count,gradient_boosting_absolute,1.7648055338574813,2.2109083443456115,-0.05562186835929128,1.296924911005913,1.0216480484654584,,,,,,,,,,
2,count,hist_gradient_boosting_poisson,1.8618721519688286,2.3384098126086768,-0.1808864802721275,1.4929990708706293,1.0778400305632483,,,,,,,,,,
2,count,poisson_regressor,1.9123603476941566,2.3404263607234883,-0.18292405398259204,1.4222166196217996,1.1070677078589888,,,,,,,,,,
2,count,tweedie_regressor,1.8908937391426226,2.3104840613982174,-0.1528501351356164,1.3869294553820206,1.0946406623216203,,,,,,,,,,
2,count,negative_binomial,1.9701756559058263,2.4326078978429484,-0.2779419474944449,1.559695189519968,1.1405370593952875,,,,,,,,,,
2,classification,rf_raw,,,,,,0.27816570575213395,0.19418038575708607,0.5753510049636642,0.1552970725482512,0.7416666666666667,0.3055555555555556,0.22916666666666666,0.2619047619047619,0.15,0.5302734375
2,classification,rf_sigmoid,,,,,,0.27816570575213395,0.15999700607692907,0.5004583869232347,0.06347390389783764,0.8,0.0,0.0,0.0,0.0,0.5302734375
2,classification,rf_isotonic,,,,,,0.2370787302540389,0.15888895065915465,0.4970672991674725,0.03662601693139439,0.8,0.0,0.0,0.0,0.0,0.5607096354166666
2,classification,negative_binomial_derived_risk,,,,,,0.22005036650211507,0.17924000443848617,0.5603919929691126,0.11441661700852665,0.7583333333333333,0.1875,0.0625,0.09375,0.06666666666666667,0.5511067708333333
3,count,gradient_boosting_absolute,2.096074959157313,3.1356545946936887,-0.050979163592180354,1.9205160947372382,1.0258508571051237,,,,,,,,,,
3,count,hist_gradient_boosting_poisson,2.1224110297094616,3.175938524694247,-0.07815660061108365,2.0300938714006582,1.0387401292328553,,,,,,,,,,
3,count,poisson_regressor,2.0320722074115247,2.9168054159903063,0.09060494834269761,1.6163284235213022,0.9945269402534574,,,,,,,,,,
3,count,tweedie_regressor,2.0392079961216276,2.9392347979673126,0.07656520952005141,1.6374017556612965,0.9980193034117498,,,,,,,,,,
3,count,negative_binomial,2.0296442971365996,2.877353585776441,0.11503898581174477,1.5859843614807683,0.9933386841628892,,,,,,,,,,
3,classification,rf_raw,,,,,,0.3328080458717507,0.2029743372538946,0.5970356397750994,0.06602605892487479,0.7166666666666667,0.0,0.0,0.0,0.0,0.5589945280437756
3,classification,rf_sigmoid,,,,,,0.3328080458717507,0.20831127045403092,0.6107995329532725,0.09157924478998346,0.7166666666666667,0.0,0.0,0.0,0.0,0.5589945280437756
3,classification,rf_isotonic,,,,,,0.2916458145322285,0.20996920495031937,0.6159629031261499,0.12518001976885704,0.7166666666666667,0.0,0.0,0.0,0.0,0.5149623803009576
3,classification,negative_binomial_derived_risk,,,,,,0.42835350150300827,0.20282050381851047,0.6106688181043506,0.14377802215103827,0.7333333333333333,1.0,0.058823529411764705,0.1111111111111111,0.016666666666666666,0.5483071135430917
