candidate;family;feature_set;calibration;feature_count;mae;rmse;r2;high_auc;actual_mean;prediction_mean;actual_std;prediction_std;std_ratio;p05;p95;p05_p95_width;width_ratio;boring_4_5_share;min_prediction;max_prediction;mae_vs_official_pct;rmse_vs_official_pct;passes_accuracy_gate;resolution_score
xgb_squared__all_operational;xgb_squared;all_operational;raw;108;2.249420020315382;2.9297296690927994;0.13441091634115632;0.6528800707048712;5.215277777777778;4.953501584132512;3.1511818531385956;1.1705219803907037;0.37145491277339543;3.496789789199829;7.0282772302627565;3.5314874410629273;0.3531487441062927;0.6763888888888889;2.354330539703369;14.091686248779297;-0.7923014409635831;-2.8992191024448166;True;0.35547899340745265
xgb_squared__all_base_operational;xgb_squared;all_base_operational;raw;88;2.2688453694184623;2.9720086330732944;0.10924800097105858;0.6446183602105776;5.215277777777778;4.891791190041436;3.1511818531385956;1.1259564767880585;0.35731243998711126;3.461437666416168;6.937007927894591;3.4755702614784227;0.3475570261478423;0.6833333333333333;2.144273042678833;13.810452461242676;0.06442792074639048;-1.497956569128256;True;0.3457688904792782
xgb_squared__official_plus_history;xgb_squared;official_plus_history;raw;66;2.2764657100041705;3.001708721659527;0.0913559928222113;0.663485801385918;5.215277777777778;5.024208129776849;3.1511818531385956;1.1132056791399447;0.3532660858754265;3.584755337238312;6.979242849349974;3.3944875121116618;0.3394487512111662;0.6902777777777778;2.5965423583984375;11.988468170166016;0.400512975967926;-0.5135989251880968;True;0.3397212460122946
xgb_squared__official_plus_history;xgb_squared;official_plus_history;round;66;2.2583333333333333;3.0064744949673012;0.08846841817048223;0.6573951915564037;5.215277777777778;5.009722222222222;3.1511818531385956;1.1342020927798824;0.3599291141037165;4.0;7.0;3.0;0.3;0.6861111111111111;3.0;12.0;-0.3991915446076022;-0.35564567965575833;True;0.3297458791244502
gradient_huber__all_base_operational;gradient_huber;all_base_operational;raw;88;2.2311352295190217;2.9685404838230998;0.11132569237176271;0.6595278656607447;5.215277777777778;4.708482863915657;3.1511818531385956;1.01125490621005;0.3209128997753126;3.4085380660988966;6.456020398374111;3.0474823322752145;0.3047482332275214;0.6861111111111111;2.4821825985047767;12.56411082357597;-1.598727985209425;-1.612902328122956;True;0.313850464306301
gradient_huber__official_plus_history;gradient_huber;official_plus_history;raw;66;2.266652586217315;3.037947195491715;0.06928414114683501;0.6608087510086972;5.215277777777778;4.808068763317162;3.1511818531385956;1.0327573293288332;0.32773650568601775;3.4204588063945227;6.452135404503287;3.0316765981087643;0.30316765981087646;0.7138888888888889;2.415207673426586;10.678214755816388;-0.032281885719298575;0.6874620958209565;True;0.31081233071473696
official_temporal;official_xgb;official_50;raw;50;2.2673845407035618;3.017205054389593;0.08195001983697014;0.652534231660924;5.215277777777778;5.0294021642870375;3.1511818531385956;0.9538906849102964;0.302708865868917;3.770619547367096;6.654313540458678;2.883693993091582;0.28836939930915817;0.7388888888888889;2.857672691345215;10.50148868560791;0.0;0.0;True;0.28937050162144023
xgb_poisson__all_base_operational;xgb_poisson;all_base_operational;raw;88;2.254716541038619;3.0040215334972213;0.0899552358394885;0.6458352012911325;5.215277777777778;4.827942052483559;3.1511818531385956;0.864489742489687;0.27433825871669393;3.6976046442985533;6.430969834327697;2.7333651900291436;0.27333651900291434;0.7513888888888889;3.1092541217803955;10.179320335388184;-0.5587053910587225;-0.43694481000525753;True;0.2688422202957545
xgb_squared__official_plus_history;xgb_squared;official_plus_history;isotonic;66;2.5324715657366648;3.567277811944957;-0.28330692427327975;0.6420245673809738;5.215277777777778;5.7022811356518;3.1511818531385956;2.380235906150185;0.755347046626159;4.115384578704834;8.0;3.884615421295166;0.3884615421295166;0.7583333333333333;2.5965423583984375;21.43071746826172;11.691313064648812;18.231202309405138;False;0.5242010440604357
xgb_squared__all_base_operational;xgb_squared;all_base_operational;isotonic;88;2.387003815174103;3.186468255992913;-0.02394319739870454;0.5996720933509241;5.215277777777778;5.487889713711208;3.1511818531385956;2.0962347561412864;0.6652217656221345;4.085038065910339;8.384614944458008;4.2995768785476685;0.42995768785476685;0.8347222222222223;2.144273042678833;21.71504783630371;5.275650085954253;5.609933648926746;False;0.48289054083468447
