model,mae,rmse,r2,mase,poisson_deviance,roc_auc,pr_auc,brier,log_loss,precision,recall,f1,alerts_per_week,folds
historical_median,1.8557692307692308,2.4476843517643614,-0.10784986449797396,0.8103075693480893,1.442727002275147,0.5,0.25961538461538464,0.19337039352296947,0.5759113309088322,0.0,0.0,0.0,0.0,26
moving_average_28d,1.9121860282574568,2.456298009955343,-0.1466795947078809,0.8347899257549221,1.3888601579130389,0.40297317157192664,0.26274380985075596,0.19033135232114548,0.6031283392158536,0.09745115995115995,0.09767316017316018,0.08670636605859278,0.5974358974358974,26
