Fecha;Texto
2022-12-31T23:00:01.000Z;ESTADO DE UNIDADES A LAS 20:00  DISPONIBLES: F-1, Q-2, RH-2, B-4, H-4, X-4, B-5, K-2, B-7, F-7, B-9 EN EMERGENCIA: F-6, Z-9
2022-12-31T17:54:01.000Z;14:53, SALE Z-9  A 10-12 (APOYO A OTRO CUERPO) C,B,SANTA JUANA  /
2022-12-31T16:51:12.000Z;EMERGENCIA: 13:51 10-12 (APOYO A OTRO CUERPO), C,B,SANTA JUANA  / , F-6
2022-12-31T12:00:03.000Z;ESTADO DE UNIDADES A LAS 09:00  DISPONIBLES: F-1, Q-2, RH-2, B-4, H-4, X-4, B-5, K-2, F-6, RB-6, Z-6, B-7, F-7, B-8, F-8, H-8
2022-12-31T07:47:17.000Z;EMERGENCIA: 4:47 10-3 (RESCATE DE PERSONA), AUTOPISTA CONCEPCION TALCAHUANO / INACAP, B-5
2022-12-30T23:26:32.000Z;EMERGENCIA: 20:26 10-2 (LLAMADO DE PASTIZALES), LOS LAMINADORES / QUILLAY, B-8
2022-12-30T23:00:01.000Z;ESTADO DE UNIDADES A LAS 20:00  DISPONIBLES: F-1, BM-2, Q-2, RH-2, B-3, RB-3, B-4, H-4, X-4, B-5, K-2, F-6, RB-6, Z-6, B-7, B-8, H-8, B-9, Z-9 EN EMERGENCIA: F-7, F-8
2022-12-30T21:33:38.000Z;EMERGENCIA: 18:33 10-12 (APOYO A OTRO CUERPO), C.B. NACIMIENTO / , F-7 F-8
2022-12-30T14:39:35.000Z;EMERGENCIA: 11:39 10-9 (OTROS SERVICIOS), VOLCAN LASKAR ALTURA DEL 4262, B-4
2022-12-30T12:00:03.000Z;ESTADO DE UNIDADES A LAS 09:00  DISPONIBLES: BM-2, Q-2, RH-2, B-3, RB-3, B-4, H-4, X-4, B-5, K-2, F-6, RB-6, Z-6, B-7, F-7, B-8, F-8, H-8, B-9, Z-9, H-11 EN EMERGENCIA: F-1
2022-12-30T11:52:56.000Z;EMERGENCIA: 8:52 10-2 (LLAMADO DE PASTIZALES), ACCESO A RUTA INTERPORTUARIA / AVENIDA CRISTOBAL COLON, F-1
2022-12-29T23:00:01.000Z;ESTADO DE UNIDADES A LAS 20:00  DISPONIBLES: F-1, BM-2, Q-2, RH-2, B-3, RB-3, B-4, H-4, X-4, B-5, K-2, B-9, Z-9
2022-12-29T20:08:36.000Z;EMERGENCIA: 17:08 10-1 (LLAMADO VEHICULAR), PUENTE LAS BALLENAS / RUTA INTERPORTUARIA,  PENCO, RB-3
2022-12-29T12:00:03.000Z;ESTADO DE UNIDADES A LAS 09:00  DISPONIBLES: F-1, BM-2, Q-2, RH-2, B-3, RB-3, B-5, K-2, F-6, RB-6, Z-6, B-9, H-9, Z-9, H-11
2022-12-28T23:00:01.000Z;ESTADO DE UNIDADES A LAS 20:00  DISPONIBLES: F-1, Q-2, B-3, RB-3, B-4, H-4, X-4, B-5, B-7, B-8, F-8, H-8 EN EMERGENCIA: F-7
2022-12-28T22:41:47.000Z;EMERGENCIA: 19:41 10-2 (LLAMADO DE PASTIZALES), SUBIDA VISTA HERMOSA / ACCESO BASE NAVAL, F-7
2022-12-28T20:20:14.000Z;EMERGENCIA: 17:20 10-2 (LLAMADO DE PASTIZALES), SAN JUAN / FUERTE BORGOÑO - CALETA TUMBES, F-1 F-7
2022-12-28T16:13:35.000Z;EMERGENCIA: 13:13 10-1 (LLAMADO VEHICULAR), DANIEL PAINE / AVENIDA ALTO HORNO, B-8
2022-12-28T14:36:51.000Z;EMERGENCIA: 11:36 10-4 (RESCATE VEHICULAR), AVENIDA GRAN BRETAÑA / RETORNO AL SUR, RB-3 B-5 B-9
2022-12-28T13:01:50.000Z;EMERGENCIA: 10:01 10-15 (SIMULACRO), AVENIDA BLANCO ENCALADA ALTURA DEL 444, F-1
