category;family;feature_count;features;oof_mae;fold_mae_std;selected
N_INCENDIO_ESTR;hist_poisson;31;HUM_KURT|TEMP_SKEW|TEMP_MIN|VIENTO_SKEW|HUM_MEDIA_lag_1|HUM_SKEW|VIENTO_KURT|VIENTO_MEDIO|TEMP_MEDIA|VIENTO_MEDIO_lag_1|HUM_MEDIA|TEMP_MAX|TEMP_KURT|HUM_MIN|LLUVIA_LAG_2D|VIENTO_MAX|LLUVIA_DESV_30D_PREV|LLUVIA_LAG_14D|LLUVIA_LAG_7D|LLUVIA_LAG_10D|HUM_MAX|LLUVIA|LLUVIA_LAG_3D|LLUVIA_MAX_30D_PREV|LLUVIA_DESV_7D_PREV|LLUVIA_TOTAL_14D_PREV|DIAS_SECOS_14D_PREV|LLUVIA_PROMEDIO_7D_PREV|LLUVIA_DESV_14D_PREV|LLUVIA_TOTAL_7D_PREV|LLUVIA_LAG_5D;0.8949047613992127;0.13403679079596842;False
N_INCENDIO_FOREST;gradient_boosting;5;LLUVIA_DESV_30D_PREV|TEMP_MEDIA|TEMP_MAX|VIENTO_MEDIO_lag_1|VIENTO_KURT;0.7938137222593946;0.39684207118414716;False
N_INCENDIO_FOREST;gradient_boosting;10;LLUVIA_DESV_30D_PREV|TEMP_MEDIA|TEMP_MAX|VIENTO_MEDIO_lag_1|VIENTO_KURT|HUM_KURT|HUM_MEDIA|TEMP_MIN|LLUVIA_TOTAL_30D_PREV|TEMP_SKEW;0.8687003667274275;0.39105749952996205;False
N_INCENDIO_FOREST;gradient_boosting;15;LLUVIA_DESV_30D_PREV|TEMP_MEDIA|TEMP_MAX|VIENTO_MEDIO_lag_1|VIENTO_KURT|HUM_KURT|HUM_MEDIA|TEMP_MIN|LLUVIA_TOTAL_30D_PREV|TEMP_SKEW|TEMP_KURT|HUM_MEDIA_lag_1|LLUVIA_PROMEDIO_30D_PREV|VIENTO_SKEW|VIENTO_MAX;0.8596566763237633;0.3815480000991605;False
N_INCENDIO_FOREST;gradient_boosting;20;LLUVIA_DESV_30D_PREV|TEMP_MEDIA|TEMP_MAX|VIENTO_MEDIO_lag_1|VIENTO_KURT|HUM_KURT|HUM_MEDIA|TEMP_MIN|LLUVIA_TOTAL_30D_PREV|TEMP_SKEW|TEMP_KURT|HUM_MEDIA_lag_1|LLUVIA_PROMEDIO_30D_PREV|VIENTO_SKEW|VIENTO_MAX|DIAS_SECOS_30D_PREV|HUM_SKEW|HUM_MAX|LLUVIA_DESV_14D_PREV|LLUVIA_TOTAL_14D_PREV;0.8779515830969533;0.384066705010851;False
N_INCENDIO_FOREST;gradient_boosting;25;LLUVIA_DESV_30D_PREV|TEMP_MEDIA|TEMP_MAX|VIENTO_MEDIO_lag_1|VIENTO_KURT|HUM_KURT|HUM_MEDIA|TEMP_MIN|LLUVIA_TOTAL_30D_PREV|TEMP_SKEW|TEMP_KURT|HUM_MEDIA_lag_1|LLUVIA_PROMEDIO_30D_PREV|VIENTO_SKEW|VIENTO_MAX|DIAS_SECOS_30D_PREV|HUM_SKEW|HUM_MAX|LLUVIA_DESV_14D_PREV|LLUVIA_TOTAL_14D_PREV|LLUVIA_MAX_30D_PREV|LLUVIA_DESV_7D_PREV|VIENTO_MEDIO|LLUVIA_PROMEDIO_14D_PREV|HUM_MIN;0.8856242277780364;0.39212415078587587;False
N_INCENDIO_FOREST;gradient_boosting;31;LLUVIA_DESV_30D_PREV|TEMP_MEDIA|TEMP_MAX|VIENTO_MEDIO_lag_1|VIENTO_KURT|HUM_KURT|HUM_MEDIA|TEMP_MIN|LLUVIA_TOTAL_30D_PREV|TEMP_SKEW|TEMP_KURT|HUM_MEDIA_lag_1|LLUVIA_PROMEDIO_30D_PREV|VIENTO_SKEW|VIENTO_MAX|DIAS_SECOS_30D_PREV|HUM_SKEW|HUM_MAX|LLUVIA_DESV_14D_PREV|LLUVIA_TOTAL_14D_PREV|LLUVIA_MAX_30D_PREV|LLUVIA_DESV_7D_PREV|VIENTO_MEDIO|LLUVIA_PROMEDIO_14D_PREV|HUM_MIN|LLUVIA_MAX_14D_PREV|DIAS_SECOS_7D_PREV|LLUVIA_LAG_1D|DIAS_SECOS_14D_PREV|LLUVIA_LAG_5D|LLUVIA_MAX_7D_PREV;0.8856195358130761;0.38301851795299796;False
N_INCENDIO_FOREST;hist_poisson;5;LLUVIA_DESV_30D_PREV|TEMP_MEDIA|TEMP_MAX|VIENTO_MEDIO_lag_1|VIENTO_KURT;0.6292050548238876;0.3498752093521954;False
N_INCENDIO_FOREST;hist_poisson;10;LLUVIA_DESV_30D_PREV|TEMP_MEDIA|TEMP_MAX|VIENTO_MEDIO_lag_1|VIENTO_KURT|HUM_KURT|HUM_MEDIA|TEMP_MIN|LLUVIA_TOTAL_30D_PREV|TEMP_SKEW;0.5933261541989492;0.32528323399219955;False
N_INCENDIO_FOREST;hist_poisson;15;LLUVIA_DESV_30D_PREV|TEMP_MEDIA|TEMP_MAX|VIENTO_MEDIO_lag_1|VIENTO_KURT|HUM_KURT|HUM_MEDIA|TEMP_MIN|LLUVIA_TOTAL_30D_PREV|TEMP_SKEW|TEMP_KURT|HUM_MEDIA_lag_1|LLUVIA_PROMEDIO_30D_PREV|VIENTO_SKEW|VIENTO_MAX;0.5862183246499272;0.3315736765209109;True
