repeat;fold;mae;roc_auc;brier
1;1;1.0264421324003938;0.5889025137952177;0.15633696388088125
1;2;1.0665036862696744;0.533014601369686;0.18947897559169413
1;3;0.9875825655914096;0.541193595342067;0.16607386168011024
1;4;1.0115421725804419;0.5061834915156744;0.17215654694251525
1;5;0.9591159843322303;0.5231085786641342;0.15654368866821244
2;1;0.952627344527459;0.5173010380622838;0.15393399730699073
2;2;1.0675901496286624;0.5152329749103943;0.1936012678354172
2;3;0.9794237157877754;0.5156025309174577;0.1689856947471647
2;4;1.0057907228238854;0.5303396333664914;0.17059518695169976
2;5;1.0363714276916451;0.5531096059113301;0.1583797614738696
3;1;1.0450475939829869;0.567976710334789;0.165227975978297
3;2;1.0016817848575157;0.5344141488577745;0.1681022224743343
3;3;1.0579031000500319;0.4554767533490937;0.16235565878165648
3;4;1.0242669767986945;0.5472502486855193;0.16959912758371176
3;5;0.986917363686694;0.50030391031269;0.18545754444644957
4;1;1.0936188392573163;0.5245277891017801;0.18036452379966736
4;2;0.9450282312181995;0.5094387755102041;0.14586431315859855
4;3;1.0204179781943457;0.584848484848485;0.18196599343104325
4;4;0.991957664902235;0.5335664335664336;0.15826910553667053
4;5;1.0157501351916127;0.5362962962962963;0.17309329981208632
5;1;1.0080579890511852;0.5511675824175825;0.1753341335586301
5;2;0.942553086676812;0.5187074829931972;0.1479222278640826
5;3;0.9705318092887377;0.46881995522865366;0.1562035555344956
5;4;1.0761012076094076;0.4667325428194993;0.18993500908348454
5;5;1.0648298727141485;0.5694103194103195;0.17760144609301157
6;1;1.0289030928925247;0.5381125226860254;0.1612738013947249
6;2;0.999594234677747;0.5103021978021978;0.1778974657898048
6;3;0.9300010317749631;0.5838493723849373;0.1446316607344603
6;4;1.0557716730144198;0.5366897676314717;0.1805485040543833
6;5;1.035917506656713;0.4746791294642857;0.1820303666539495
7;1;1.0527533507264608;0.5135094790267203;0.16311398694956725
7;2;1.0111802748330325;0.5378472222222223;0.17489460919169125
7;3;1.0322346010835113;0.5208185306238453;0.1718244025251805
7;4;0.9451959906564864;0.5600436681222708;0.16436575250370603
7;5;1.0060956279436748;0.4936281859070465;0.1683069774628012
8;1;1.020779820874488;0.5780012570710246;0.1941085216310415
8;2;0.9873775660372935;0.5153069153069153;0.16038119125449765
8;3;1.0173611900798176;0.4870876250186595;0.16592576503555742
8;4;0.975866732712848;0.5184513006654567;0.16127645882873198
8;5;1.0447432568503752;0.5289355322338831;0.16330404544179958
9;1;1.0484981157375455;0.5676548089591568;0.18095135883334126
9;2;1.0422404664198008;0.5560037649589887;0.1816391824332461
9;3;0.9984654654268575;0.54207811348563;0.16465780099358726
9;4;1.0018259517874273;0.5101787101787101;0.15824950285348277
9;5;0.9615655764937401;0.4860658409387223;0.15485882573443097
10;1;1.0339433041410875;0.5821829163071613;0.16584234509918735
10;2;0.9986313661902009;0.4992361111111111;0.1832770542956609
10;3;0.9754822188182686;0.4623697118332311;0.16394510745367996
10;4;1.0989877897150375;0.5812499999999999;0.17043946673539534
10;5;0.9634690528942479;0.6189716716032505;0.15601189037287924
11;1;1.0026846635300395;0.4916083916083916;0.1592591577898942
11;2;0.9805581074684961;0.5101190476190476;0.14726791318745705
11;3;1.0264480798714715;0.5379635449402892;0.1971631954900595
11;4;0.9727700169111205;0.5694178334561533;0.16326902674669472
11;5;1.0540806454502873;0.5347361159020352;0.1780396534639767
12;1;0.9803237151934614;0.5753349093774626;0.151452867830106
12;2;0.9818837296179009;0.5038319823139277;0.16821048492999352
12;3;1.043351601564348;0.4941666666666667;0.18002837188270643
12;4;0.9918031298577992;0.5717993079584776;0.18078939247693676
12;5;1.0503086807827156;0.4898610161768056;0.16393627472837047
13;1;0.9910183126126194;0.5097273397199705;0.1657202981458292
13;2;1.052957148287948;0.49440603394091764;0.20483326236554397
13;3;1.0296185462120082;0.4704495210022107;0.17260397855974843
13;4;1.0042071713708263;0.5909024745269287;0.1614288483326204
13;5;0.9852338520189127;0.5730252100840337;0.14411447339087047
14;1;1.0008627046350789;0.5517730496453901;0.15325162992216002
14;2;1.0209689385750715;0.5476287539067808;0.17810375891121413
14;3;1.026900030749892;0.47145328719723184;0.19014569276279164
14;4;1.0329075977464035;0.5366764037650114;0.14916842504596406
14;5;1.007507678328289;0.48465600913502715;0.17592033349172279
15;1;1.0685098204233243;0.4962962962962963;0.15651469832157633
15;2;1.0270986117706167;0.5715342207879521;0.17847003584871393
15;3;1.0382229069112494;0.48458333333333337;0.17875554824057266
15;4;0.9673147284035865;0.512952176578786;0.16152520336965256
15;5;0.9585966062214639;0.6161623456344334;0.16487496750486705
16;1;0.9746034623842338;0.5130276564774381;0.16724525721000313
16;2;1.0311723031799687;0.5462882096069869;0.166860615555829
16;3;0.9856877112471109;0.48112244897959183;0.15217450913022262
16;4;1.0690837063178884;0.5665461121157324;0.20681970267618577
16;5;0.9866857247220145;0.43463121240899016;0.16309598912552134
17;1;1.0351922165563774;0.5305748063595597;0.18081469128776093
17;2;1.0905735038968518;0.5082051944695697;0.19438674711919157
17;3;0.9687577919151543;0.546465645081562;0.14643287242775826
17;4;1.0180248591314138;0.5257641921397379;0.16790640705104273
17;5;0.9723488088283274;0.542576764798987;0.15653314669798143
18;1;1.0252752662942484;0.5602530917457578;0.16637505910825942
18;2;1.0720259675105137;0.5028739867354458;0.16871166416871541
18;3;0.9279061997225541;0.5410559495665879;0.15415768152004175
18;4;1.0149476746786836;0.5149725274725274;0.17665415765857942
18;5;1.0114181488752365;0.5760141093474427;0.17096137716044238
19;1;1.0252032630583818;0.49010989010989015;0.1804669740612584
19;2;0.946354187483606;0.47289734569875275;0.15759166831144494
19;3;0.9996742096739244;0.5127184879920421;0.17358711085160855
19;4;1.0250600192786088;0.6110613524406627;0.15739871934137334
19;5;1.0362560831838183;0.4993722098214286;0.17987490483000285
20;1;1.0679349664173323;0.5049751243781094;0.18614738861654445
20;2;0.9951286940838638;0.5401549123522218;0.17703567148053034
20;3;1.0046573803086594;0.46225374310480694;0.15987973437801956
20;4;1.0308888280267947;0.5147397181478286;0.16955562239798264
20;5;0.9850833614667257;0.5185185185185185;0.15670285989173177
21;1;0.9887650994693532;0.5020851308599368;0.1722876205994293
21;2;1.0278842544060678;0.5203922125905927;0.1733174516553986
21;3;1.0251144063513997;0.5704495210022107;0.1627879596727869
21;4;1.059909968846397;0.5305902917843216;0.18214831104897708
21;5;0.9382232435875468;0.5654757125652349;0.15258538466519436
22;1;1.0013312208611247;0.5266033937302272;0.16907786718046594
22;2;1.0569687842497777;0.4909397387273493;0.17901360374901987
22;3;0.9794152459471284;0.5313131313131313;0.15821458862989277
22;4;0.98403401482064;0.4702555230236891;0.18866290652848128
22;5;1.0282632033858035;0.5808037456106125;0.15533436442431972
23;1;1.0180699398360862;0.5203832042397065;0.18132758035078508
23;2;0.9727356099752407;0.5006050826946349;0.1848668768619737
23;3;1.078950716756207;0.5561532792925572;0.1634126033847354
23;4;0.9918145244509291;0.5243319898492312;0.16395365954195554
23;5;1.0045787969397173;0.5106747066492829;0.1517747258182806
24;1;1.0585147752893838;0.5006394770498791;0.17598800196096087
24;2;0.9954270994786986;0.47726303822651694;0.174423772310342
24;3;1.0475646370834957;0.5189913317572892;0.15568971046264773
24;4;0.9964492028147292;0.5192867540029114;0.1673932648079793
24;5;0.9765821182065539;0.54541015625;0.17505423600582193
25;1;1.0130309144930856;0.5206442831215972;0.1621328616789811
25;2;1.019443627872269;0.5028362442155545;0.16849293357888243
25;3;0.9949231743812561;0.512688460964323;0.16708830691490992
25;4;0.9961934535148647;0.5657175726200748;0.167631634932797
25;5;1.0479471147474315;0.46062834224598936;0.1919226906191493
26;1;0.9869345581242782;0.5181907571288101;0.17489717231279264
26;2;1.0488370128981381;0.5221445221445221;0.15981006123832525
26;3;1.0032959141120779;0.5724118555976963;0.17017893070996873
26;4;0.9806071266171017;0.513053613053613;0.15649300095517413
26;5;1.0409840922802687;0.4763854763854764;0.18506412669756628
27;1;0.9836289892972134;0.521551724137931;0.16221433073835148
27;2;0.9562850031473232;0.5191843114963762;0.1717391991526597
27;3;1.1317970061797171;0.5294194390084801;0.18909461260900948
27;4;0.9731077698275292;0.6459054209919262;0.14165388883025642
27;5;1.017909150570631;0.5849272052526405;0.1700183032125046
28;1;1.0553665691181038;0.5082022320828291;0.18400629289556822
28;2;1.0004976925965412;0.5537684537684537;0.15814141609309282
28;3;1.0351695857658518;0.48928674144377327;0.17354911118827845
