group;source_cols;count_threshold_p80;positive_rate;accuracy_at_p80;precision_at_p80;recall_at_p80;f1_at_p80;roc_auc;brier;oof_probability_p33;oof_probability_p50;oof_probability_p66;oof_probability_p80;test_roc_auc;test_brier;test_f1_at_p80
rescate_vehicular;N_RESCATE_VEH;2.0;0.10476190476190476;0.8041666666666667;0.10344827586206896;0.125;0.11320754716981132;0.5439091435185186;0.12660291180181416;0.24926193220003304;0.30849689551659637;0.3554582818374512;0.39985104610154365;0.5955255681818181;0.16127027077621045;0.224
incendio;N_INCENDIO_ESTR|N_INCENDIO_FOREST;2.0;0.15411255411255412;0.7510416666666667;0.29583333333333334;0.5035460992907801;0.37270341207349084;0.6535387386451217;0.17301268463201605;0.19774211633640335;0.265895398308904;0.4500627244033272;0.5420056967206164;0.6451093951093951;0.15186034140412766;0.1388888888888889
climaticas;N_EMERGENCIAS_CLIMATICAS;0.0;0.0354978354978355;0.7635416666666667;0.0963855421686747;0.9230769230769231;0.17454545454545456;0.889639268654258;0.036673945038476874;0.004875025809601707;0.013459901979867774;0.035179034259088623;0.06936195024281731;0.8879986919555265;0.028651302816460934;0.24324324324324326
