feature_cols;feature_count;search_stage;temporal_oof_mae;temporal_oof_roc_auc;temporal_oof_f1;temporal_oof_f1_threshold;fold_mae_std;fold_roc_auc_std;rank_mae;rank_roc_auc;rank_f1;mean_metric_rank
VIENTO_MEDIO_lag_1|HUM_MEDIA_lag_1|DIAS_SECOS_30D_PREV|LLUVIA_DESV_30D_PREV|VIENTO_MAX|TEMP_SKEW|TEMP_MEDIA|HUM_KURT|VIENTO_MEDIO|VIENTO_SKEW|HUM_SKEW|TEMP_KURT|VIENTO_KURT|TEMP_MAX|HUM_MEDIA|TEMP_MIN|LLUVIA_MAX_30D_PREV|HUM_MAX|LLUVIA_DESV_14D_PREV|LLUVIA_TOTAL_30D_PREV|LLUVIA_DESV_7D_PREV|LLUVIA_PROMEDIO_30D_PREV|LLUVIA_MAX_14D_PREV|LLUVIA_LAG_14D;24;refinamiento_1;2.7474046593657517;0.5744370460048427;0.4205714285714286;0.32000000000000006;0.17438673870232538;0.047920745510446054;43.0;16.0;6.0;21.666666666666668
VIENTO_MEDIO_lag_1|HUM_MEDIA_lag_1|DIAS_SECOS_30D_PREV|LLUVIA_DESV_30D_PREV|VIENTO_MAX|TEMP_SKEW|TEMP_MEDIA|HUM_KURT|VIENTO_MEDIO|VIENTO_SKEW|TEMP_MAX|HUM_MEDIA|TEMP_MIN|LLUVIA_MAX_30D_PREV|HUM_MIN|HUM_MAX|LLUVIA_DESV_14D_PREV|LLUVIA_TOTAL_30D_PREV|LLUVIA_PROMEDIO_30D_PREV|LLUVIA_MAX_14D_PREV|LLUVIA_LAG_14D;21;refinamiento_1;2.7403544991524837;0.5787106537530265;0.4118268215417107;0.30000000000000004;0.16921476473639963;0.03987337840812924;19.0;7.0;48.0;24.666666666666668
VIENTO_MEDIO_lag_1|HUM_MEDIA_lag_1|DIAS_SECOS_30D_PREV|LLUVIA_DESV_30D_PREV|VIENTO_MAX|TEMP_SKEW|TEMP_MEDIA|HUM_KURT|VIENTO_MEDIO|VIENTO_SKEW|HUM_SKEW|TEMP_KURT|VIENTO_KURT|TEMP_MAX|HUM_MEDIA|TEMP_MIN|LLUVIA_MAX_30D_PREV|HUM_MIN|LLUVIA_DESV_14D_PREV|LLUVIA_TOTAL_30D_PREV|LLUVIA_DESV_7D_PREV|LLUVIA_PROMEDIO_30D_PREV|LLUVIA_MAX_14D_PREV|LLUVIA_LAG_14D;24;refinamiento_1;2.748360382391748;0.5708898305084746;0.42201834862385323;0.32000000000000006;0.18029639870600175;0.04629490729163359;48.0;26.0;4.0;26.0
VIENTO_MEDIO_lag_1|HUM_MEDIA_lag_1|DIAS_SECOS_30D_PREV|LLUVIA_DESV_30D_PREV|VIENTO_MAX|TEMP_SKEW|TEMP_MEDIA|HUM_KURT|VIENTO_MEDIO|VIENTO_SKEW|HUM_SKEW|TEMP_KURT|VIENTO_KURT|LLUVIA_MAX_30D_PREV|HUM_MIN|HUM_MAX|LLUVIA_DESV_14D_PREV|LLUVIA_TOTAL_30D_PREV|LLUVIA_PROMEDIO_30D_PREV|LLUVIA_MAX_14D_PREV|LLUVIA_LAG_14D;21;refinamiento_1;2.7406519030006797;0.5716162227602906;0.4129181084198385;0.32000000000000006;0.18883394396724157;0.053339641891286135;20.0;21.0;41.0;27.333333333333332
VIENTO_MEDIO_lag_1|HUM_MEDIA_lag_1|DIAS_SECOS_30D_PREV|LLUVIA_DESV_30D_PREV|VIENTO_MAX|TEMP_SKEW|TEMP_MEDIA|HUM_KURT|VIENTO_MEDIO|VIENTO_SKEW|TEMP_MAX|HUM_MEDIA|TEMP_MIN|LLUVIA_MAX_30D_PREV|HUM_MIN|HUM_MAX|LLUVIA_DESV_14D_PREV|LLUVIA_TOTAL_30D_PREV|LLUVIA_DESV_7D_PREV|LLUVIA_PROMEDIO_30D_PREV|LLUVIA_LAG_14D;21;refinamiento_1;2.745834552823445;0.570453995157385;0.4166666666666667;0.29000000000000004;0.15706692920588403;0.049179155082415;37.0;27.0;19.0;27.666666666666668
VIENTO_MEDIO_lag_1|HUM_MEDIA_lag_1|DIAS_SECOS_30D_PREV|LLUVIA_DESV_30D_PREV|VIENTO_MAX|TEMP_SKEW|TEMP_MEDIA|HUM_KURT|VIENTO_MEDIO|VIENTO_SKEW|HUM_SKEW|TEMP_KURT|VIENTO_KURT|TEMP_MAX|HUM_MEDIA|TEMP_MIN|LLUVIA_MAX_30D_PREV|HUM_MIN|LLUVIA_DESV_14D_PREV|LLUVIA_TOTAL_30D_PREV|LLUVIA_DESV_7D_PREV|LLUVIA_PROMEDIO_30D_PREV|LLUVIA_MAX_14D_PREV|LLUVIA_LAG_14D|LLUVIA_LAG_3D|LLUVIA_LAG_10D;26;refinamiento_1;2.750806247508254;0.5762167070217918;0.41737032569360677;0.33;0.1838280555481465;0.0575143210059497;57.0;13.0;13.0;27.666666666666668
VIENTO_MEDIO_lag_1|HUM_MEDIA_lag_1|DIAS_SECOS_30D_PREV|LLUVIA_DESV_30D_PREV|VIENTO_MAX|TEMP_SKEW|TEMP_MEDIA|HUM_KURT|VIENTO_MEDIO|VIENTO_SKEW|HUM_SKEW|TEMP_KURT|VIENTO_KURT|TEMP_MAX|HUM_MEDIA|LLUVIA_MAX_30D_PREV|HUM_MIN|HUM_MAX|LLUVIA_DESV_14D_PREV|LLUVIA_TOTAL_30D_PREV|LLUVIA_DESV_7D_PREV|LLUVIA_PROMEDIO_30D_PREV|LLUVIA_MAX_14D_PREV|LLUVIA_LAG_14D;24;refinamiento_1;2.756868636612043;0.5767433414043583;0.42424242424242425;0.32000000000000006;0.1785157420501168;0.05168187568350595;72.0;10.0;1.0;27.666666666666668
VIENTO_MEDIO_lag_1|HUM_MEDIA_lag_1|DIAS_SECOS_30D_PREV|LLUVIA_DESV_30D_PREV|VIENTO_MAX|TEMP_SKEW|TEMP_MEDIA|HUM_KURT|VIENTO_MEDIO|VIENTO_SKEW|HUM_SKEW|TEMP_KURT|VIENTO_KURT|LLUVIA_MAX_30D_PREV|HUM_MIN|HUM_MAX|LLUVIA_DESV_14D_PREV|LLUVIA_TOTAL_30D_PREV|LLUVIA_DESV_7D_PREV|LLUVIA_PROMEDIO_30D_PREV|LLUVIA_MAX_14D_PREV|LLUVIA_LAG_14D;22;refinamiento_3;2.739769671542148;0.5751876513317191;0.4100502512562814;0.28;0.17609869998617803;0.05698078672360076;18.0;15.0;57.0;30.0
VIENTO_MEDIO_lag_1|HUM_MEDIA_lag_1|DIAS_SECOS_30D_PREV|LLUVIA_DESV_30D_PREV|VIENTO_MAX|TEMP_SKEW|TEMP_MEDIA|HUM_KURT|VIENTO_MEDIO|VIENTO_SKEW|TEMP_MAX|HUM_MEDIA|TEMP_MIN|HUM_MIN|HUM_MAX|LLUVIA_DESV_14D_PREV|LLUVIA_TOTAL_30D_PREV|LLUVIA_DESV_7D_PREV|LLUVIA_PROMEDIO_30D_PREV|LLUVIA_MAX_14D_PREV|LLUVIA_LAG_14D;21;refinamiento_1;2.757757790746544;0.5780992736077483;0.4189636163175303;0.31000000000000005;0.16751340832177705;0.04581962785561441;75.0;9.0;10.0;31.333333333333332
VIENTO_MEDIO_lag_1|HUM_MEDIA_lag_1|DIAS_SECOS_30D_PREV|LLUVIA_DESV_30D_PREV|VIENTO_MAX|TEMP_SKEW|TEMP_MEDIA|HUM_KURT|VIENTO_MEDIO|VIENTO_SKEW|HUM_SKEW|TEMP_KURT|VIENTO_KURT|TEMP_MAX|HUM_MEDIA|TEMP_MIN|LLUVIA_MAX_30D_PREV|HUM_MIN|LLUVIA_DESV_7D_PREV|LLUVIA_PROMEDIO_30D_PREV|LLUVIA_MAX_14D_PREV|LLUVIA_LAG_14D|LLUVIA_LAG_10D|LLUVIA_LAG_2D|LLUVIA_PROMEDIO_7D_PREV|LLUVIA;26;refinamiento_1;2.7381881717579106;0.5594491525423728;0.4164588528678304;0.34;0.1797787905656013;0.058978110627703556;14.0;67.0;21.0;34.0
