FECHA_DIA;WX2_APPARENT_TEMP_MEAN;WX2_RAIN_SUM;WX2_SHOWERS_SUM;WX2_SHOWERS_MAX;WX2_SHOWER_HOURS;WX2_WEATHER_CODE_MAX;WX2_STORM_HOURS;WX2_THUNDER_HOURS;WX2_SURFACE_PRESSURE_MEAN;WX2_CLOUD_MEAN;WX2_CLOUD_MAX;WX2_CLOUD_LOW_MEAN;WX2_CLOUD_MID_MEAN;WX2_CLOUD_HIGH_MEAN;WX2_CLOUDLESS_HOURS;WX2_WIND_DIR_SIN;WX2_WIND_DIR_COS;WX2_SHORTWAVE_SUM;WX2_SHORTWAVE_MAX;WX2_DIRECT_RADIATION_SUM;WX2_SUNSHINE_SECONDS;WX2_FREEZING_LEVEL_MEAN;WX2_FREEZING_LEVEL_MIN;WX2_WET_BULB_MEAN;WX2_WET_BULB_MAX;WX2_BOUNDARY_LAYER_MEAN;WX2_BOUNDARY_LAYER_MAX;WX2_APPARENT_TEMP_RANGE;WX2_SURFACE_PRESSURE_RANGE;WX2_WIND_DIR_CONCENTRATION
2022-02-03;16.108333333333334;0.0;0.0;0.0;0.0;3;0.0;0.0;1014.3416666666667;65.0;100;42.041666666666664;0.125;24.458333333333332;6.0;-0.46298936670948293;-0.1738651859907986;7631.0;980.0;5858.0;46594.87;3688.75;3420.0;14.541666666666666;16.1;;;8.6;2.3999999999999773;0.4945586482770906
2022-02-04;15.637500000000001;0.0;0.0;0.0;0.0;3;0.0;0.0;1016.8083333333334;31.375;100;26.333333333333332;0.041666666666666664;4.958333333333333;14.0;-0.5958149258531605;-0.7805244301055915;7821.0;953.0;6481.0;47643.36;3519.1666666666665;3380.0;14.983333333333334;17.1;;;10.299999999999999;3.599999999999909;0.9819438944568398
2022-02-05;15.920833333333334;0.0;0.0;0.0;0.0;0;0.0;0.0;1016.3833333333333;0.0;0;0.0;0.0;0.0;24.0;-0.5466309642379484;-0.8179690990477896;8296.0;1019.0;7280.0;49038.13;3967.9166666666665;3550.0;14.504166666666668;16.0;;;8.200000000000001;5.7000000000000455;0.9838083441711408
2022-02-06;17.604166666666668;0.0;0.0;0.0;0.0;0;0.0;0.0;1012.2833333333333;0.0;0;0.0;0.0;0.0;24.0;-0.6203731506039206;-0.7306488114470304;8325.0;1022.0;7350.0;48915.53;4444.166666666667;4360.0;15.108333333333334;17.2;;;11.200000000000001;2.5;0.9584938871266697
2022-02-07;15.670833333333334;0.0;0.0;0.0;0.0;3;0.0;0.0;1014.2041666666668;40.833333333333336;100;40.833333333333336;0.0;0.0;13.0;-0.7096385559948186;-0.5772253473423561;7693.0;986.0;6014.0;48755.69;4375.416666666667;4290.0;14.458333333333334;16.6;;;9.399999999999999;3.7000000000000455;0.914754601939184
2022-02-08;16.45;0.0;0.0;0.0;0.0;3;0.0;0.0;1014.3375;29.333333333333332;98;0.875;0.0;29.166666666666668;14.0;-0.5335635873196108;-0.8320715930232788;8078.0;995.0;7037.0;48667.99;4519.166666666667;4460.0;15.325000000000001;17.7;;;11.0;3.599999999999909;0.9884499166015792
2022-02-09;15.133333333333333;0.0;0.0;0.0;0.0;1;0.0;0.0;1011.8249999999999;4.5;22;4.791666666666667;0.0;0.2916666666666667;23.0;-0.6283410783134072;-0.7458996923802029;8066.0;1001.0;7067.0;48543.3;4587.916666666667;4190.0;13.670833333333334;15.3;;;9.500000000000002;3.199999999999932;0.9752839903274003
2022-02-10;14.804166666666667;0.0;0.0;0.0;0.0;3;0.0;0.0;1013.4583333333334;73.79166666666667;100;0.0;0.041666666666666664;70.875;5.0;-0.4809605321788193;-0.8634286939035482;7595.0;996.0;5860.0;42822.03;3836.6666666666665;3590.0;13.4;15.0;;;7.5;5.2000000000000455;0.9883481891366626
2022-02-11;13.183333333333332;0.0;0.0;0.0;0.0;0;0.0;0.0;1015.5583333333334;0.0;0;0.0;0.0;0.0;24.0;-0.3631777581880331;-0.8602979908657211;8200.0;1017.0;7228.0;48292.73;3826.6666666666665;3590.0;10.941666666666668;13.6;;;10.299999999999999;5.0;0.9338151407693505
2022-02-12;17.154166666666665;0.0;0.0;0.0;0.0;3;0.0;0.0;1010.6125000000001;29.833333333333332;100;0.25;0.0;29.625;15.0;-0.22479488972770367;-0.21543959360494902;8177.0;1025.0;7157.0;47424.92;4226.666666666667;4020.0;13.529166666666667;17.2;;;13.599999999999998;4.2999999999999545;0.3113630693263991
2022-02-13;13.320833333333333;0.2;0.0;0.0;0.0;51;0.0;0.0;1012.8583333333332;88.41666666666667;100;71.125;0.0;19.916666666666668;1.0;0.08013776128849733;0.964211648351548;6317.0;884.0;3720.0;41180.0;4087.0833333333335;3900.0;13.416666666666666;15.2;;;6.399999999999999;5.199999999999932;0.9675361303853937
2022-02-14;14.579166666666666;0.0;0.0;0.0;0.0;3;0.0;0.0;1015.3249999999999;75.70833333333333;100;75.70833333333333;0.0;5.0;2.0;-0.44117801943468454;0.3995144657126917;7394.0;968.0;5681.0;44608.41;3915.0;3770.0;12.920833333333334;14.2;;;7.599999999999998;1.6000000000000227;0.5951889222305876
2022-02-15;12.645833333333334;0.2;0.0;0.0;0.0;51;0.0;0.0;1016.3041666666667;66.08333333333333;100;66.33333333333333;0.0;0.0;8.0;-0.7725834757803343;0.2968635977475556;5878.0;845.0;3611.0;35122.08;3920.0;3760.0;11.979166666666666;12.6;;;4.600000000000001;3.3999999999999773;0.8276552559589317
2022-02-16;15.525;0.0;0.0;0.0;0.0;0;0.0;0.0;1017.2208333333333;0.20833333333333334;1;0.16666666666666666;0.0;0.0;24.0;-0.510544776737633;-0.7975909221164197;7794.0;985.0;6814.0;46930.27;4152.5;3960.0;13.645833333333334;16.4;;;11.799999999999999;3.7000000000000455;0.9469990750241524
