FECHA_DIA;WX_GUST_MAX;WX_GUST_MEAN;WX_PRECIP_PROB_MAX;WX_PRECIP_MAX_HOURLY;WX_PRECIP_HOURS;WX_HEAVY_RAIN_HOURS;WX_PRESSURE_MEAN;WX_DEWPOINT_MEAN;WX_VISIBILITY_MIN;WX_CAPE_MAX;WX_CAPE_MEAN;WX_VPD_MAX;WX_VPD_MEAN;WX_SOIL_MOISTURE_SURFACE_MEAN;WX_SOIL_MOISTURE_DEEP_MEAN;WX_ET0_SUM;WX_LOW_HUMIDITY_HOURS;WX_TEMP_MAX;WX_HUMIDITY_MIN;WX_WIND_MAX;WX_PRESSURE_RANGE;WX_WIND_RAIN_INDEX;WX_FIRE_WEATHER_INDEX
2022-02-03;45.4;25.537499999999998;;0.0;0.0;0.0;1014.7416666666667;13.720833333333333;24140.0;30.0;6.25;0.66;0.30333333333333334;;;4.06;0.0;19.5;71;26.6;2.3999999999999773;0.0;113.046
2022-02-04;59.0;41.09583333333333;;0.0;0.0;0.0;1017.2083333333334;13.804166666666667;24140.0;0.0;0.0;0.92;0.40791666666666665;;;4.44;0.0;21.5;63;33.9;3.6000000000000227;0.0;169.92000000000002
2022-02-05;54.7;37.050000000000004;;0.0;0.0;0.0;1016.7833333333333;12.970833333333333;24140.0;0.0;0.0;1.08;0.5079166666666667;;;4.7700000000000005;0.0;21.0;56;30.2;5.699999999999932;0.0;170.66400000000002
2022-02-06;41.0;29.329166666666666;;0.0;0.0;0.0;1012.6833333333334;13.470833333333333;24140.0;0.0;0.0;1.16;0.5754166666666667;;;5.04;0.0;22.5;58;23.8;2.5;0.0;132.84
2022-02-07;50.4;30.25;;0.0;0.0;0.0;1014.6041666666666;13.654166666666667;24140.0;0.0;0.0;0.72;0.295;;;4.16;0.0;20.1;70;28.8;3.7000000000000455;0.0;130.032
2022-02-08;60.5;39.7125;;0.0;0.0;0.0;1014.7375000000001;14.008333333333333;24140.0;0.0;0.0;1.2;0.4875;;;4.7;0.0;23.1;58;34.3;3.6000000000000227;0.0;199.65000000000003
2022-02-09;53.3;36.4625;;0.0;0.0;0.0;1012.225;11.766666666666666;24140.0;0.0;0.0;1.31;0.5658333333333333;;;4.89;0.0;21.8;50;29.3;3.2000000000000455;0.0;184.68449999999999
2022-02-10;62.6;38.854166666666664;;0.0;0.0;0.0;1013.8583333333332;11.083333333333334;24140.0;0.0;0.0;1.36;0.6354166666666666;;;4.79;0.0;20.9;44;34.5;5.199999999999932;0.0;221.60400000000004
2022-02-11;51.5;31.320833333333336;;0.0;0.0;0.0;1015.9583333333334;7.391666666666667;24140.0;0.0;0.0;1.25;0.7704166666666666;;;5.08;0.0;19.9;41;27.6;5.0;0.0;173.8125
2022-02-12;37.8;23.920833333333334;;0.0;0.0;0.0;1010.9875000000001;10.541666666666666;24140.0;0.0;0.0;1.9;0.8679166666666666;;;5.49;0.0;25.2;38;18.8;4.300000000000068;0.0;164.42999999999998
2022-02-13;52.2;38.229166666666664;;0.1;0.0;0.0;1013.2583333333333;12.612499999999999;6200.0;0.0;0.0;0.48;0.26458333333333334;;;3.05;0.0;17.8;76;27.1;5.2000000000000455;4.975191385785759;115.884
2022-02-14;32.0;21.629166666666666;;0.0;0.0;0.0;1015.725;11.904166666666667;18760.0;0.0;0.0;0.59;0.31;;;3.7800000000000002;0.0;17.6;71;13.4;1.6000000000000227;0.0;76.32
2022-02-15;34.6;24.2625;;0.1;0.0;0.0;1016.7041666666668;11.083333333333334;18260.0;0.0;0.0;0.65;0.25916666666666666;;;2.95;0.0;16.5;66;15.9;3.3999999999999773;3.2977322212296403;85.63499999999999
2022-02-16;48.6;27.97083333333333;;0.0;0.0;0.0;1017.6208333333334;12.079166666666666;24140.0;0.0;0.0;1.1;0.5158333333333334;;;4.58;0.0;21.8;58;26.5;3.7000000000000455;0.0;153.09
