group;split;method;mean_probability;positive_rate;roc_auc;brier;log_loss;ece_10
rescate_vehicular;final_20pct_untouched;raw;0.3539330333533904;0.11418685121107267;0.5955255681818181;0.16127027077621045;0.5053829906915641;0.23974618214231772
rescate_vehicular;final_20pct_untouched;calibrated;0.11288772767771292;0.11418685121107267;0.5955255681818181;0.1004156476804661;0.35147190113511545;0.014737403472644732
incendio;final_20pct_untouched;raw;0.30311234497768197;0.12802768166089964;0.6451093951093951;0.15186034140412766;0.4728415365435035;0.17508466331678227
incendio;final_20pct_untouched;calibrated;0.13057178916004686;0.12802768166089964;0.6451093951093951;0.110746663383524;0.375040005415833;0.024679815205809134
climaticas;final_20pct_untouched;raw;0.07160777226648019;0.03806228373702422;0.8879986919555265;0.028651302816460934;0.11777904921489261;0.04401921820792134
climaticas;final_20pct_untouched;calibrated;0.02749880231337103;0.03806228373702422;0.8879986919555265;0.027896293780636475;0.10863336704018263;0.019107037564567494
