group;count_threshold_p80;reference_samples;oof_mean_probability;oof_positive_rate;oof_roc_auc;oof_brier;oof_log_loss;oof_ece_10;oof_accuracy_at_p80;oof_precision_at_p80;oof_recall_at_p80;oof_f1_at_p80;test_mean_probability;test_positive_rate;test_roc_auc;test_brier;test_log_loss;test_ece_10;test_accuracy_at_p80;test_precision_at_p80;test_recall_at_p80;test_f1_at_p80;raw_test_brier;raw_test_log_loss;raw_test_ece_10
rescate_vehicular;2.0;1200;0.10334913288506681;0.10333333333333333;0.5449619258903946;0.09243776190961205;0.3312792394184145;0.001572931556507191;0.755;0.14583333333333334;0.28225806451612906;0.19230769230769232;0.11288772767771292;0.11418685121107267;0.5955255681818181;0.1004156476804661;0.35147190113511545;0.014737403472644732;0.5709342560553633;0.136;0.5151515151515151;0.21518987341772153;0.16127027077621045;0.5053829906915641;0.23974618214231772
incendio;2.0;1200;0.14588275974980874;0.14583333333333334;0.6490257839721255;0.11927748687852625;0.3960801198662866;0.0061415155223636785;0.7591666666666667;0.2625;0.36;0.3036144578313253;0.13057178916004686;0.12802768166089964;0.6451093951093951;0.110746663383524;0.375040005415833;0.024679815205809134;0.8062283737024222;0.12;0.08108108108108109;0.0967741935483871;0.15186034140412766;0.4728415365435035;0.17508466331678227
climaticas;0.0;1200;0.03089277562441609;0.030833333333333334;0.8837349817573379;0.02765818639214037;0.11136298503463199;0.006279743526860467;0.8225;0.13333333333333333;0.8648648648648649;0.23104693140794225;0.02749880231337103;0.03806228373702422;0.8879986919555265;0.027896293780636475;0.10863336704018263;0.019107037564567494;0.8615916955017301;0.19148936170212766;0.8181818181818182;0.3103448275862069;0.028651302816460934;0.11777904921489261;0.04401921820792134
