candidate;fold;start_date;end_date;mae;metric_mae;metric_rmse;metric_r2;metric_high_auc;metric_actual_mean;metric_prediction_mean;metric_actual_std;metric_prediction_std;metric_std_ratio;metric_p05;metric_p95;metric_p05_p95_width;metric_width_ratio;metric_boring_4_5_share;metric_min_prediction;metric_max_prediction
official_temporal;1;2024-03-18;2024-07-17;2.4735302944978077;2.4735302944978077;3.57396306000251;0.022328369833470196;0.5499131944444443;5.541666666666667;4.974911628166835;3.6296996966629598;0.8312982143706056;0.2290267195203165;3.8848735690116882;6.439501690864563;2.5546281218528746;0.28384756909476383;0.75;2.857672691345215;7.1681904792785645
official_temporal;2;2024-07-18;2024-11-22;2.364617435137431;2.364617435137431;3.1732836449094;0.20519133019194014;0.8207465277777778;5.075;4.622581168015798;3.5743307536005187;0.8128665664109905;0.22741783635780444;3.6013938903808596;5.559396457672119;1.9580025672912598;0.195800256729126;0.7583333333333333;3.2978932857513428;10.134915351867676
official_temporal;3;2024-11-23;2025-03-24;2.4170395930608115;2.4170395930608115;3.1418983131140212;-0.022668941094984518;0.6158028271112722;5.925;5.7682274103164675;3.1199076155251397;0.8418714209304871;0.269838573661991;4.576203346252441;7.302555990219116;2.726352643966675;0.30292807155185275;0.6583333333333333;4.1101508140563965;8.182491302490234
official_temporal;4;2025-03-25;2025-07-28;2.1440341492493946;2.1440341492493946;2.888566408333679;0.09893996810434869;0.5264423076923077;5.3;5.002524783213933;3.055783880782543;1.0088250649994301;0.3301362610568796;3.896883475780487;6.084879541397093;2.1879960656166064;0.27180075349274624;0.8333333333333334;3.3085641860961914;10.50148868560791
official_temporal;5;2025-07-29;2025-12-09;1.825805958112081;1.825805958112081;2.297241014391717;0.0196809245974513;0.5927272727272727;4.241666666666666;4.328713925679525;2.329914462069418;0.5925762437732289;0.2543339051369748;3.487374722957611;5.419878101348877;1.9325033783912655;0.2415629222989082;0.6916666666666667;3.3047478199005127;6.210041522979736
official_temporal;6;2025-12-10;2026-04-16;2.379279814163844;2.379279814163844;2.8784648360865397;-0.051253899301719086;0.5539596273291926;5.208333333333333;5.479454070329666;2.8191894458607534;0.804885110585259;0.2855023140665568;4.434428429603576;6.977190208435059;2.5427617788314825;0.31587102842627107;0.7416666666666667;3.853161096572876;7.977233409881592
d2_long;1;2024-03-18;2024-07-17;2.4838351249694823;2.4838351249694823;3.4761090740689693;0.07513214529207946;0.5711805555555556;5.541666666666667;4.961215917269389;3.6296996966629598;1.165956591609527;0.3212267374850524;3.267415487766266;7.032580399513244;3.7651649117469783;0.41835165686077536;0.5833333333333334;2.121978521347046;8.15938663482666
d2_long;2;2024-07-18;2024-11-22;2.3255942662556968;2.3255942662556968;2.9610424242697255;0.30795542492623873;0.7960069444444444;5.075;4.520725643634796;3.5743307536005187;1.3588682967306493;0.38017418935330066;3.1510724067687987;6.219941496849057;3.0688690900802587;0.30688690900802584;0.6083333333333333;2.6480538845062256;14.14482593536377
d2_long;3;2024-11-23;2025-03-24;2.459398259719213;2.459398259719213;3.1601974900121554;-0.0346161751714722;0.6009423704240667;5.925;5.527174109220505;3.1199076155251397;0.9438940290362683;0.30253909581787186;4.080108237266541;7.279353308677673;3.1992450714111325;0.35547167460123696;0.6916666666666667;3.7407033443450928;8.246569633483887
d2_long;4;2025-03-25;2025-07-28;2.047448569536209;2.047448569536209;2.6801385916259473;0.22428262739495497;0.6424278846153845;5.3;4.971373953421911;3.055783880782543;1.2604549558351077;0.4124817084617657;3.7320030450820925;6.60388045310974;2.8718774080276477;0.3567549575189626;0.7916666666666666;2.1995697021484375;13.946395874023438
d2_long;5;2025-07-29;2025-12-09;1.8758185466130575;1.8758185466130575;2.3354029295532355;-0.013159851706910475;0.5972727272727273;4.241666666666666;4.31186044216156;2.329914462069418;0.7699451555584639;0.33046069634444974;3.3698430180549623;5.600597167015076;2.2307541489601137;0.2788442686200142;0.6166666666666667;2.9506938457489014;7.904419898986816
d2_long;6;2025-12-10;2026-04-16;2.313174500068029;2.313174500068029;2.823813249662175;-0.011713875264409923;0.5741459627329193;5.208333333333333;5.457883944114049;2.8191894458607534;1.0111961438727188;0.3586832893963183;4.072167420387268;7.185442805290222;3.1132753849029537;0.3867422838388762;0.7166666666666667;3.621319532394409;10.200444221496582
d3_reference;1;2024-03-18;2024-07-17;2.475062976280848;2.475062976280848;3.499134070413254;0.06283931700498935;0.5707465277777778;5.541666666666667;4.88290367325147;3.6296996966629598;1.1317622969644796;0.3118060422477895;3.3951704859733582;6.836406517028808;3.44123603105545;0.38235955900616114;0.6083333333333333;2.354330539703369;7.915385723114014
d3_reference;2;2024-07-18;2024-11-22;2.3355870048205056;2.3355870048205056;2.9567288230452906;0.3099702761164784;0.7821180555555555;5.075;4.564998344580332;3.5743307536005187;1.3693834084376224;0.3831160300591113;3.2179603934288026;6.707946896553039;3.489986503124236;0.3489986503124236;0.625;2.6659066677093506;14.091686248779297
d3_reference;3;2024-11-23;2025-03-24;2.4387914955616;2.4387914955616;3.1385701847378966;-0.020503517184798037;0.5683218557448351;5.925;5.509295771519343;3.1199076155251397;0.8319247411044953;0.2666504408543093;4.236102771759033;7.032933640480041;2.796830868721008;0.3107589854134453;0.75;3.843456745147705;7.560880661010742
d3_reference;4;2025-03-25;2025-07-28;2.0379351516564688;2.0379351516564688;2.675394407789391;0.22702643226449826;0.6183894230769231;5.3;4.931018712123235;3.055783880782543;1.2118127148638327;0.39656361907161597;3.608290433883667;6.963596296310425;3.355305862426758;0.4168081816679204;0.7166666666666667;2.688850164413452;13.218999862670898
d3_reference;5;2025-07-29;2025-12-09;1.8840264817078909;1.8840264817078909;2.3357108826574087;-0.013427065803805815;0.5754545454545454;4.241666666666666;4.3260288099447886;2.329914462069418;0.8072440913989425;0.3464694110194726;3.434874701499939;5.728059411048889;2.2931847095489504;0.2866480886936188;0.6083333333333333;2.8406412601470947;8.628061294555664
d3_reference;6;2025-12-10;2026-04-16;2.32511701186498;2.32511701186498;2.837218295954919;-0.02134217620317358;0.5912267080745341;5.208333333333333;5.506764193375905;2.8191894458607534;1.0653757170208857;0.3779014278678976;4.176531887054443;7.464820599555969;3.288288712501526;0.4084830698759659;0.75;3.717505931854248;10.456916809082031
d3_long;1;2024-03-18;2024-07-17;2.475778279701869;2.475778279701869;3.505096499453969;0.05964280343914563;0.5681423611111112;5.541666666666667;4.93478351632754;3.6296996966629598;1.135170826980007;0.31274510892007124;3.434221887588501;6.832178211212158;3.397956323623657;0.3775507026248508;0.5583333333333333;2.126295804977417;7.908851623535156
d3_long;2;2024-07-18;2024-11-22;2.34215772151947;2.34215772151947;2.9729981140094788;0.30235565796229735;0.7877604166666667;5.075;4.519436693191528;3.5743307536005187;1.336777017968501;0.3739936536712306;3.122469425201416;6.614140367507933;3.4916709423065173;0.34916709423065173;0.6083333333333333;2.6067593097686768;14.026504516601562
d3_long;3;2024-11-23;2025-03-24;2.5017843544483185;2.5017843544483185;3.197816270958866;-0.05939478845497792;0.570134106560348;5.925;5.486933277050654;3.1199076155251397;0.8728130079478447;0.27975604264837617;4.099306392669678;6.874995779991149;2.7756893873214716;0.30840993192460797;0.7;3.779745578765869;8.07115650177002
d3_long;4;2025-03-25;2025-07-28;2.0405893445014955;2.0405893445014955;2.675923251353859;0.2267208156440379;0.6388221153846154;5.3;5.009494554996491;3.055783880782543;1.2517190402589327;0.4096228951696627;3.6058027148246765;6.711238741874694;3.1054360270500174;0.3857684505652197;0.7;2.414843797683716;13.796780586242676
d3_long;5;2025-07-29;2025-12-09;1.8817294895648957;1.8817294895648957;2.3405025439141656;-0.01758937907079572;0.5818181818181819;4.241666666666666;4.3185530761877695;2.329914462069418;0.8393556338113554;0.360251694847992;3.3306419253349304;5.8439448595047;2.5133029341697695;0.3141628667712212;0.6083333333333333;2.914677619934082;8.772387504577637
