candidate;mae;rmse;r2;high_auc;actual_mean;prediction_mean;actual_std;prediction_std;std_ratio;p05;p95;p05_p95_width;width_ratio;boring_4_5_share;min_prediction;max_prediction;mae_vs_official_pct;rmse_vs_official_pct;folds_better_mae;passes_accuracy_gate;resolution_score
d3_flexible;2.253912643591563;2.9257910225937107;0.13673669936491994;0.6582661935930114;5.215277777777778;5.038401081826952;3.1511818531385956;1.2414407265881546;0.39396035660451406;3.5050631523132325;7.272517228126525;3.767454075813293;0.3767454075813293;0.6333333333333333;1.893822431564331;13.270957946777344;-0.5941602260293499;-3.029758672281424;3;True;0.3824763864588299
d2_long;2.2508782111936148;2.928285211851386;0.13526423616187966;0.6568380064300444;5.215277777777778;4.9583723349703686;3.1511818531385956;1.1856505556368633;0.3762558338091305;3.387628209590912;7.030362248420714;3.6427340388298024;0.36427340388298024;0.6680555555555555;2.121978521347046;14.14482593536377;-0.7279898585188849;-2.9470931188068095;3;True;0.36319970546204067
d3_long;2.2599458850092358;2.9470190592330816;0.12416446531063297;0.64967785733499;5.215277777777778;4.970248989595307;3.1511818531385956;1.1892948322708716;0.37741231312509843;3.449544680118561;6.928627109527587;3.4790824294090257;0.34790824294090256;0.6527777777777778;2.126295804977417;14.026504516601562;-0.32807208308908153;-2.326192416203232;3;True;0.3610478703800546
d3_fast;2.2644280579355027;2.965566796744775;0.11310523063939726;0.6506129036389952;5.215277777777778;4.951050813330545;3.1511818531385956;1.1946476369605317;0.3791109788762764;3.370547378063202;6.775691533088683;3.405144155025481;0.3405144155025481;0.6555555555555556;2.1985392570495605;14.435132026672363;-0.13039176703311117;-1.7114600006947422;3;True;0.3586688748091051
more_sampling;2.257951488428646;2.9492665388410875;0.12282808230680398;0.653020968093146;5.215277777777778;4.95102610886097;3.1511818531385956;1.1590915160800297;0.3678275548983527;3.456707787513733;6.918076300621031;3.461368513107298;0.3461368513107298;0.6527777777777778;1.933727502822876;13.553471565246582;-0.41603230971968275;-2.251703623844359;3;True;0.35611474210745864
d3_reference;2.249420020315382;2.9297296690927994;0.13441091634115632;0.6528800707048712;5.215277777777778;4.953501584132512;3.1511818531385956;1.1705219803907037;0.37145491277339543;3.496789789199829;7.0282772302627565;3.5314874410629273;0.3531487441062927;0.6763888888888889;2.354330539703369;14.091686248779297;-0.7923014409635831;-2.8992191024448166;3;True;0.35547899340745265
d3_regularized;2.2518361849917308;2.9404788729478826;0.12804755622364639;0.6551472377707472;5.215277777777778;4.935522773199612;3.1511818531385956;1.143425428178581;0.36285605892269357;3.4939825534820557;6.753112888336181;3.2591303348541256;0.32591303348541256;0.6791666666666667;2.0845000743865967;13.722892761230469;-0.6857396896164047;-2.5429554855771253;3;True;0.34152145490177316
d4_short;2.255415282315678;2.9624038490784197;0.11499607038684567;0.6451435232032381;5.215277777777778;4.934450589617094;3.1511818531385956;1.1223929520240774;0.35618158657081866;3.5215978264808654;6.734425330162047;3.2128275036811815;0.32128275036811815;0.6694444444444444;2.0891528129577637;14.029841423034668;-0.5278883300566917;-1.8162903854163193;3;True;0.3388417876968209
d4_regularized;2.2480692899889414;2.951942697205516;0.1212354720969605;0.655851724712121;5.215277777777778;4.920617442329725;3.1511818531385956;1.096228450227419;0.347878510767498;3.5074358344078065;6.619202399253845;3.111766564846038;0.3111766564846038;0.6763888888888889;2.345076322555542;13.5454740524292;-0.85187361772463;-2.1630070216517083;3;True;0.33017938183720763
poisson_d3;2.2371737307972377;2.9714036311482013;0.10961061890996737;0.6548398252872385;5.215277777777778;4.90414569179217;3.1511818531385956;0.9645036872415238;0.30607680933452713;3.6505268812179565;6.618039894104004;2.967513012886047;0.2967513012886047;0.7055555555555556;2.9755327701568604;11.734197616577148;-1.3324078630680636;-1.518008302907925;3;True;0.30048640854043773
full_sampling;2.2845997211005953;2.9708434317327437;0.10994631789516218;0.6394692011118085;5.215277777777778;5.003531361619632;3.1511818531385956;1.2026330621768204;0.38164508372596484;3.4978925704956056;7.089470696449279;3.5915781259536734;0.35915781259536733;0.6736111111111112;2.621520519256592;14.361801147460938;0.7592527905165847;-1.5365751356342106;3;False;0.36272329986284046
absolute_d3;2.2453255269262526;3.0734526184012276;0.04740188693711134;0.6687374313125232;5.215277777777778;4.487131796942817;3.1511818531385956;0.8764393223755229;0.2781303533791883;3.2393105030059814;5.990246248245238;2.750935745239256;0.27509357452392563;0.6291666666666667;2.385359048843384;9.31141185760498;-0.972883663150681;1.8642274223226174;5;False;0.29560807677067535
official_temporal;2.2673845407035618;3.017205054389593;0.08195001983697014;0.652534231660924;5.215277777777778;5.0294021642870375;3.1511818531385956;0.9538906849102964;0.302708865868917;3.770619547367096;6.654313540458678;2.883693993091582;0.28836939930915817;0.7388888888888889;2.857672691345215;10.50148868560791;0.0;0.0;0;False;0.28937050162144023
