candidate;mae;rmse;r2;high_auc;actual_mean;prediction_mean;actual_std;prediction_std;std_ratio;p05;p95;p05_p95_width;width_ratio;boring_4_5_share;min_prediction;max_prediction;confirm_mae;confirm_rmse;confirm_r2;confirm_high_auc;confirm_actual_mean;confirm_prediction_mean;confirm_actual_std;confirm_prediction_std;confirm_std_ratio;confirm_p05;confirm_p95;confirm_p05_p95_width;confirm_width_ratio;confirm_boring_4_5_share;confirm_min_prediction;confirm_max_prediction;horizon
active_recursive;2.2773389459760103;2.9703489010023545;0.11024261238046873;0.6535891830655571;5.215277777777778;5.047765870778649;3.149357302089252;1.1613799178033848;0.36876727738479753;3.586820125579834;7.083980774879456;3.497160649299622;0.3497160649299622;0.6574074074074074;2.2398335933685303;13.270957946777344;2.1336512703034614;2.643069925887353;-0.017444835361982713;0.6730067743616466;4.725;5.068280196024312;2.6212235815794527;1.2082759432489525;0.46095874908957213;3.622729849815369;7.382748079299925;3.7600182294845563;0.4177798032760618;0.65625;2.888746738433838;10.696587562561035;
active_recursive;2.2821606957250173;2.9528129514812855;0.12071726331515575;0.6451819497636766;5.215277777777778;5.0917155957884255;3.1511818531385956;1.248056615811051;0.3960598511850338;3.5399609923362734;7.309387421607971;3.7694264292716975;0.3769426429271697;0.6444444444444445;2.2398335933685303;13.270957946777344;;;;;;;;;;;;;;;;;1.0
active_recursive;2.286974724133809;2.97763214979145;0.10587392071562485;0.6518681712799888;5.215277777777778;5.06677180926005;3.1511818531385956;1.198752992090983;0.3804137774203726;3.547248423099518;7.174192190170288;3.6269437670707703;0.36269437670707705;0.6375;2.466719627380371;11.599480628967285;;;;;;;;;;;;;;;;;2.0
active_recursive;2.2796818759706285;2.972747531774572;0.10880502963814753;0.6574015959831434;5.215277777777778;5.040560068686803;3.1511818531385956;1.1468820841838034;0.36395299847309737;3.6155060529708862;7.014750576019287;3.3992445230484005;0.33992445230484003;0.6583333333333333;2.427893877029419;11.692965507507324;;;;;;;;;;;;;;;;;3.0
active_recursive;2.2649043162663776;2.9690575888640693;0.11101606008520482;0.6612058254665625;5.215277777777778;5.01281974448098;3.1511818531385956;1.1167503283776765;0.3543909493085544;3.5902859926223756;6.889558553695676;3.2992725610733005;0.32992725610733004;0.6666666666666666;2.427893877029419;11.662247657775879;;;;;;;;;;;;;;;;;4.0
active_recursive;2.2760288056400086;2.9790919188881753;0.10499702424782298;0.653558939939286;5.215277777777778;5.026608219080501;3.1511818531385956;1.126125541898961;0.35736609132136676;3.601700150966644;6.973288989067076;3.371588838100432;0.3371588838100432;0.6666666666666666;2.482121706008911;11.637735366821289;;;;;;;;;;;;;;;;;5.0
active_recursive;2.274283258120219;2.9706764383487014;0.110046376280856;0.6548013987267999;5.215277777777778;5.048119787375132;3.1511818531385956;1.128227674417464;0.35803318469029094;3.6038236260414123;6.98716447353363;3.3833408474922178;0.3383340847492218;0.6708333333333333;2.549454689025879;11.642000198364258;;;;;;;;;;;;;;;;;6.0
direct_d2_base;2.2812510468341687;2.9974412968952104;0.09393773142139017;0.638287050676094;5.215277777777778;5.002278920456215;3.149357302089252;1.3184980606177104;0.41865623177879246;3.3663356423377992;7.43394947052002;4.067613828182221;0.4067613828182221;0.6377314814814815;1.90166437625885;14.614262580871582;2.1555006422930294;2.712854012624754;-0.07188060473672642;0.6537041862080945;4.725;4.944254072672791;2.6212235815794527;1.2521692071337778;0.47770408290744387;3.406181478500366;7.177744412422178;3.7715629339218117;0.4190625482135346;0.6458333333333334;2.8181185722351074;13.920096397399902;
direct_d2_base;2.2718053231636683;2.954013355412904;0.12000221023459101;0.635088573221811;5.215277777777778;5.0125835680299335;3.1511818531385956;1.3378349101253137;0.4245502076602854;3.4133796095848083;7.505405664443969;4.0920260548591605;0.409202605485916;0.6347222222222222;2.239840030670166;14.520140647888184;;;;;;;;;;;;;;;;;1.0
direct_d2_base;2.2633261018329196;2.967445326058842;0.11198127315227624;0.6414545734011349;5.215277777777778;4.969642043775982;3.1511818531385956;1.3482768458394845;0.42786386463116777;3.4480172991752625;7.547134304046629;4.099117004871367;0.4099117004871367;0.6361111111111111;2.504739284515381;14.44207763671875;;;;;;;;;;;;;;;;;2.0
direct_d2_base;2.291786965562238;3.008850376884918;0.08702716388370091;0.6392898771630952;5.215277777777778;5.023996839092837;3.1511818531385956;1.3408713464245638;0.42551379416235474;3.381203663349152;7.390786719322203;4.009583055973051;0.4009583055973051;0.6319444444444444;1.90166437625885;14.344465255737305;;;;;;;;;;;;;;;;;3.0
direct_d2_base;2.286256381207042;3.023618421217094;0.07804306043383691;0.6374710199690025;5.215277777777778;5.011313426825735;3.1511818531385956;1.338038841887504;0.4246149236213738;3.3662280082702636;7.535342121124266;4.169114112854002;0.4169114112854002;0.6222222222222222;2.059819221496582;13.837987899780273;;;;;;;;;;;;;;;;;4.0
